out SR+ Plot X,out SR+ Plot Y,in SR+ Plot X,in SR+ Plot Y,pulse_out X,pulse_out Y,pulse_in X,pulse_in Y
0,0.1793101806727392,0,0,0,0.3908345367466531,0,0.59
3.092458269470896e-07,0.179310180672739,3.092458269470896e-07,0,3.092458269470896e-07,0.390834536746653,3.092458269470896e-07,0.59
5.871652996438051e-07,0.1793101806727393,5.871652996438051e-07,0,5.871652996438051e-07,0.3908345367466522,5.871652996438051e-07,0.59
8.904672517686072e-07,0.1793101806727395,8.904672517686072e-07,0,8.904672517686072e-07,0.3908345367466517,8.904672517686072e-07,0.59
1.413853134142638e-06,0.1793101806727397,1.413853134142638e-06,0,1.413853134142638e-06,0.3908345367466518,1.413853134142638e-06,0.59
2.300521195713556e-06,0.1793101806727402,2.300521195713556e-06,0,2.300521195713556e-06,0.3908345367466519,2.300521195713556e-06,0.59
4.073857318855389e-06,0.1793101806727404,4.073857318855389e-06,0,4.073857318855389e-06,0.3908345367466516,4.073857318855389e-06,0.59
7.372449833435583e-06,0.1793101806727398,7.372449833435583e-06,0,7.372449833435583e-06,0.390834536746652,7.372449833435583e-06,0.59
1e-05,0.17931018067274,1e-05,0,1e-05,0.3908345367466519,1e-05,0.59
1.000000060254862e-05,0.1805186212716907,1.000000060254862e-05,0.0024101944669664,1.000000060254862e-05,0.3908345369741164,1.000000060254862e-05,0.5900000602548616
1.000000102848261e-05,0.1813806698495528,1.000000102848261e-05,0.004113930428414035,1.000000102848261e-05,0.3908345371349928,1.000000102848261e-05,0.5900001028482607
1.000000188035059e-05,0.18310492595497,1.000000188035059e-05,0.007521402351309305,1.000000188035059e-05,0.3908345374570753,1.000000188035059e-05,0.5900001880350587
1.000000358408655e-05,0.1865521811599855,1.000000358408655e-05,0.01433634619709984,1.000000358408655e-05,0.3908345381026538,1.000000358408655e-05,0.5900003584086549
1.000000699155847e-05,0.1934452095548109,1.000000699155847e-05,0.02796623388868092,1.000000699155847e-05,0.3908345393995383,1.000000699155847e-05,0.5900006991558472
1.000001380650232e-05,0.2072223458231039,1.000001380650232e-05,0.05522600927184307,1.000001380650232e-05,0.3908345420162561,1.000001380650232e-05,0.5900013806502318
1.000002743639001e-05,0.2347338962343104,1.000002743639001e-05,0.1097455600381674,1.000002743639001e-05,0.3908345473413667,1.000002743639001e-05,0.590002743639001
1.000005469616539e-05,0.2895180767912157,1.000005469616539e-05,0.218784661570816,1.000005469616539e-05,0.3908345583569139,1.000005469616539e-05,0.5900054696165392
1.000010218010712e-05,0.3834472489577475,1.000010218010712e-05,0.4087204284600794,1.000010218010712e-05,0.390834578699725,1.000010218010712e-05,0.5900102180107115
1.000014393189216e-05,0.4618637521031099,1.000014393189216e-05,0.575727568646444,1.000014393189216e-05,0.3908345977891881,1.000014393189216e-05,0.5900143931892161
1.000017328403979e-05,0.5144431179532843,1.000017328403979e-05,0.6931361591392088,1.000017328403979e-05,0.390834611877575,1.000017328403979e-05,0.5900173284039785
1.000019497652393e-05,0.5524695056461183,1.000019497652393e-05,0.779906095732313,1.000019497652393e-05,0.3908346226413906,1.000019497652393e-05,0.5900194976523933
1.000022505508039e-05,0.6043178512790961,1.000022505508039e-05,0.9002203215657009,1.000022505508039e-05,0.3908346380568613,1.000022505508039e-05,0.5900225055080391
1.00002504368139e-05,0.6475358816782449,1.00002504368139e-05,1.001747255594898,1.00002504368139e-05,0.3908346515054885,1.00002504368139e-05,0.5900250436813899
1.000027940183206e-05,0.6964247666981533,1.000027940183206e-05,1.117607328229397,1.000027940183206e-05,0.3908346673409923,1.000027940183206e-05,0.5900279401832057
1.00003e-05,0.7309540012757336,1.00003e-05,1.2,1.00003e-05,0.390834678916836,1.00003e-05,0.5900300000000001
1.000030299823545e-05,0.7307958078734924,1.000030299823545e-05,1.2,1.000030299823545e-05,0.3908346806263098,1.000030299823545e-05,0.5900302998235448
1.000030619610525e-05,0.7306253492942626,1.000030619610525e-05,1.2,1.000030619610525e-05,0.3908346824537359,1.000030619610525e-05,0.5900306196105244
1.000031027203252e-05,0.7304048917256902,1.000031027203252e-05,1.2,1.000031027203252e-05,0.3908346847911592,1.000031027203252e-05,0.5900310272032518
1.000031842388707e-05,0.7299526573542418,1.000031842388707e-05,1.2,1.000031842388707e-05,0.3908346894958142,1.000031842388707e-05,0.5900318423887065
1.000033472759616e-05,0.7290021084531868,1.000033472759616e-05,1.2,1.000033472759616e-05,0.3908346990256942,1.000033472759616e-05,0.590033472759616
1.00003666104052e-05,0.7269797834182415,1.00003666104052e-05,1.2,1.00003666104052e-05,0.3908347181246422,1.00003666104052e-05,0.5900366610405198
1.000042092823812e-05,0.723091655321812,1.000042092823812e-05,1.2,1.000042092823812e-05,0.3908347520566853,1.000042092823812e-05,0.5900420928238121
1.000047758588503e-05,0.7185134087552529,1.000047758588503e-05,1.2,1.000047758588503e-05,0.3908347892936714,1.000047758588503e-05,0.590047758588503
1.000054135532876e-05,0.7128143741985765,1.000054135532876e-05,1.2,1.000054135532876e-05,0.3908348334114443,1.000054135532876e-05,0.5900541355328759
1.000062026867515e-05,0.7050918569948492,1.000062026867515e-05,1.2,1.000062026867515e-05,0.3908348911603961,1.000062026867515e-05,0.5900620268675146
1.000072030891943e-05,0.6944302298839037,1.000072030891943e-05,1.2,1.000072030891943e-05,0.3908349692233892,1.000072030891943e-05,0.590072030891943
1.000084406002626e-05,0.6801706934829856,1.000084406002626e-05,1.2,1.000084406002626e-05,0.3908350729828747,1.000084406002626e-05,0.5900844060026257
1.000099508948785e-05,0.6615500892411973,1.000099508948785e-05,1.2,1.000099508948785e-05,0.3908352098083901,1.000099508948785e-05,0.5900995089487852
1.000118120571483e-05,0.63730334413407,1.000118120571483e-05,1.2,1.000118120571483e-05,0.3908353927284534,1.000118120571483e-05,0.5901181205714828
1.000140785630683e-05,0.606565251155037,1.000140785630683e-05,1.2,1.000140785630683e-05,0.3908356347997241,1.000140785630683e-05,0.5901407856306828
1.000168030278373e-05,0.5687963283781245,1.000168030278373e-05,1.2,1.000168030278373e-05,0.3908359503183272,1.000168030278373e-05,0.5901680302783728
1.000198073528867e-05,0.5271085661245772,1.000198073528867e-05,1.2,1.000198073528867e-05,0.3908363242807612,1.000198073528867e-05,0.5901980735288666
1.000227188055517e-05,0.4874420132425483,1.000227188055517e-05,1.2,1.000227188055517e-05,0.3908367075998211,1.000227188055517e-05,0.5902271880555169
1.000256268551575e-05,0.4491137970790709,1.000256268551575e-05,1.2,1.000256268551575e-05,0.390837105829177,1.000256268551575e-05,0.5902562685515748
1.000286890805686e-05,0.4105806884077454,1.000286890805686e-05,1.2,1.000286890805686e-05,0.3908375360706395,1.000286890805686e-05,0.590286890805686
1.000320501550442e-05,0.3707706471835833,1.000320501550442e-05,1.2,1.000320501550442e-05,0.3908380142399598,1.000320501550442e-05,0.5903205015504421
1.000359663842048e-05,0.3279039235552935,1.000359663842048e-05,1.2,1.000359663842048e-05,0.390838569358781,1.000359663842048e-05,0.5903596638420477
1.000410288772045e-05,0.2782415571592247,1.000410288772045e-05,1.2,1.000410288772045e-05,0.3908392653567427,1.000410288772045e-05,0.590410288772045
1.000470952552108e-05,0.2271479550785212,1.000470952552108e-05,1.2,1.000470952552108e-05,0.3908400368151579,1.000470952552108e-05,0.5904709525521081
1.000521686172332e-05,0.1902634616456083,1.000521686172332e-05,1.2,1.000521686172332e-05,0.3908406067127131,1.000521686172332e-05,0.5905216861723319
1.000577789768254e-05,0.1554767230316431,1.000577789768254e-05,1.2,1.000577789768254e-05,0.3908411299888877,1.000577789768254e-05,0.5905777897682538
1.000643519370179e-05,0.1219331232572978,1.000643519370179e-05,1.2,1.000643519370179e-05,0.3908415639368099,1.000643519370179e-05,0.5906435193701784
1.00071554603313e-05,0.09274467407449548,1.00071554603313e-05,1.2,1.00071554603313e-05,0.3908417728920517,1.00071554603313e-05,0.5907155460331301
1.000787596602739e-05,0.07003663604631012,1.000787596602739e-05,1.2,1.000787596602739e-05,0.3908416577105225,1.000787596602739e-05,0.5907875966027392
1.000860504292871e-05,0.05232412665475993,1.000860504292871e-05,1.2,1.000860504292871e-05,0.3908411665868064,1.000860504292871e-05,0.590860504292871
1.000936385579219e-05,0.03827169958842854,1.000936385579219e-05,1.2,1.000936385579219e-05,0.3908402099955272,1.000936385579219e-05,0.5909363855792187
1.001016804540537e-05,0.02710165780095223,1.001016804540537e-05,1.2,1.001016804540537e-05,0.3908386531770391,1.001016804540537e-05,0.5910168045405372
1.001103499464245e-05,0.01825801243004253,1.001103499464245e-05,1.2,1.001103499464245e-05,0.3908362977267479,1.001103499464245e-05,0.5911034994642453
1.001198208023833e-05,0.01134752466095796,1.001198208023833e-05,1.2,1.001198208023833e-05,0.3908328644293654,1.001198208023833e-05,0.5911982080238329
1.001302847979816e-05,0.006057937829989125,1.001302847979816e-05,1.2,1.001302847979816e-05,0.3908279610580085,1.001302847979816e-05,0.5913028479798158
1.001419842490325e-05,0.002113919998733032,1.001419842490325e-05,1.2,1.001419842490325e-05,0.3908210249371334,1.001419842490325e-05,0.5914198424903253
1.001552369339777e-05,-0.000732228404362654,1.001552369339777e-05,1.2,1.001552369339777e-05,0.3908112320207548,1.001552369339777e-05,0.5915523693397772
1.001704899315659e-05,-0.002709362628834286,1.001704899315659e-05,1.2,1.001704899315659e-05,0.3907973301285523,1.001704899315659e-05,0.5917048993156593
1.001883582976599e-05,-0.004016341708191007,1.001883582976599e-05,1.2,1.001883582976599e-05,0.3907773865686403,1.001883582976599e-05,0.5918835829765988
1.002098472583393e-05,-0.004840189897198315,1.002098472583393e-05,1.2,1.002098472583393e-05,0.3907481559940254,1.002098472583393e-05,0.5920984725833928
1.002362782704649e-05,-0.005338229749981245,1.002362782704649e-05,1.2,1.002362782704649e-05,0.3907045109427852,1.002362782704649e-05,0.5923627827046491
1.002688164463115e-05,-0.005646633917971028,1.002688164463115e-05,1.2,1.002688164463115e-05,0.3906398195188038,1.002688164463115e-05,0.5926881644631149
1.003105289787141e-05,-0.005904940699005108,1.003105289787141e-05,1.2,1.003105289787141e-05,0.3905413908259555,1.003105289787141e-05,0.5931052897871405
1.003607278098036e-05,-0.006217001981516084,1.003607278098036e-05,1.2,1.003607278098036e-05,0.3904050956032413,1.003607278098036e-05,0.593607278098036
1.00421361666053e-05,-0.006737372467852744,1.00421361666053e-05,1.2,1.00421361666053e-05,0.3902257486331621,1.00421361666053e-05,0.5942136166605302
1.004931413299573e-05,-0.007777789934565301,1.004931413299573e-05,1.2,1.004931413299573e-05,0.3900139184793885,1.004931413299573e-05,0.5949314132995726
1.005672492773641e-05,-0.009830014017456406,1.005672492773641e-05,1.2,1.005672492773641e-05,0.3898233750727368,1.005672492773641e-05,0.5956724927736406
1.006278027245663e-05,-0.01280634076523951,1.006278027245663e-05,1.2,1.006278027245663e-05,0.3897084066812976,1.006278027245663e-05,0.5962780272456627
1.006891473120322e-05,-0.01746447986947977,1.006891473120322e-05,1.2,1.006891473120322e-05,0.3896480553191161,1.006891473120322e-05,0.5968914731203214
1.007492740524649e-05,-0.02343475380701647,1.007492740524649e-05,1.2,1.007492740524649e-05,0.3896601840073502,1.007492740524649e-05,0.5974927405246485
1.00811730037051e-05,-0.0300166253211761,1.00811730037051e-05,1.2,1.00811730037051e-05,0.3897640221291769,1.00811730037051e-05,0.5981173003705099
1.00865922819739e-05,-0.03536467319718051,1.00865922819739e-05,1.2,1.00865922819739e-05,0.3899409640182482,1.00865922819739e-05,0.59865922819739
1.008858810104288e-05,-0.03717121297403906,1.008858810104288e-05,1.2,1.008858810104288e-05,0.3900277657333702,1.008858810104288e-05,0.5988588101042877
1.009111101633006e-05,-0.03921310352502955,1.009111101633006e-05,1.2,1.009111101633006e-05,0.3901556447693219,1.009111101633006e-05,0.5991111016330056
1.009301161778193e-05,-0.04051624402411733,1.009301161778193e-05,1.2,1.009301161778193e-05,0.3902659249493742,1.009301161778193e-05,0.5993011617781927
1.009467478306632e-05,-0.04147177978504807,1.009467478306632e-05,1.2,1.009467478306632e-05,0.3903725980950639,1.009467478306632e-05,0.5994674783066315
