v /net1; tran (V) X,v /net1; tran (V) Y,v /VOUT; tran (V) X,v /VOUT; tran (V) Y,v /clk; tran (V) X,v /clk; tran (V) Y,v /net4; tran (V) X,v /net4; tran (V) Y
0,0.6,0,0.6000171190304203,0,1.19999926501685,0,0.6
1.513209633245842e-14,0.6000000000380311,1.513209633245842e-14,0.6000171350341693,1.513209633245842e-14,1.200105470809715,1.513209633245842e-14,0.6
2.721592271228231e-14,0.600000000068401,2.721592271228231e-14,0.6000171478081527,2.721592271228231e-14,1.200190328554704,2.721592271228231e-14,0.6
5.138357547193008e-14,0.600000000129141,5.138357547193008e-14,0.6000171732642628,5.138357547193008e-14,1.200359898923002,5.138357547193008e-14,0.6
9.149132715877757e-14,0.6000000002299427,9.149132715877757e-14,0.6000172152612984,9.149132715877757e-14,1.200640978326808,9.149132715877757e-14,0.6
1.591166870027107e-13,0.6000000003999039,1.591166870027107e-13,0.6000172853929754,1.591166870027107e-13,1.201114184219649,1.591166870027107e-13,0.6
2.94367406690577e-13,0.600000000739826,2.94367406690577e-13,0.6000174232287238,2.94367406690577e-13,1.202057999658014,2.94367406690577e-13,0.6
5.18341656205537e-13,0.6000000013027347,5.18341656205537e-13,0.6000176451913732,5.18341656205537e-13,1.203614883564866,5.18341656205537e-13,0.6
7.427762310948862e-13,0.6000000018668002,7.427762310948862e-13,0.6000178608347279,7.427762310948862e-13,1.205169195305585,7.427762310948862e-13,0.6
9.7790293815295e-13,0.6000000024577381,9.7790293815295e-13,0.6000180806782015,9.7790293815295e-13,1.206793363748926,9.7790293815295e-13,0.6
1.225755250616136e-12,0.6000000030806589,1.225755250616136e-12,0.6000183069959096,1.225755250616136e-12,1.208502786348764,1.225755250616136e-12,0.6
1.487269450945332e-12,0.6000000037379158,1.487269450945332e-12,0.6000185410868036,1.487269450945332e-12,1.210305561072782,1.487269450945332e-12,0.6
1.765432218653072e-12,0.6000000044370151,1.765432218653072e-12,0.6000187861549136,1.765432218653072e-12,1.212224229706398,1.765432218653072e-12,0.6
2.064114550556739e-12,0.6000000051876857,2.064114550556739e-12,0.6000190461557603,2.064114550556739e-12,1.214287381229188,2.064114550556739e-12,0.6
2.388744201967365e-12,0.600000006003569,2.388744201967365e-12,0.6000193261850357,2.388744201967365e-12,1.216532684418142,2.388744201967365e-12,0.6
2.741288410312567e-12,0.6000000068896092,2.741288410312567e-12,0.6000196273649123,2.741288410312567e-12,1.218965759689238,2.741288410312567e-12,0.6
3.136433528571988e-12,0.6000000078827172,3.136433528571988e-12,0.6000199580390698,3.136433528571988e-12,1.221651879561511,3.136433528571988e-12,0.6
3.608869043853237e-12,0.6000000090700771,3.608869043853237e-12,0.6000203294538803,3.608869043853237e-12,1.224688756939266,3.608869043853237e-12,0.6
4.193491518214909e-12,0.6000000105393937,4.193491518214909e-12,0.600020702503279,4.193491518214909e-12,1.227800100447716,4.193491518214909e-12,0.6
4.649322640744695e-12,0.6000000116850223,4.649322640744695e-12,0.6000208741491794,4.649322640744695e-12,1.229342004980726,4.649322640744695e-12,0.6
5.023903814736912e-12,0.6000000126264474,5.023903814736912e-12,0.6000208947550655,5.023903814736912e-12,1.229720759445147,5.023903814736912e-12,0.6
5.352391598852459e-12,0.6000000134520272,5.352391598852459e-12,0.6000207927453028,5.352391598852459e-12,1.229168153221374,5.352391598852459e-12,0.6
5.658710859963477e-12,0.6000000142218915,5.658710859963477e-12,0.6000205738232753,5.658710859963477e-12,1.227738823294722,5.658710859963477e-12,0.6
5.966210797946567e-12,0.6000000149947232,5.966210797946567e-12,0.6000202146114068,5.966210797946567e-12,1.225272298660716,5.966210797946567e-12,0.6
6.287745930408533e-12,0.6000000158028291,6.287745930408533e-12,0.6000196713716418,6.287745930408533e-12,1.221448393437133,6.287745930408533e-12,0.6
6.482314209562066e-12,0.6000000162918325,6.482314209562066e-12,0.6000192488761059,6.482314209562066e-12,1.218472743533178,6.482314209562066e-12,0.6
6.650896173635424e-12,0.6000000167155253,6.650896173635424e-12,0.6000188268176985,6.650896173635424e-12,1.215471747078631,6.650896173635424e-12,0.6
6.832903037203075e-12,0.6000000171729584,6.832903037203075e-12,0.6000183104097564,6.832903037203075e-12,1.211770995962841,6.832903037203075e-12,0.6
6.982089030837265e-12,0.6000000175479037,6.982089030837265e-12,0.6000178385366776,6.982089030837265e-12,1.208359422569956,6.982089030837265e-12,0.6
