DM Phase Plot X,DM Phase Plot Y,cl phase X,cl phase Y,DM Gain Plot X,DM Gain Plot Y,CM Gain Plot X,CM Gain Plot Y,CMRR Plot X,CMRR Plot Y,DM CL Gain Plot X,DM CL Gain Plot Y,cl gain X,cl gain Y,psr X,psr Y
1,-5.658089874522319,1,59.21883266627811,1,121.5827755668633,1,-87.39752766342922,1,111.5847400167636,1,24.18718946843478,1,24.18721235333435,1,-100.4243632158
1.029200527194428,-5.822216782372301,1.029200527194428,58.48885869036678,1.029200527194428,121.5802745171817,1.029200527194428,-87.21482611853148,1.029200527194428,111.5851608138748,1.029200527194428,24.37031181135778,1.029200527194428,24.37033469534329,1.029200527194428,-100.42436313077
1.059253725177289,-5.991035437168794,1.059253725177289,57.74929240020303,1.059253725177289,121.5776268409176,1.059253725177289,-87.03489439676466,1.059253725177289,111.5854942127225,1.059253725177289,24.55057693281904,1.059253725177289,24.55059981595781,1.059253725177289,-100.4243630407002
1.090184492385128,-6.164673969722547,1.090184492385128,57.000506892206,1.090184492385128,121.5748240393118,1.090184492385128,-86.85791405620775,1.090184492385128,111.5858481451396,1.090184492385128,24.72791120661359,1.090184492385128,24.72793408893182,1.090184492385128,-100.4243629452665
1.122018454301964,-6.343263470062352,1.122018454301964,56.24290493589067,1.122018454301964,121.5718571327333,1.122018454301964,-86.68391688680181,1.122018454301964,111.5861829319618,1.122018454301964,24.90224316353446,1.122018454301964,24.90226604515996,1.122018454301964,-100.4243628443299
1.154781984689459,-6.526938006449874,1.154781984689459,55.47691854223646,1.154781984689459,121.5687166348825,1.154781984689459,-86.51292727079397,1.154781984689459,111.5864539917014,1.154781984689459,25.07350384004348,1.154781984689459,25.07352672090745,1.154781984689459,-100.4243627373023
1.188502227437019,-6.715834639332538,1.188502227437019,54.70300832157793,1.188502227437019,121.5653925257824,1.188502227437019,-86.34511622736335,1.188502227437019,111.5867662356232,1.188502227437019,25.24162712805914,1.188502227437019,25.24165000825989,1.188502227437019,-100.4243626239804
1.223207119049932,-6.910093429649257,1.223207119049932,53.92166264573209,1.223207119049932,121.5618742235202,1.223207119049932,-86.18041684995653,1.223207119049932,111.5869898521893,1.223207119049932,25.40655012256055,1.223207119049932,25.40657300223275,1.223207119049932,-100.4243625039125
1.258925411794168,-7.109857440853537,1.258925411794168,53.13339657336229,1.258925411794168,121.5581505547045,1.258925411794168,-86.01907773101499,1.258925411794168,111.5873140733901,1.258925411794168,25.56821346352646,1.258925411794168,25.56823634237514,1.258925411794168,-100.424362376751
1.29568669751702,-7.315272733977186,1.29568669751702,52.33875056824557,1.29568669751702,121.5542097236095,1.29568669751702,-85.86090726186278,1.29568669751702,111.5874918089123,1.29568669751702,25.72656166859888,1.29568669751702,25.72658454704954,1.29568669751702,-100.4243622420486
1.333521432163325,-7.526488354996839,1.333521432163325,51.53828900718781,1.333521432163325,121.5500392799751,1.333521432163325,-85.70618754079946,1.333521432163325,111.5877538714833,1.333521432163325,25.88154345278943,1.333521432163325,25.88156633068381,1.333521432163325,-100.4243620992574
1.372460961007563,-7.743656313716547,1.372460961007563,50.73259847135138,1.372460961007563,121.5456260854361,1.372460961007563,-85.55482875853743,1.372460961007563,111.5879636674431,1.372460961007563,26.03311203153817,1.372460961007563,26.03313490890568,1.372460961007563,-100.4243619481825
1.412537544622755,-7.966931553323463,1.412537544622755,49.92228584382364,1.412537544622755,121.5409562785647,1.412537544622755,-85.40687415765422,1.412537544622755,111.5881224380851,1.412537544622755,26.18122540349462,1.412537544622755,26.18124828043092,1.412537544622755,-100.4243617880947
1.453784385607663,-8.1964719097073,1.453784385607663,49.10797622412323,1.453784385607663,121.5360152385031,1.453784385607663,-85.26248972762667,1.453784385607663,111.5883592136299,1.453784385607663,26.32584660952125,1.453784385607663,26.3258694860032,1.453784385607663,-100.424361618463
1.496235656094435,-8.432438059583436,1.496235656094435,48.29031066336773,1.496235656094435,121.5307875471834,1.496235656094435,-85.12158604439101,1.496235656094435,111.5885528850208,1.496235656094435,26.46694396462104,1.496235656094435,26.46696684062977,1.496235656094435,-100.4243614388261
1.539926526059493,-8.674993456382067,1.539926526059493,47.46994375489297,1.539926526059493,121.5252569501246,1.539926526059493,-84.98419031835306,1.539926526059493,111.5887044537284,1.539926526059493,26.60449125976232,1.539926526059493,26.6045141353753,1.539926526059493,-100.4243612485883
1.584893192461115,-8.924304252815965,1.584893192461115,46.64754109037313,1.584893192461115,121.5194063158191,1.584893192461115,-84.85041923850223,1.584893192461115,111.58891004461,1.584893192461115,26.73846793091167,1.584893192461115,26.73849080610781,1.584893192461115,-100.4243610469663
1.63117290922784,-9.180539208957136,1.63117290922784,45.82377660644205,1.63117290922784,121.513217593716,1.63117290922784,-84.72011044459271,1.63117290922784,111.5889925125293,1.63117290922784,26.86885919298369,1.63117290922784,26.86888206793656,1.63117290922784,-100.4243608334436
1.678804018122562,-9.44386958459511,1.678804018122562,44.9993298486174,1.678804018122562,121.506671770831,1.678804018122562,-84.59351358152449,1.678804018122562,111.5891925929088,1.678804018122562,26.99565613686726,1.678804018122562,26.99567901138432,1.678804018122562,-100.4243606072868
1.727825980507865,-9.714469014577295,1.727825980507865,44.1748831832917,1.727825980507865,121.4997488270167,1.727825980507865,-84.47038819477328,1.727825980507865,111.5892668572411,1.727825980507865,27.11885578818151,1.727825980507865,27.11887866246779,1.727825980507865,-100.4243603677456
