input noise; V**2 / Hz X,input noise; V**2 / Hz Y
1,1.245446828288283e-09
1.0471285480509,1.1646850991363e-09
1.096478196143185,1.087419630191632e-09
1.148153621496883,1.013723491217819e-09
1.202264434617413,9.436370209810007e-10
1.258925411794168,8.771698178388917e-10
1.318256738556407,8.143032107717541e-10
1.380384264602885,7.549930720568943e-10
1.445439770745928,6.991728413460879e-10
1.513561248436209,6.467566426691988e-10
1.584893192461114,5.976423942023179e-10
1.659586907437562,5.517148265212421e-10
1.737800828749376,5.088483428628409e-10
1.819700858609985,4.689096745501418e-10
1.905460717963249,4.317602970865193e-10
1.995262314968881,3.972585895297848e-10
2.089296130854041,3.652617288621783e-10
2.187761623949555,3.356273225261742e-10
2.290867652767775,3.08214788080792e-10
2.398832919019493,2.828864952242887e-10
2.511886431509583,2.595086885866515e-10
2.630267991895385,2.379522118415292e-10
2.75422870333817,2.18093055312804e-10
2.884031503126609,1.998127480853833e-10
3.01995172040202,1.829986160625413e-10
3.162277660168384,1.675439260841955e-10
3.311311214825916,1.533479340290636e-10
3.467368504525322,1.403158539981471e-10
3.630780547701019,1.283587635818467e-10
3.801893963205618,1.173934583535969e-10
3.981071705534979,1.073422670522045e-10
4.168693834703362,9.813283772636936e-11
4.365158322401668,8.969790287743459e-11
4.57088189614876,8.197503098164953e-11
4.786300923226394,7.490637019995751e-11
5.011872336272734,6.843838911064021e-11
5.248074602497739,6.252161829691407e-11
5.495408738576259,5.711039598038167e-11
5.754399373371584,5.216262006031385e-11
6.025595860743593,4.763950833669357e-11
6.309573444801949,4.350536829389211e-11
6.606934480075978,3.972737732629458e-11
6.918309709189384,3.627537405273006e-11
7.244359600749922,3.312166094854196e-11
7.585775750291861,3.024081844304681e-11
7.94328234724284,2.760953041645328e-11
8.317637711026737,2.520642083158796e-11
8.709635899560835,2.301190123014823e-11
9.120108393559129,2.100802868355042e-11
9.549925860214392,1.917837375233815e-11
10.00000000000004,1.750789798964223e-11
10.47128548050903,1.598284047050078e-11
10.96478196143189,1.45906128376096e-11
11.48153621496887,1.33197023638587e-11
12.02264434617418,1.215958252063619e-11
12.58925411794172,1.110063054883927e-11
13.18256738556412,1.013405157876787e-11
13.8038426460289,9.251808818873799e-12
14.45439770745934,8.446559387810679e-12
15.13561248436215,7.711595383371875e-12
15.8489319246112,7.040789775102853e-12
16.59586907437568,6.428546778788331e-12
17.37800828749383,5.869756346229992e-12
18.19700858609992,5.359752460826339e-12
19.05460717963256,4.894274931145596e-12
19.95262314968889,4.469434407731734e-12
20.8929613085405,4.081680357656113e-12
21.87761623949564,3.727771760190596e-12
22.90867652767785,3.404750298526199e-12
23.98832919019503,3.10991584109265e-12
25.11886431509593,2.84080402516032e-12
26.30267991895396,2.595165762122174e-12
27.54228703338181,2.370948509910695e-12
28.84031503126622,2.166279155693131e-12
30.19951720402033,1.979448381108593e-12
31.62277660168397,1.808896376904482e-12
33.1131121482593,1.653199796263446e-12
34.67368504525336,1.511059840265337e-12
36.30780547701035,1.381291376700219e-12
38.01893963205634,1.262813006110135e-12
39.81071705534996,1.154637991805871e-12
41.68693834703379,1.055865979876673e-12
43.65158322401686,9.656754408028718e-13
45.70881896148778,8.833167709885161e-13
47.86300923226413,8.081059958671553e-13
50.11872336272754,7.394190232781093e-13
52.48074602497758,6.766863988969094e-13
54.9540873857628,6.19388520384123e-13
57.54399373371606,5.670512698984593e-13
60.25595860743616,5.192420291807632e-13
63.09573444801973,4.755660427785707e-13
66.06934480076004,4.35663100467681e-13
69.18309709189411,3.992045097467342e-13
72.44359600749949,3.658903337162355e-13
75.85775750291889,3.354468709617159e-13
79.43282347242869,3.076243563009036e-13
83.17637711026768,2.821948631207803e-13
87.09635899560868,2.58950389574081e-13
91.20108393559163,2.37701112540639e-13
95.49925860214428,2.182737947668047e-13
100.0000000000007,2.005103316352091e-13
104.7128548050907,1.842664254132222e-13
109.6478196143193,1.69410375746296e-13
114.8153621496891,1.558219762727056e-13
120.2264434617422,1.433915079648248e-13
125.8925411794177,1.320188208170787e-13
131.8256738556417,1.216124960263275e-13
138.0384264602895,1.12089081692131e-13
144.5439770745939,1.033723955358277e-13
151.356124843622,9.539288875220043e-14
158.4893192461126,8.808706568293308e-14
165.9586907437574,8.13969543469383e-14
173.7800828749389,7.526962341498838e-14
181.9700858609998,6.965674152060476e-14
190.5460717963263,6.451417521001816e-14
199.5262314968896,5.980162213554486e-14
208.9296130854057,5.548227639162095e-14
218.7761623949571,5.152252318426663e-14
229.0867652767792,4.789166025025181e-14
239.8832919019511,4.456164368520067e-14
251.1886431509601,4.150685603286077e-14
263.0267991895404,3.87038946874737e-14
275.422870333819,3.613137882179374e-14
288.4031503126631,3.376977321974201e-14
301.9951720402042,3.160122752799802e-14
316.2277660168407,2.960942957433984e-14
331.131121482594,2.777947151884867e-14
346.7368504525347,2.609772771389296e-14
363.0780547701045,2.455174324304395e-14
380.1893963205646,2.313013220562378e-14
398.1071705535009,2.182248489017587e-14
416.8693834703392,2.061928305900871e-14
436.51583224017,1.951182263178351e-14
457.0881896148792,1.849214312047673e-14
478.6300923226428,1.755296322378825e-14
501.187233627277,1.668762204142167e-14
524.8074602497775,1.589002541570539e-14
549.5408738576297,1.515459695196736e-14
575.4399373371623,1.447623330761009e-14
602.5595860743634,1.385026337643584e-14
630.9573444801993,1.327241102691706e-14
660.6934480076023,1.27387610840045e-14
691.8309709189432,1.224572827009086e-14
724.4359600749972,1.179002884684517e-14
758.5775750291913,1.136865472138173e-14
794.3282347242895,1.097884980155041e-14
831.7637711026795,1.061808840376431e-14
870.9635899560895,1.028405553397612e-14
912.0108393559192,9.974628878351428e-15
954.992586021446,9.687862354235184e-15
1000.000000000011,9.421971085318119e-15
1047.128548050911,9.175317676770399e-15
1096.478196143197,8.946399676882629e-15
1148.153621496895,8.733838121896666e-15
1202.264434617426,8.536367069573195e-15
1258.925411794181,8.352824035363303e-15
1318.256738556422,8.182141252683202e-15
1380.3842646029,8.023337685504422e-15
1445.439770745944,7.875511727867127e-15
1513.561248436225,7.737834530595513e-15
1584.893192461132,7.60954390073055e-15
1659.58690743758,7.489938723941218e-15
1737.800828749396,7.378373864539645e-15
1819.700858610005,7.274255501678544e-15
1905.460717963269,7.177036863929418e-15
1995.262314968903,7.086214327736165e-15
2089.296130854064,7.001323848258018e-15
2187.761623949578,6.921937693848613e-15
2290.8676527678,6.847661457943051e-15
2398.832919019519,6.7781313243892e-15
2511.88643150961,6.713011564368429e-15
2630.267991895414,6.651992244941051e-15
2754.2287033382,6.59478713098913e-15
2884.031503126641,6.541131763924883e-15
3019.951720402054,6.490781701967846e-15
3162.277660168419,6.443510908124396e-15
3311.311214825952,6.399110273199435e-15
3467.36850452536,6.357386262274962e-15
3630.780547701059,6.31815967409435e-15
3801.89396320566,6.281264503702143e-15
3981.071705535023,6.246546899530903e-15
4168.693834703407,6.213864206884937e-15
4365.158322401716,6.183084090471603e-15
4570.88189614881,6.154083729262504e-15
4786.300923226446,6.126749077550279e-15
5011.872336272789,6.100974186595807e-15
5248.074602497795,6.076660581743196e-15
5495.408738576319,6.053716690323631e-15
5754.399373371646,6.032057316070645e-15
6025.595860743659,6.011603156138626e-15
6309.573444802018,5.992280357152552e-15
6606.934480076051,5.974020107023898e-15
6918.309709189461,5.956758259548128e-15
7244.359600750002,5.940434989055747e-15
7585.775750291944,5.924994472622879e-15
7943.282347242927,5.910384597560969e-15
8317.637711026828,5.896556692101146e-15
8709.63589956093,5.883465277366998e-15
9120.108393559227,5.871067838893192e-15
9549.925860214496,5.859324616096068e-15
10000.00000000014,5.84819840824001e-15
10471.28548050915,5.837654395566579e-15
10964.78196143201,5.827659974369745e-15
11481.53621496899,5.818184604903188e-15
12022.6443461743,5.809199671102805e-15
12589.25411794186,5.800678351194926e-15
13182.56738556427,5.792595498340541e-15
13803.84264602905,5.784927530540969e-15
14454.39770745949,5.77765232909671e-15
15135.61248436231,5.770749144974327e-15
15848.93192461137,5.764198512493286e-15
16595.86907437586,5.757982169796969e-15
17378.00828749402,5.752082985621127e-15
18197.00858610011,5.746484891917672e-15
19054.60717963276,5.741172821933276e-15
19952.6231496891,5.736132653380341e-15
20892.96130854071,5.731351156374428e-15
21877.61623949586,5.726815945844855e-15
22908.67652767809,5.722515438156911e-15
23988.32919019528,5.718438811712825e-15
25118.86431509619,5.714575971326782e-15
26302.67991895423,5.710917516195201e-15
27542.2870333821,5.707454711308398e-15
28840.31503126652,5.704179462173971e-15
30199.51720402065,5.701084292744501e-15
31622.7766016843,5.698162326465566e-15
33113.11214825964,5.695407270381624e-15
34673.68504525373,5.692813402258156e-15
36307.80547701073,5.690375560701745e-15
38018.93963205674,5.688089138279519e-15
39810.71705535037,5.685950077662064e-15
41686.93834703422,5.683954870837039e-15
43651.58322401731,5.682100561461731e-15
45708.81896148826,5.680384750448211e-15
47863.00923226463,5.678805604898767e-15
50118.72336272807,5.677361870535406e-15
52480.74602497814,5.676052887795071e-15
54954.08738576339,5.674878611791052e-15
57543.99373371667,5.673839636372678e-15
60255.95860743681,5.672937222549495e-15
63095.73444802041,5.672173331581037e-15
66069.34480076074,5.67155066307449e-15
69183.09709189484,5.671072698473954e-15
72443.59600750027,5.670743750372329e-15
75857.7575029197,5.670569018127333e-15
79432.82347242955,5.670554650319447e-15
83176.37711026857,5.670707814651263e-15
87096.35899560961,5.671036775954161e-15
91201.0839355926,5.671550983044573e-15
95499.2586021453,5.672261165252916e-15
100000.0000000018,5.673179439541274e-15
104712.8548050918,5.674319429225778e-15
109647.8196143205,5.675696395433996e-15
114815.3621496904,5.677327382551894e-15
120226.4434617435,5.679231379055958e-15
125892.541179419,5.681429495282609e-15
131825.6738556431,5.683945159861868e-15
138038.426460291,5.686804336740174e-15
144543.9770745954,5.690035764937368e-15
151356.1248436236,5.693671223432756e-15
158489.3192461143,5.69774582385631e-15
165958.6907437592,5.702298333978759e-15
173780.0828749408,5.707371535355459e-15
181970.0858610018,5.713012618887293e-15
190546.0717963284,5.719273622529001e-15
199526.2314968918,5.726211915905749e-15
208929.613085408,5.733890737208361e-15
218776.1623949595,5.742379788432393e-15
229086.7652767817,5.751755895829075e-15
239883.2919019537,5.762103743357007e-15
251188.6431509629,5.773516687989788e-15
263026.7991895434,5.786097666966509e-15
275422.8703338221,5.79996020850436e-15
288403.1503126663,5.815229559156996e-15
301995.1720402077,5.832043942945607e-15
316227.7660168443,5.850555969662373e-15
331131.1214825978,5.870934212411491e-15
346736.8504525386,5.893364977589476e-15
363078.0547701087,5.918054294204092e-15
380189.3963205689,5.945230153806761e-15
398107.1705535054,5.975145037503895e-15
416869.3834703439,6.008078772687259e-15
