input noise; V**2 / Hz X,input noise; V**2 / Hz Y
1,1.237266221595402e-12
1.0471285480509,1.183736866279001e-12
1.096478196143185,1.132561124924084e-12
1.148153621496883,1.083632797923199e-12
1.202264434617413,1.036850801875737e-12
1.258925411794168,9.921188840257871e-13
1.318256738556407,9.493453571536271e-13
1.380384264602885,9.084428530580497e-13
1.445439770745928,8.693280924320405e-13
1.513561248436209,8.319216707830119e-13
1.584893192461114,7.961478576112199e-13
1.659586907437562,7.619344087366607e-13
1.737800828749376,7.292123901858363e-13
1.819700858609985,6.979160129495386e-13
1.905460717963249,6.679824774289494e-13
1.995262314968881,6.393518272488989e-13
2.089296130854041,6.119668112907938e-13
2.187761623949555,5.857727535217965e-13
2.290867652767775,5.60717430195493e-13
2.398832919019493,5.367509537003726e-13
2.511886431509583,5.138256625072736e-13
2.630267991895385,4.918960172395425e-13
2.75422870333817,4.709185019046453e-13
2.884031503126609,4.50851530350235e-13
3.01995172040202,4.316553575338307e-13
3.162277660168384,4.132919951004982e-13
3.311311214825916,3.957251313581888e-13
3.467368504525322,3.789200549964018e-13
3.630780547701019,3.628435827701173e-13
3.801893963205618,3.474639903952384e-13
3.981071705534979,3.327509470513279e-13
4.168693834703362,3.186754528325417e-13
4.365158322401668,3.052097791571974e-13
4.57088189614876,2.923274120687036e-13
4.786300923226394,2.800029981430004e-13
5.011872336272734,2.682122928401061e-13
5.248074602497739,2.569321113873564e-13
5.495408738576259,2.461402817777276e-13
5.754399373371584,2.358156000045907e-13
6.025595860743593,2.259377873117648e-13
6.309573444801949,2.164874494129028e-13
6.606934480075978,2.074460374754574e-13
6.918309709189384,1.987958109908823e-13
7.244359600749922,1.90519802189282e-13
7.585775750291861,1.826017821418663e-13
7.94328234724284,1.750262283396192e-13
8.317637711026737,1.677782937177197e-13
8.709635899560835,1.608437770791802e-13
9.120108393559129,1.542090948220596e-13
9.549925860214392,1.478612539162183e-13
10.00000000000004,1.41787826096906e-13
10.47128548050903,1.359769231757938e-13
10.96478196143189,1.304171734628776e-13
11.48153621496887,1.250976992178773e-13
12.02264434617418,1.200080951020255e-13
12.58925411794172,1.151384075710708e-13
13.18256738556412,1.104791151814554e-13
13.8038426460289,1.060211097586615e-13
14.45439770745934,1.017556783963521e-13
15.13561248436215,9.76744862327174e-14
15.8489319246112,9.376956000415885e-14
16.59586907437568,9.003327229494868e-14
