input noise; V**2 / Hz X,input noise; V**2 / Hz Y
1,1.165649630359788e-13
1.0471285480509,1.113661566916398e-13
1.096478196143185,1.064036795081937e-13
1.148153621496883,1.016666340621196e-13
1.202264434617413,9.714464269119173e-14
1.258925411794168,9.282782062610616e-14
1.318256738556407,8.870675076129952e-14
1.380384264602885,8.477245993740216e-14
1.445439770745928,8.101639661878106e-14
1.513561248436209,7.743040986304074e-14
1.584893192461114,7.400672948720922e-14
1.659586907437562,7.073794734573011e-14
1.737800828749376,6.761699964242276e-14
1.819700858609985,6.463715020651576e-14
1.905460717963249,6.17919746673172e-14
1.995262314968881,5.907534547003162e-14
2.089296130854041,5.648141767795489e-14
2.187761623949555,5.400461551251092e-14
2.290867652767775,5.163961958512254e-14
2.398832919019493,4.938135477967902e-14
2.511886431509583,4.722497874664113e-14
2.630267991895385,4.516587097354711e-14
2.75422870333817,4.319962239850348e-14
2.884031503126609,4.13220255364944e-14
3.01995172040202,3.95290650894424e-14
3.162277660168384,3.781690901403513e-14
3.311311214825916,3.618190002232319e-14
3.467368504525322,3.462054749192174e-14
3.630780547701019,3.312951976440591e-14
3.801893963205618,3.170563681142177e-14
3.981071705534979,3.034586324965847e-14
4.168693834703362,2.904730168682527e-14
4.365158322401668,2.780718638170069e-14
4.57088189614876,2.662287720273405e-14
4.786300923226394,2.549185387004708e-14
5.011872336272734,2.441171046688557e-14
5.248074602497739,2.338015020738719e-14
5.495408738576259,2.239498044787165e-14
5.754399373371584,2.145410793015186e-14
6.025595860743593,2.055553424531696e-14
6.309573444801949,1.96973515076074e-14
6.606934480075978,1.887773822823701e-14
6.918309709189384,1.809495537964324e-14
7.244359600749922,1.734734264109159e-14
7.585775750291861,1.663331481705092e-14
7.94328234724284,1.595135842029169e-14
8.317637711026737,1.530002841178834e-14
8.709635899560835,1.467794509018227e-14
9.120108393559129,1.408379112384417e-14
9.549925860214392,1.351630871872549e-14
10.00000000000004,1.29742969158669e-14
10.47128548050903,1.245660901237782e-14
10.96478196143189,1.196215010027088e-14
11.48153621496887,1.148987471761839e-14
12.02264434617418,1.103878460689505e-14
12.58925411794172,1.060792657551422e-14
13.18256738556412,1.019639045388082e-14
13.8038426460289,9.803307146443431e-15
14.45439770745934,9.427846771485148e-15
15.13561248436215,9.069216885564721e-15
15.8489319246112,8.726660788747828e-15
16.59586907437568,8.399455906887596e-15
17.37800828749383,8.08691224744231e-15
18.19700858609992,7.788370925461356e-15
19.05460717963256,7.503202756555939e-15
19.95262314968889,7.230806913720542e-15
20.8929613085405,6.970609645180711e-15
21.87761623949564,6.722063050401699e-15
22.90867652767785,6.484643911646828e-15
23.98832919019503,6.257852578550654e-15
25.11886431509593,6.041211903248762e-15
26.30267991895396,5.834266223829584e-15
27.54228703338181,5.636580393840605e-15
28.84031503126622,5.447738855781919e-15
30.19951720402033,5.267344756600521e-15
31.62277660168397,5.095019103233988e-15
33.1131121482593,4.930399956409521e-15
34.67368504525336,4.773141660962024e-15
36.30780547701035,4.622914110989061e-15
38.01893963205634,4.479402048276755e-15
39.81071705534996,4.342304392482367e-15
41.68693834703379,4.211333601623933e-15
43.65158322401686,4.086215061506901e-15
45.70881896148778,3.966686502770859e-15
47.86300923226413,3.852497444306261e-15
50.11872336272754,3.743408661840803e-15
52.48074602497758,3.63919168055213e-15
54.9540873857628,3.539628290620414e-15
57.54399373371606,3.444510084684475e-15
60.25595860743616,3.353638016192362e-15
63.09573444801973,3.266821977721072e-15
66.06934480076004,3.183880398337102e-15
69.18309709189411,3.104639859154656e-15
72.44359600749949,3.028934726259781e-15
75.85775750291889,2.956606800203231e-15
79.43282347242869,2.887504981328669e-15
83.17637711026768,2.821484950208684e-15
87.09635899560868,2.758408862506513e-15
91.20108393559163,2.698145057611707e-15
95.49925860214428,2.640567780422168e-15
100.0000000000007,2.585556915684808e-15
104.7128548050907,2.532997734318259e-15
109.6478196143193,2.482780651179845e-15
114.8153621496891,2.43480099376159e-15
120.2264434617422,2.388958781313085e-15
125.8925411794177,2.345158513926746e-15
131.8256738556417,2.303308971132682e-15
138.0384264602895,2.26332301957316e-15
144.5439770745939,2.225117429340914e-15
151.356124843622,2.188612698604873e-15
158.4893192461126,2.153732886125569e-15
165.9586907437574,2.120405451328966e-15
173.7800828749389,2.088561101575246e-15
181.9700858609998,2.05813364631429e-15
190.5460717963263,2.029059857803498e-15
199.5262314968896,2.001279338102031e-15
208.9296130854057,1.974734392050184e-15
218.7761623949571,1.949369905972139e-15
229.0867652767792,1.925133231832613e-15
239.8832919019511,1.901974076610886e-15
251.1886431509601,1.879844396652479e-15
263.0267991895404,1.858698296774477e-15
