M0:b X,M0:b Y,M0:beff X,M0:beff Y,M0:betaeff X,M0:betaeff Y,M0:cbb X,M0:cbb Y,M0:cbd X,M0:cbd Y,M0:cbdbo X,M0:cbdbo Y,M0:cbg X,M0:cbg Y,M0:cbgbo X,M0:cbgbo Y,M0:cbs X,M0:cbs Y,M0:cbsbo X,M0:cbsbo Y,M0:cdb X,M0:cdb Y,M0:cdd X,M0:cdd Y,M0:cddbo X,M0:cddbo Y,M0:cdg X,M0:cdg Y,M0:cdgbo X,M0:cdgbo Y,M0:cds X,M0:cds Y,M0:cdsbo X,M0:cdsbo Y,M0:cgb X,M0:cgb Y,M0:cgd X,M0:cgd Y,M0:cgdbo X,M0:cgdbo Y,M0:cgg X,M0:cgg Y,M0:cggbo X,M0:cggbo Y,M0:cgs X,M0:cgs Y,M0:cgsbo X,M0:cgsbo Y,M0:cjd X,M0:cjd Y,M0:cjs X,M0:cjs Y,M0:covlgb X,M0:covlgb Y,M0:covlgd X,M0:covlgd Y,M0:covlgs X,M0:covlgs Y,M0:csb X,M0:csb Y,M0:csd X,M0:csd Y,M0:csg X,M0:csg Y,M0:css X,M0:css Y,M0:d X,M0:d Y,M0:dtemp X,M0:dtemp Y,M0:fug X,M0:fug Y,M0:g X,M0:g Y,M0:gbd X,M0:gbd Y,M0:gbs X,M0:gbs Y,M0:gds X,M0:gds Y,M0:gm X,M0:gm Y,M0:gmb X,M0:gmb Y,M0:gmbs X,M0:gmbs Y,M0:gmoverid X,M0:gmoverid Y,M0:ibe X,M0:ibe Y,M0:ibulk X,M0:ibulk Y,M0:id X,M0:id Y,M0:idb X,M0:idb Y,M0:ide X,M0:ide Y,M0:ids X,M0:ids Y,M0:igb X,M0:igb Y,M0:igbacc X,M0:igbacc Y,M0:igbinv X,M0:igbinv Y,M0:igcd X,M0:igcd Y,M0:igcs X,M0:igcs Y,M0:igd X,M0:igd Y,M0:igdt X,M0:igdt Y,M0:ige X,M0:ige Y,M0:igidl X,M0:igidl Y,M0:igisl X,M0:igisl Y,M0:igs X,M0:igs Y,M0:isb X,M0:isb Y,M0:ise X,M0:ise Y,M0:isub X,M0:isub Y,M0:pwr X,M0:pwr Y,M0:qb X,M0:qb Y,M0:qbi X,M0:qbi Y,M0:qd X,M0:qd Y,M0:qdi X,M0:qdi Y,M0:qg X,M0:qg Y,M0:qgdovl X,M0:qgdovl Y,M0:qgi X,M0:qgi Y,M0:qgsovl X,M0:qgsovl Y,M0:qjd X,M0:qjd Y,M0:qjs X,M0:qjs Y,M0:qs X,M0:qs Y,M0:qsi X,M0:qsi Y,M0:rdeff X,M0:rdeff Y,M0:region X,M0:region Y,M0:reversed X,M0:reversed Y,M0:rgate X,M0:rgate Y,M0:rgbd X,M0:rgbd Y,M0:ron X,M0:ron Y,M0:rout X,M0:rout Y,M0:rseff X,M0:rseff Y,M0:s X,M0:s Y,M0:self_gain X,M0:self_gain Y,M0:trise X,M0:trise Y,M0:ueff X,M0:ueff Y,M0:vbs X,M0:vbs Y,M0:vdb X,M0:vdb Y,M0:vds X,M0:vds Y,M0:vdsat X,M0:vdsat Y,M0:vdss X,M0:vdss Y,M0:vearly X,M0:vearly Y,M0:vgb X,M0:vgb Y,M0:vgd X,M0:vgd Y,M0:vgs X,M0:vgs Y,M0:vgt X,M0:vgt Y,M0:vsat_marg X,M0:vsat_marg Y,M0:vsb X,M0:vsb Y,M0:vth X,M0:vth Y,M1:b X,M1:b Y,M1:beff X,M1:beff Y,M1:betaeff X,M1:betaeff Y,M1:cbb X,M1:cbb Y,M1:cbd X,M1:cbd Y,M1:cbdbo X,M1:cbdbo Y,M1:cbg X,M1:cbg Y,M1:cbgbo X,M1:cbgbo Y,M1:cbs X,M1:cbs Y,M1:cbsbo X,M1:cbsbo Y,M1:cdb X,M1:cdb Y,M1:cdd X,M1:cdd Y,M1:cddbo X,M1:cddbo Y,M1:cdg X,M1:cdg Y,M1:cdgbo X,M1:cdgbo Y,M1:cds X,M1:cds Y,M1:cdsbo X,M1:cdsbo Y,M1:cgb X,M1:cgb Y,M1:cgd X,M1:cgd Y,M1:cgdbo X,M1:cgdbo Y,M1:cgg X,M1:cgg Y,M1:cggbo X,M1:cggbo Y,M1:cgs X,M1:cgs Y,M1:cgsbo X,M1:cgsbo Y,M1:cjd X,M1:cjd Y,M1:cjs X,M1:cjs Y,M1:covlgb X,M1:covlgb Y,M1:covlgd X,M1:covlgd Y,M1:covlgs X,M1:covlgs Y,M1:csb X,M1:csb Y,M1:csd X,M1:csd Y,M1:csg X,M1:csg Y,M1:css X,M1:css Y,M1:d X,M1:d Y,M1:dtemp X,M1:dtemp Y,M1:fug X,M1:fug Y,M1:g X,M1:g Y,M1:gbd X,M1:gbd Y,M1:gbs X,M1:gbs Y,M1:gds X,M1:gds Y,M1:gm X,M1:gm Y,M1:gmb X,M1:gmb Y,M1:gmbs X,M1:gmbs Y,M1:gmoverid X,M1:gmoverid Y,M1:ibe X,M1:ibe Y,M1:ibulk X,M1:ibulk Y,M1:id X,M1:id Y,M1:idb X,M1:idb Y,M1:ide X,M1:ide Y,M1:ids X,M1:ids Y,M1:igb X,M1:igb Y,M1:igbacc X,M1:igbacc Y,M1:igbinv X,M1:igbinv Y,M1:igcd X,M1:igcd Y,M1:igcs X,M1:igcs Y,M1:igd X,M1:igd Y,M1:igdt X,M1:igdt Y,M1:ige X,M1:ige Y,M1:igidl X,M1:igidl Y,M1:igisl X,M1:igisl Y,M1:igs X,M1:igs Y,M1:isb X,M1:isb Y,M1:ise X,M1:ise Y,M1:isub X,M1:isub Y,M1:pwr X,M1:pwr Y,M1:qb X,M1:qb Y,M1:qbi X,M1:qbi Y,M1:qd X,M1:qd Y,M1:qdi X,M1:qdi Y,M1:qg X,M1:qg Y,M1:qgdovl X,M1:qgdovl Y,M1:qgi X,M1:qgi Y,M1:qgsovl X,M1:qgsovl Y,M1:qjd X,M1:qjd Y,M1:qjs X,M1:qjs Y,M1:qs X,M1:qs Y,M1:qsi X,M1:qsi Y,M1:rdeff X,M1:rdeff Y,M1:region X,M1:region Y,M1:reversed X,M1:reversed Y,M1:rgate X,M1:rgate Y,M1:rgbd X,M1:rgbd Y,M1:ron X,M1:ron Y,M1:rout X,M1:rout Y,M1:rseff X,M1:rseff Y,M1:s X,M1:s Y,M1:self_gain X,M1:self_gain Y,M1:trise X,M1:trise Y,M1:ueff X,M1:ueff Y,M1:vbs X,M1:vbs Y,M1:vdb X,M1:vdb Y,M1:vds X,M1:vds Y,M1:vdsat X,M1:vdsat Y,M1:vdss X,M1:vdss Y,M1:vearly X,M1:vearly Y,M1:vgb X,M1:vgb Y,M1:vgd X,M1:vgd Y,M1:vgs X,M1:vgs Y,M1:vgt X,M1:vgt Y,M1:vsat_marg X,M1:vsat_marg Y,M1:vsb X,M1:vsb Y,M1:vth X,M1:vth Y,V0:p X,V0:p Y,V1:p X,V1:p Y,V2:p X,V2:p Y,V3:p X,V3:p Y,net1 X,net1 Y,net2 X,net2 Y,net3 X,net3 Y,net4 X,net4 Y
0,-1.827815221386554e-12,0,1.213829816683932e-09,0,0.03570414157947896,0,2.025473426431081e-15,0,1.034677644382217e-19,0,1.034677644382217e-19,0,-2.018872817853002e-15,0,-2.018872817853002e-15,0,-6.704076342517266e-18,0,-6.704076342517357e-18,0,-2.038277753475449e-21,0,2.066956182836892e-15,0,2.082733245637859e-21,0,-2.066966144962138e-15,0,-1.204485849207932e-20,0,1.200040299991691e-20,0,1.200040299991691e-20,0,-2.020337114603573e-15,0,-2.066651329137086e-15,0,3.02770966560014e-19,0,6.236176204916897e-15,0,2.049225763630843e-15,0,-2.149187761176237e-15,0,-2.919141999383005e-17,0,3.684683652551943e-15,0,5.059413259999999e-15,0,0,0,2.066954100103646e-15,0,2.119996341182407e-15,0,-5.134273549754233e-18,0,-4.083214642438736e-19,0,-2.150337242101756e-15,0,2.155879837115755e-15,0,1.817355218137334e-10,0,0,0,131327.456256282,0,-5.287936425986875e-12,0,1.672722967571788e-12,0,1.001041447667113e-12,0,1.211922500376429e-10,0,5.145810377280046e-09,0,8.409378677908958e-10,0,8.409378677908958e-10,0,29.67257059740956,0,-1.827815221386554e-12,0,-6.278152213865545e-13,0,1.793355219496229e-10,0,1.340593650068995e-12,0,1.817355219496229e-10,0,1.734197703022494e-10,0,0,0,0,0,0,0,0,0,0,0,-5.287936425986875e-12,0,-5.287936425986875e-12,0,-5.287936425986875e-12,0,4.848179922298661e-13,0,0,0,0,0,-0,0,-1.746197703022494e-10,0,2.40357908769336e-15,0,2.152026263395475e-10,0,-1.994062098852926e-15,0,-1.994062098852926e-15,0,6.0103802438554e-17,0,6.0103802438554e-17,0,1.939492031294883e-15,0,-6.010518246502521e-17,0,1.939492031294883e-15,0,2.056074133119469e-18,0,-5.074841426961552e-15,0,0,0,-5.533734880510926e-18,0,-5.533734880510926e-18,0,6.658403170523242,0,0,0,0,0,0,0,0,0,6919626279.6828,0,8251352703.571353,0,6.658403170523242,0,-1.746197703022494e-10,0,42.45989636863523,0,0,0,0.02569742115390481,0,0,0,1.2,0,1.2,0,0.05380971553499604,0,0.05380971553499604,0,1.499563890373972,0,0,0,-1.2,0,0,0,-0.5472124987808511,0,1.146190284465004,0,-0,0,0.5472124987808511,0,-1.825561978486269e-12,0,2.919155310209314e-10,0,0.003863538560822136,0,2.333157806458194e-14,0,1.013036669406298e-18,0,1.013036669406298e-18,0,-2.307358570232876e-14,0,-2.307358570232876e-14,0,-2.590053989225876e-16,0,-2.59005398922589e-16,0,-4.745397822765169e-20,0,2.066995096506319e-15,0,4.099640267335077e-20,0,-2.067176002020602e-15,0,-2.219019169561435e-19,0,2.283594925104444e-19,0,2.283594925104444e-19,0,-2.32120691054269e-14,0,-2.065610926555939e-15,0,1.343173547707037e-18,0,2.781933508606674e-14,0,2.363238464478069e-14,0,-2.541655054083901e-15,0,-4.216587129014928e-16,0,3.684683652551943e-15,0,5.059413259999999e-15,0,0,0,2.066954100103646e-15,0,2.119996341182407e-15,0,-1.194615051768144e-16,0,-2.397206619786685e-18,0,-2.678573381717377e-15,0,2.800432093513978e-15,0,3.179721438408001e-11,0,0,0,4220.322198174315,0,-5.287936425986875e-12,0,1.672722967571788e-12,0,1.001041447667113e-12,0,5.166377472114328e-12,0,7.376871564358953e-10,0,1.47446476946639e-10,0,1.47446476946639e-10,0,31.4127095914708,0,-1.825561978486269e-12,0,-6.255619784862696e-13,0,2.939721458272326e-11,0,1.340593650068995e-12,0,3.179721458272326e-11,0,2.348371617825011e-11,0,0,0,0,0,0,0,0,0,0,0,-5.287936425986875e-12,0,-5.287936425986875e-12,0,-5.287936425986875e-12,0,4.848179922298661e-13,0,0,0,0,0,-0,0,-2.468371617825011e-11,0,1.503361874083779e-16,0,3.527665749926791e-11,0,-2.383769513715802e-14,0,-2.383769513715802e-14,0,6.007939862031896e-17,0,6.007939862031896e-17,0,2.384462419298108e-14,0,-6.010518246502521e-17,0,2.384462419298108e-14,0,2.056074133119469e-18,0,-5.074841426961552e-15,0,0,0,-6.70084544433768e-17,0,-6.70084544433768e-17,0,6.658403170523242,0,0,0,0,0,0,0,0,0,51099237909.85869,0,193559221213.9994,0,6.658403170523242,0,-2.468371617825011e-11,0,142.7861514993016,0,0,0,0.02801905980131568,0,0,0,1.2,0,1.2,0,0.04048242244799603,0,0.04048242244799603,0,6.154644091406337,0,0,0,-1.2,0,0,0,-0.4667463558164818,0,1.159517577552004,0,-0,0,0.4667463558164818,0,5.287936425986875e-12,0,-1.817355218137334e-10,0,5.287936425986875e-12,0,-3.179721438408001e-11,0,0,0,0,0,1.2,0,1.2
0.012,-1.725886742187618e-12,0.012,1.784869872664144e-09,0.012,0.03570414142166062,0.012,2.005670155830434e-15,0.012,1.225710725878718e-19,0.012,1.225710725878718e-19,0.012,-1.997372175648313e-15,0.012,-1.997372175648313e-15,0.012,-8.420551254708762e-18,0.012,-8.420551254708658e-18,0.012,-2.214085421887842e-21,0.012,2.067119788575189e-15,0.012,2.3137072715539e-21,0.012,-2.067130617430123e-15,0.012,-1.314256220606464e-20,0.012,1.304294035639859e-20,0.012,1.304294035639859e-20,0.012,-2.000091326664843e-15,0.012,-2.066796851004828e-15,0.012,3.20623863089394e-19,0.012,6.218484646834209e-15,0.012,2.030488439873369e-15,0.012,-2.151596469164537e-15,0.012,-3.071773707161525e-17,0.012,3.684683652551943e-15,0.012,5.059413259999999e-15,0.012,0,0.012,2.067117474867917e-15,0.012,2.120878732092923e-15,0.012,-5.576615080169362e-18,0.012,-4.455086429488198e-19,0.012,-2.153981853755772e-15,0.012,2.16000397747889e-15,0.012,2.556401461796766e-10,0.012,0,0.012,187999.5592539165,0.012,-5.126988116207696e-12,0.012,1.672722967571788e-12,0.012,1.001041447667113e-12,0.012,1.730090000546327e-10,0.012,7.345498356008088e-09,0.012,1.194831541114216e-09,0.012,1.194831541114216e-09,0.012,29.66836864199792,0.012,-1.725886742187618e-12,0.012,-5.258867421876177e-13,0.012,2.532401461796766e-10,0.012,1.340593650068995e-12,0.012,2.556401461796766e-10,0.012,2.475868641327975e-10,0.012,3.291357290292649e-16,0.012,3.291357290292649e-16,0.012,6.546909240916971e-35,0.012,3.244950807530034e-18,0.012,3.394932313207889e-18,0.012,-5.127727685371314e-12,0.012,-5.126988116207696e-12,0.012,-5.126988116207696e-12,0.012,3.815324309254982e-13,0.012,0,0.012,4.037935514674615e-16,0.012,-0,0.012,-2.487872713212813e-10,0.012,3.43152546409525e-15,0.012,3.038881754156119e-10,0.012,-2.018159200815329e-15,0.012,-2.018159200815329e-15,0.012,5.96919523509434e-17,0.012,5.96919523509434e-17,0.012,1.965434012550726e-15,0.012,-5.969348342258876e-17,0.012,1.965434012550726e-15,0.012,3.108638354324457e-18,0.012,-5.074841426961552e-15,0.012,0,0.012,-6.966764086339827e-18,0.012,-6.966764086339827e-18,0.012,6.658403170523242,0.012,0,0.012,0,0.012,0,0.012,0,0.012,4846783791.228759,0.012,5780046122.942854,0.012,6.658403170523242,0.012,-2.487872713212813e-10,0.012,42.45731929372766,0.012,0,0.012,0.02569742104031787,0.012,0,0.012,1.2,0.012,1.2,0.012,0.05380975102532077,0.012,0.05380975102532077,0.012,1.477611835794384,0.012,0.012,0.012,-1.188,0.012,0.012,0.012,-0.5352124987808511,0.012,1.146190248974679,0.012,-0,0.012,0.5472124987808511,0.012,-1.725548675376625e-12,0.012,4.089457017644319e-10,0.012,0.003863538542455318,0.012,2.311793422186269e-14,0.012,1.187403206308453e-18,0.012,1.187403206308453e-18,0.012,-2.281036881202875e-14,0.012,-2.281036881202875e-14,0.012,-3.087528130402426e-16,0.012,-3.087528130402412e-16,0.012,-5.17150102234477e-20,0.012,2.067162916034308e-15,0.012,4.544116639045194e-20,0.012,-2.067360211064177e-15,0.012,-2.427361962600148e-19,0.012,2.490100400930105e-19,0.012,2.490100400930105e-19,0.012,-2.298771399785108e-14,0.012,-2.06572826304971e-15,0.012,1.389211818206792e-18,0.012,2.760953052329681e-14,0.012,2.342153431633598e-14,0.012,-2.556088262396022e-15,0.012,-4.35209530303098e-16,0.012,3.684683652551943e-15,0.012,5.059413259999999e-15,0.012,0,0.012,2.067117474867917e-15,0.012,2.120878732092923e-15,0.012,-1.301685090013803e-16,0.012,-2.622056190905697e-18,0.012,-2.731801500203886e-15,0.012,2.864592065396171e-15,0.012,4.228380946085222e-11,0.012,0,0.012,6197.386358831633,0.012,-5.124058227205663e-12,0.012,1.672722967571788e-12,0.012,1.001041447667113e-12,0.012,7.530175899400793e-12,0.012,1.075096534953545e-09,0.012,2.140189987099276e-10,0.012,2.140189987099276e-10,0.012,31.40456412353361,0.012,-1.725548675376625e-12,0.012,-5.25548675376625e-13,0.012,3.988380946085222e-11,0.012,1.340593650068995e-12,0.012,4.228380946085222e-11,0.012,3.423376712775008e-11,0.012,3.203439617054597e-15,0.012,3.203439617054597e-15,0.012,8.062762307097189e-34,0.012,3.058802874384148e-17,0.012,3.163696838441956e-17,0.012,-5.127727685371314e-12,0.012,-5.124058227205663e-12,0.012,-5.124058227205663e-12,0.012,3.815324309254982e-13,0.012,0,0.012,4.037935514674615e-16,0.012,-0,0.012,-3.543420255826994e-11,0.012,2.191547650772511e-16,0.012,4.786057135302267e-11,0.012,-2.41129983158924e-14,0.012,-2.41129983158924e-14,0.012,5.966491372730821e-17,0.012,5.966491372730821e-17,0.012,2.412840646617213e-14,0.012,-5.969348342258876e-17,0.012,2.412840646617213e-14,0.012,3.108638354324457e-18,0.012,-5.074841426961552e-15,0.012,0,0.012,-7.507306400703419e-17,0.012,-7.507306400703419e-17,0.012,6.658403170523242,0.012,0,0.012,0,0.012,0,0.012,0,0.012,35053109858.51958,0.012,132799022673.5041,0.012,6.658403170523242,0.012,-3.543420255826994e-11,0.012,142.7717691215014,0.012,0,0.012,0.02801905966811628,0.012,0,0.012,1.2,0.012,1.2,0.012,0.04048251447080342,0.012,0.04048251447080342,0.012,5.615248571313841,0.012,0.012,0.012,-1.188,0.012,0.012,0.012,-0.4547463558164818,0.012,1.159517485529197,0.012,-0,0.012,0.4667463558164818,0.012,5.126988116207696e-12,0.012,-2.556401461796766e-10,0.012,5.124058227205663e-12,0.012,-4.228380946085222e-11,0.012,0.012,0.012,0.012,0.012,1.2,0.012,1.2
0.024,-1.644465145130661e-12,0.024,2.639395887149357e-09,0.024,0.03570414119638948,0.024,1.986484801411518e-15,0.024,1.448853832987207e-19,0.024,1.448853832987207e-19,0.024,-1.976211743532123e-15,0.024,-1.976211743532123e-15,0.024,-1.041794326269418e-17,0.024,-1.041794326269425e-17,0.024,-2.402233952449261e-21,0.024,2.067285770455307e-15,0.024,2.565801969614723e-21,0.024,-2.067297528367139e-15,0.024,-1.432371380122875e-20,0.024,1.416014578406329e-20,0.024,1.416014578406329e-20,0.024,-1.980432492613804e-15,0.024,-2.066945139680257e-15,0.024,3.380649730805299e-19,0.024,6.201302265682607e-15,0.024,2.012300811532331e-15,0.024,-2.153924633388545e-15,0.024,-3.220638389160748e-17,0.024,3.684683652551943e-15,0.024,5.059413259999999e-15,0.024,0,0.024,2.067283204653338e-15,0.024,2.121718249496938e-15,0.024,-6.049906563761751e-18,0.024,-4.855161583488654e-19,0.024,-2.157792993783345e-15,0.024,2.164328416505456e-15,0.024,3.612690525774547e-10,0.024,0,0.024,269084.6905842503,0.024,-4.970462777631015e-12,0.024,1.672722967571788e-12,0.024,1.001041447667113e-12,0.024,2.469625245036141e-10,0.024,1.048459739272521e-08,0.024,1.697475899840811e-09,0.024,1.697475899840811e-09,0.024,29.66328772276576,0.024,-1.644465145130661e-12,0.024,-4.444651451306614e-13,0.024,3.588690525774547e-10,0.024,1.340593650068995e-12,0.024,3.612690525774547e-10,0.024,3.534536525659147e-10,0.024,6.458451676058783e-16,0.024,6.458451676058783e-16,0.024,1.454868720203771e-34,0.024,8.235634802153449e-18,0.024,8.616285910789062e-18,0.024,-4.971588947211852e-12,0.024,-4.970462777631015e-12,0.024,-4.970462777631015e-12,0.024,2.983268258694637e-13,0.024,0,0.024,4.634724925180261e-16,0.024,-0,0.024,-3.546541246546931e-10,0.024,4.898824024596831e-15,0.024,4.306428630929456e-10,0.024,-2.042000392141773e-15,0.024,-2.042000392141773e-15,0.024,5.927811402685115e-17,0.024,5.927811402685115e-17,0.024,1.991166786709174e-15,0.024,-5.927980980835011e-17,0.024,1.991166786709174e-15,0.024,4.171535962060708e-18,0.024,-5.074841426961552e-15,0.024,0,0.024,-8.444508594252318e-18,0.024,-8.444508594252318e-18,0.024,6.658403170523242,0.024,0,0.024,0,0.024,0,0.024,0,0.024,3395070304.942499,0.024,4049197350.933971,0.024,6.658403170523242,0.024,-3.546541246546931e-10,0.024,42.45420398823214,0.024,0,0.024,0.02569742087818297,0.024,0,0.024,1.2,0.024,1.2,0.024,0.05380980168447179,0.024,0.05380980168447179,0.024,1.462849690671055,0.024,0.024,0.024,-1.176,0.024,0.024,0.024,-0.5232124987808511,0.024,1.146190198315528,0.024,-0,0.024,0.5472124987808511,0.024,-1.645525712699997e-12,0.024,5.888063337521145e-10,0.024,0.003863538515690064,0.024,2.291197017930044e-14,0.024,1.388932931445458e-18,0.024,1.388932931445458e-18,0.024,-2.254719575897844e-14,0.024,-2.254719575897844e-14,0.024,-3.661633532534456e-16,0.024,-3.66163353253446e-16,0.024,-5.640115857499207e-20,0.024,2.067333509121349e-15,0.024,5.030446801139115e-20,0.024,-2.067548934082819e-15,0.024,-2.657294294811817e-19,0.024,2.718261200447827e-19,0.024,2.718261200447827e-19,0.024,-2.276997368327956e-14,0.024,-2.065852329782695e-15,0.024,1.430874870642678e-18,0.024,2.740513712839654e-14,0.024,2.321613567424627e-14,0.024,-2.569311115334287e-15,0.024,-4.475928658373484e-16,0.024,3.684683652551943e-15,0.024,5.059413259999999e-15,0.024,0,0.024,2.067283204653338e-15,0.024,2.121718249496938e-15,0.024,-1.419400948623098e-16,0.024,-2.870112270099527e-18,0.024,-2.790392435335279e-15,0.024,2.935202642467688e-15,0.024,5.771018518211029e-11,0.024,0,0.024,9097.859081558918,0.024,-4.964681767694098e-12,0.024,1.672722967571788e-12,0.024,1.001041447667113e-12,0.024,1.097392533766002e-11,0.024,1.566574501936701e-09,0.024,3.105926604228582e-10,0.024,3.105926604228582e-10,0.024,31.39463473160707,0.024,-1.645525712699997e-12,0.024,-4.455257126999974e-13,0.024,5.531018518211029e-11,0.024,1.340593650068995e-12,0.024,5.771018518211029e-11,0.024,4.989943394243495e-11,0.024,6.285795405742745e-15,0.024,6.285795405742745e-15,0.024,1.759148139730296e-33,0.024,7.762483076601349e-17,0.024,8.028678872748273e-17,0.024,-4.971588947211852e-12,0.024,-4.964681767694098e-12,0.024,-4.964681767694098e-12,0.024,2.983268258694637e-13,0.024,0,0.024,4.634724925180261e-16,0.024,-0,0.024,-5.109997770171619e-11,0.024,3.194413557959871e-16,0.024,6.637222221853234e-11,0.024,-2.438514417059896e-14,0.024,-2.438514417059896e-14,0.024,5.924819167182015e-17,0.024,5.924819167182015e-17,0.024,2.44097036326426e-14,0.024,-5.927980980835011e-17,0.024,2.44097036326426e-14,0.024,4.171535962060708e-18,0.024,-5.074841426961552e-15,0.024,0,0.024,-8.380765371545932e-17,0.024,-8.380765371545932e-17,0.024,6.658403170523242,0.024,0,0.024,0,0.024,0,0.024,0,0.024,24048368993.21033,0.024,91125096009.92337,0.024,6.658403170523242,0.024,-5.109997770171619e-11,0.024,142.7542518956798,0.024,0,0.024,0.02801905947400996,0.024,0,0.024,1.2,0.024,1.2,0.024,0.04048264857167957,0.024,0.04048264857167957,0.024,5.258846165470257,0.024,0.024,0.024,-1.176,0.024,0.024,0.024,-0.4427463558164818,0.024,1.15951735142832,0.024,-0,0.024,0.4667463558164818,0.024,4.970462777631015e-12,0.024,-3.612690525774547e-10,0.024,4.964681767694098e-12,0.024,-5.771018518211029e-11,0.024,0.024,0.024,0.024,0.024,1.2,0.024,1.2
