Full Swing Tran Plot X,Full Swing Tran Plot Y,out SR+ Plot X,out SR+ Plot Y,in SR+ Plot X,in SR+ Plot Y
0,0.59988084445269,0,0.09138264352785985,0,0
4.539628899737527e-13,0.5998808444848361,4.539628899737527e-13,0.09143823231040336,4.539628899737527e-13,0.00181585155989501
8.164776813684692e-13,0.5998808445105068,8.164776813684692e-13,0.09148283547337438,8.164776813684692e-13,0.003265910725473877
1.541507264157902e-12,0.5998808445618475,1.541507264157902e-12,0.09157259976426496,1.541507264157902e-12,0.006166029056631609
2.991566429736768e-12,0.5998808446645294,2.991566429736768e-12,0.0917543386674273,2.991566429736768e-12,0.01196626571894707
5.8916847608945e-12,0.5998808448698935,5.8916847608945e-12,0.09212634824616017,5.8916847608945e-12,0.023566739043578
1.169192142320996e-11,0.599880845280622,1.169192142320996e-11,0.09290320222358628,1.169192142320996e-11,0.04676768569283986
2.329239474784089e-11,0.5998808461020787,2.329239474784089e-11,0.09457530058197673,2.329239474784089e-11,0.09316957899136355
4.182533164134744e-11,0.599880847414439,4.182533164134744e-11,0.09746232713642604,4.182533164134744e-11,0.1673013265653898
5.788494776982801e-11,0.5998808485516571,5.788494776982801e-11,0.1000633074003592,5.788494776982801e-11,0.231539791079312
7.264215043872912e-11,0.5998808495966481,7.264215043872912e-11,0.1025023312251056,7.264215043872912e-11,0.2905686017549164
9.317745552924478e-11,0.5998808510507987,9.317745552924478e-11,0.1059682551814908,9.317745552924478e-11,0.3727098221169791
1.276474191850092e-10,0.5998808534916912,1.276474191850092e-10,0.1119661995609614,1.276474191850092e-10,0.510589676740037
1.754185335650393e-10,0.5998808568744624,1.754185335650393e-10,0.1205670843386468,1.754185335650393e-10,0.701674134260157
2.258370223026104e-10,0.5998808604446938,2.258370223026104e-10,0.1298163764650367,2.258370223026104e-10,0.9033480892104419
2.629185111513052e-10,0.5998808630705025,2.629185111513052e-10,0.1366212663171703,2.629185111513052e-10,1.051674044605221
3e-10,0.5998808656963079,3e-10,0.1433634296612799,3e-10,1.2
3.036624380736965e-10,0.5998808659556515,3.036624380736965e-10,0.1431991430178378,3.036624380736965e-10,1.2
3.075586904317426e-10,0.5998808662315518,3.075586904317426e-10,0.1430251850086153,3.075586904317426e-10,1.2
3.133531500780131e-10,0.5998808666418671,3.133531500780131e-10,0.1427688846378602,3.133531500780131e-10,1.2
3.249420693705542e-10,0.5998808674624978,3.249420693705542e-10,0.1422649305012767,3.249420693705542e-10,1.2
3.481199079556363e-10,0.5998808691037583,3.481199079556363e-10,0.1412913398415895,3.481199079556363e-10,1.2
3.944755851258006e-10,0.5998808723862756,3.944755851258006e-10,0.1394701289364148,3.944755851258006e-10,1.2
4.871869394661292e-10,0.5998808789512954,4.871869394661292e-10,0.1362686765335098,4.871869394661292e-10,1.2
