"v /out; ac dB20(V) (V0=0,V1=0,V2=0,V3=1.2) X","v /out; ac dB20(V) (V0=0,V1=0,V2=0,V3=1.2) Y","v /out; ac dB20(V) (V0=0,V1=0,V2=1.2,V3=0) X","v /out; ac dB20(V) (V0=0,V1=0,V2=1.2,V3=0) Y","v /out; ac dB20(V) (V0=0,V1=0,V2=1.2,V3=1.2) X","v /out; ac dB20(V) (V0=0,V1=0,V2=1.2,V3=1.2) Y","v /out; ac dB20(V) (V0=0,V1=1.2,V2=0,V3=0) X","v /out; ac dB20(V) (V0=0,V1=1.2,V2=0,V3=0) Y","v /out; ac dB20(V) (V0=0,V1=1.2,V2=0,V3=1.2) X","v /out; ac dB20(V) (V0=0,V1=1.2,V2=0,V3=1.2) Y","v /out; ac dB20(V) (V0=0,V1=1.2,V2=1.2,V3=0) X","v /out; ac dB20(V) (V0=0,V1=1.2,V2=1.2,V3=0) Y","v /out; ac dB20(V) (V0=0,V1=1.2,V2=1.2,V3=1.2) X","v /out; ac dB20(V) (V0=0,V1=1.2,V2=1.2,V3=1.2) Y","v /out; ac dB20(V) (V0=1.2,V1=0,V2=0,V3=0) X","v /out; ac dB20(V) (V0=1.2,V1=0,V2=0,V3=0) Y","v /out; ac dB20(V) (V0=1.2,V1=0,V2=0,V3=1.2) X","v /out; ac dB20(V) (V0=1.2,V1=0,V2=0,V3=1.2) Y","v /out; ac dB20(V) (V0=1.2,V1=0,V2=1.2,V3=0) X","v /out; ac dB20(V) (V0=1.2,V1=0,V2=1.2,V3=0) Y","v /out; ac dB20(V) (V0=1.2,V1=0,V2=1.2,V3=1.2) X","v /out; ac dB20(V) (V0=1.2,V1=0,V2=1.2,V3=1.2) Y","v /out; ac dB20(V) (V0=1.2,V1=1.2,V2=0,V3=0) X","v /out; ac dB20(V) (V0=1.2,V1=1.2,V2=0,V3=0) Y","v /out; ac dB20(V) (V0=1.2,V1=1.2,V2=0,V3=1.2) X","v /out; ac dB20(V) (V0=1.2,V1=1.2,V2=0,V3=1.2) Y","v /out; ac dB20(V) (V0=1.2,V1=1.2,V2=1.2,V3=0) X","v /out; ac dB20(V) (V0=1.2,V1=1.2,V2=1.2,V3=0) Y","v /out; ac dB20(V) (V0=1.2,V1=1.2,V2=1.2,V3=1.2) X","v /out; ac dB20(V) (V0=1.2,V1=1.2,V2=1.2,V3=1.2) Y"
1,25.84852302880971,1,19.87539782093624,1,29.34829079480703,1,13.94932329364448,1,27.76479912580047,1,23.34170984154627,1,30.67546575792647,1,8.134535456319687,1,26.84263910195548,1,21.7487906820179,1,30.02588995727566,1,17.31940855676961,1,28.57167638996915,1,24.64504828283713,1,31.26047570874316
1.445439770745927,28.75191413034459,1.445439770745927,22.75504570223627,1.445439770745927,32.26285526052815,1.445439770745927,16.78195950103887,1.445439770745927,30.679337773404,1.445439770745927,26.24939634685208,1.445439770745927,33.596016033816,1.445439770745927,10.86144652698244,1.445439770745927,29.76038299117818,1.445439770745927,24.66056158841165,1.445439770745927,32.94919421039975,1.445439770745927,20.22708789779393,1.445439770745927,31.49660818324748,1.445439770745927,27.57036825644761,1.445439770745927,34.18807805236513
2.089296130854039,31.42040657178045,2.089296130854039,25.41139952713813,2.089296130854039,34.93693054876007,2.089296130854039,19.41404161685493,2.089296130854039,33.35337940095234,2.089296130854039,28.91988128610797,2.089296130854039,36.27305299057536,2.089296130854039,13.44152668576707,2.089296130854039,32.43630013386795,2.089296130854039,27.33357035218307,2.089296130854039,35.62779086777226,2.089296130854039,22.89822285042546,2.089296130854039,34.17602939488084,2.089296130854039,30.24999712907857,2.089296130854039,36.8687637930346
3.019951720402016,33.69613404568671,3.019951720402016,27.68113880170623,3.019951720402016,37.21536903781146,3.019951720402016,21.67171741922639,3.019951720402016,35.63180461385188,3.019951720402016,31.19655174893466,3.019951720402016,38.55291949133998,3.019951720402016,15.67400411043273,3.019951720402016,34.71571457914545,3.019951720402016,29.61159899971604,3.019951720402016,37.90847012376911,3.019951720402016,25.17538375326295,3.019951720402016,36.45712367066088,3.019951720402016,32.53121517758642,3.019951720402016,39.15043536580009
4.365158322401658,35.43759997094853,4.365158322401658,29.41971261691101,4.365158322401658,38.95812187901264,4.365158322401658,23.40441748330346,4.365158322401658,37.37456067712689,4.365158322401658,32.93847325746768,4.365158322401658,40.29634496465736,4.365158322401658,17.39457825618128,4.365158322401658,36.45897070846114,4.365158322401658,31.35421140087038,4.365158322401658,39.65230539081065,4.365158322401658,26.91759666647286,4.365158322401658,38.20117202751966,4.365158322401658,34.27534787774655,4.365158322401658,40.89472861302004
6.309573444801931,36.60860451854587,6.309573444801931,30.58933817629349,6.309573444801931,40.12972642793585,6.309573444801931,24.57121384591448,6.309573444801931,38.54617505918549,6.309573444801931,34.10970155137736,6.309573444801931,41.468259936287,6.309573444801931,18.55555887537873,6.309573444801931,37.63083370815242,6.309573444801931,32.52578300100762,6.309573444801931,40.82442462906691,6.309573444801931,28.08898681309101,6.309573444801931,39.37340313598953,6.309573444801931,35.44763824045159,6.309573444801931,42.0670528972328
9.120108393559095,37.30522464468665,9.120108393559095,31.28530434681145,9.120108393559095,40.82662428964226,9.120108393559095,25.2658241551453,9.120108393559095,39.24308213445089,9.120108393559095,34.80643210248802,9.120108393559095,42.16529987660412,9.120108393559095,19.247384107868,9.120108393559095,38.32786322072539,9.120108393559095,33.22268208831366,9.120108393559095,41.52156560891228,9.120108393559095,28.78580389501132,9.120108393559095,40.07060272572332,9.120108393559095,36.14487612236652,9.120108393559095,42.76428439377048
13.18256738556407,37.68291829400729,13.18256738556407,31.66268774026227,13.18256738556407,41.20444710095187,13.18256738556407,25.64255886701192,13.18256738556407,39.62091111365058,13.18256738556407,35.18417993674939,13.18256738556407,42.5431881316387,13.18256738556407,19.62278580168659,13.18256738556407,38.70575195374678,13.18256738556407,33.60051191890079,13.18256738556407,41.89950336444387,13.18256738556407,29.16359630703021,13.18256738556407,40.4485704732768,13.18256738556407,36.52286603112298,13.18256738556407,43.1422625126379
19.05460717963247,37.87603908096629,19.05460717963247,31.85566095187452,19.05460717963247,41.39762850339064,19.05460717963247,25.8352218049579,19.05460717963247,39.81409602847661,19.05460717963247,35.3773270942485,19.05460717963247,42.73640004568844,19.05460717963247,19.81481079623383,19.05460717963247,38.89896580936979,19.05460717963247,33.79369870147922,19.05460717963247,42.09273931706545,19.05460717963247,29.35676574899101,19.05460717963247,40.6418213944221,19.05460717963247,36.71612877511483,19.05460717963247,43.33551685183125
27.54228703338165,37.97160716804257,27.54228703338165,31.95115872856868,27.54228703338165,41.49322520648219,27.54228703338165,25.93057117046243,27.54228703338165,39.90969460302921,27.54228703338165,35.47290796823633,27.54228703338165,42.8320110911801,27.54228703338165,19.90985487905587,27.54228703338165,38.99457834096724,27.54228703338165,33.88929864968807,27.54228703338165,42.1883619814935,27.54228703338165,29.45235757276141,27.54228703338165,40.73745143026102,27.54228703338165,36.81176487990042,27.54228703338165,43.43114802046205
