out SR+ Plot X,out SR+ Plot Y,in SR+ Plot X,in SR+ Plot Y,pulse_out X,pulse_out Y,pulse_in X,pulse_in Y
0,0.005766886408178976,0,0,0,0.1999849679645995,0,0.2
1.216898894392913e-07,0.00576688640817897,1.216898894392913e-07,0,1.216898894392913e-07,0.1999849679645993,1.216898894392913e-07,0.2
2.197924939301924e-07,0.005766886408178971,2.197924939301924e-07,0,2.197924939301924e-07,0.1999849679645993,2.197924939301924e-07,0.2
3.619460277949538e-07,0.005766886408178974,3.619460277949538e-07,0,3.619460277949538e-07,0.1999849679645993,3.619460277949538e-07,0.2
5.511407794850463e-07,0.005766886408178973,5.511407794850463e-07,0,5.511407794850463e-07,0.1999849679645993,5.511407794850463e-07,0.2
9.295302828652315e-07,0.005766886408178973,9.295302828652315e-07,0,9.295302828652315e-07,0.1999849679645993,9.295302828652315e-07,0.2
1.686309289625602e-06,0.005766886408178974,1.686309289625602e-06,0,1.686309289625602e-06,0.1999849679645993,1.686309289625602e-06,0.2
3.199867303146342e-06,0.005766886408178974,3.199867303146342e-06,0,3.199867303146342e-06,0.1999849679645993,3.199867303146342e-06,0.2
6.030471581631263e-06,0.005766886408178975,6.030471581631263e-06,0,6.030471581631263e-06,0.1999849679645993,6.030471581631263e-06,0.2
8.015235790815631e-06,0.005766886408178975,8.015235790815631e-06,0,8.015235790815631e-06,0.1999849679645993,8.015235790815631e-06,0.2
9.007617895407817e-06,0.005766886408178974,9.007617895407817e-06,0,9.007617895407817e-06,0.1999849679645993,9.007617895407817e-06,0.2
1e-05,0.005766886408178974,1e-05,0,1e-05,0.1999849679645993,1e-05,0.2
1.000000064133603e-05,0.005766886408179172,1.000000064133603e-05,0,1.000000064133603e-05,0.2003535350715102,1.000000064133603e-05,0.2513068821911441
1.00000010930381e-05,0.005766886408178921,1.00000010930381e-05,0,1.00000010930381e-05,0.2005972162359907,1.00000010930381e-05,0.2874430480010246
1.00000016482624e-05,0.005766886408178623,1.00000016482624e-05,0,1.00000016482624e-05,0.2008760724660799,1.00000016482624e-05,0.3318609921230861
