pulse_out X,pulse_out Y,pulse_in X,pulse_in Y
2.059349264374361e-05,0.3768264469409741,2.059349264374361e-05,0.59
2.065354392982521e-05,0.3579663047643495,2.065354392982521e-05,0.59
2.069988946580319e-05,0.3490854123423026,2.069988946580319e-05,0.59
2.074619921798366e-05,0.3443242954571435,2.074619921798366e-05,0.59
2.07933594638668e-05,0.3428939305088008,2.07933594638668e-05,0.59
2.08545424808557e-05,0.3448600579040222,2.08545424808557e-05,0.59
2.091845106786477e-05,0.3501024786235072,2.091845106786477e-05,0.59
2.098365738422575e-05,0.3574322370510054,2.098365738422575e-05,0.59
2.104905156746303e-05,0.3656068309328154,2.104905156746303e-05,0.59
2.112270539067137e-05,0.3746100453950139,2.112270539067137e-05,0.59
2.120477352626341e-05,0.3833356120053791,2.120477352626341e-05,0.59
2.129919062511263e-05,0.3908989720814054,2.129919062511263e-05,0.59
2.141878365073152e-05,0.3965218839801167,2.141878365073152e-05,0.59
2.150478654935746e-05,0.3981837892464027,2.150478654935746e-05,0.59
2.165064198845104e-05,0.3980671851520945,2.165064198845104e-05,0.59
2.176547468660303e-05,0.396504455709909,2.176547468660303e-05,0.59
2.188818002450675e-05,0.3944672423918064,2.188818002450675e-05,0.59
2.203588592385358e-05,0.3924420386657338,2.203588592385358e-05,0.59
2.221099652608202e-05,0.3911106051882758,2.221099652608202e-05,0.59
2.240754567589491e-05,0.3907843264726877,2.240754567589491e-05,0.59
2.26244859736433e-05,0.3911634778632302,2.26244859736433e-05,0.59
2.290584861385265e-05,0.3917846997785069,2.290584861385265e-05,0.59
2.322289845231066e-05,0.3921143608686525,2.322289845231066e-05,0.59
2.366987698282861e-05,0.3920824225904295,2.366987698282861e-05,0.59
2.429980308522024e-05,0.3919114251672817,2.429980308522024e-05,0.59
2.502540985016876e-05,0.3918729172815281,2.502540985016876e-05,0.59
2.602540985016876e-05,0.3919061656368042,2.602540985016876e-05,0.59
2.702540985016876e-05,0.3919173160832231,2.702540985016876e-05,0.59
2.802540985016876e-05,0.3919137849885471,2.802540985016876e-05,0.59
2.902540985016876e-05,0.3919118217131041,2.902540985016876e-05,0.59
3e-05,0.3919120510120914,3e-05,0.5900000000067762
3.000001e-05,0.39191247328916,3.000001e-05,0.61
3.000001263529065e-05,0.3919125399265255,3.000001263529065e-05,0.61
3.000001558384646e-05,0.3919126905863031,3.000001558384646e-05,0.61
3.000001839061886e-05,0.3919127609856154,3.000001839061886e-05,0.61
3.000002400416366e-05,0.3919129009951695,3.000002400416366e-05,0.61
3.000003523125326e-05,0.391913177503666,3.000003523125326e-05,0.61
3.000005768543245e-05,0.391913716530459,3.000005768543245e-05,0.61
3.000010259379084e-05,0.3919147396154344,3.000010259379084e-05,0.61
3.000019241050762e-05,0.3919165739891731,3.000019241050762e-05,0.61
3.000037204394118e-05,0.391919454946766,3.000037204394118e-05,0.61
3.000073131080831e-05,0.3919224687342528,3.000073131080831e-05,0.61
3.000113779315367e-05,0.3919221480017831,3.000113779315367e-05,0.61
3.000159094623941e-05,0.3919180211285921,3.000159094623941e-05,0.61
3.000211890084595e-05,0.3919093429943585,3.000211890084595e-05,0.61
3.000275433822836e-05,0.3918948886062044,3.000275433822836e-05,0.61
3.000356731073738e-05,0.3918723008397899,3.000356731073738e-05,0.61
3.000468564390058e-05,0.391837777965192,3.000468564390058e-05,0.61
3.00063922177248e-05,0.3917861637743267,3.00063922177248e-05,0.61
3.000954829905025e-05,0.3917197386002735,3.000954829905025e-05,0.61
3.001405612714643e-05,0.391727231070397,3.001405612714643e-05,0.61
3.002001891367443e-05,0.3919552892968968,3.002001891367443e-05,0.61
3.002833993765996e-05,0.3927057545369518,3.002833993765996e-05,0.61
3.004204480380815e-05,0.3950272263317252,3.004204480380815e-05,0.61
3.006945453610453e-05,0.4035381905027421,3.006945453610453e-05,0.61
3.011573971484013e-05,0.4283222850551024,3.011573971484013e-05,0.61
3.01598656396164e-05,0.4620412590166593,3.01598656396164e-05,0.61
3.020014389762587e-05,0.4991946195826742,3.020014389762587e-05,0.61
3.023855117456798e-05,0.5382117320841338,3.023855117456798e-05,0.61
3.027583959631521e-05,0.5776462614198643,3.027583959631521e-05,0.61
3.03134722226147e-05,0.6174144169046669,3.03134722226147e-05,0.61
3.035268162813306e-05,0.6574001772014502,3.035268162813306e-05,0.61
3.039459867153479e-05,0.6972038538769556,3.039459867153479e-05,0.61
3.044019711253081e-05,0.7359621653608399,3.044019711253081e-05,0.61
3.049262047665731e-05,0.7736954364090066,3.049262047665731e-05,0.61
3.055420956633401e-05,0.8080109946164005,3.055420956633401e-05,0.61
3.062633518962123e-05,0.8349426268002821,3.062633518962123e-05,0.61
3.065909316021085e-05,0.8429274955858161,3.065909316021085e-05,0.61
3.071511122700125e-05,0.8517289362117284,3.071511122700125e-05,0.61
3.07765530786101e-05,0.8558584470882106,3.07765530786101e-05,0.61
3.083709852803755e-05,0.8557181309097426,3.083709852803755e-05,0.61
3.090162497210945e-05,0.8523927389623224,3.090162497210945e-05,0.61
3.097032102810172e-05,0.8466116093430873,3.097032102810172e-05,0.61
3.104397220037491e-05,0.8391514658503092,3.104397220037491e-05,0.61
3.112392815271486e-05,0.8308111200073781,3.112392815271486e-05,0.61
3.12119954846689e-05,0.8224532994148975,3.12119954846689e-05,0.61
3.131183156524131e-05,0.814930239569796,3.131183156524131e-05,0.61
3.143259458156554e-05,0.8090522899719785,3.143259458156554e-05,0.61
3.152659099240682e-05,0.8067733105331277,3.152659099240682e-05,0.61
3.165326285774333e-05,0.8060943064815044,3.165326285774333e-05,0.61
3.176409293760713e-05,0.8069407889837679,3.176409293760713e-05,0.61
3.188297692768557e-05,0.8084963234677318,3.188297692768557e-05,0.61
3.203530834528923e-05,0.8104614130675598,3.203530834528923e-05,0.61
3.220888398204014e-05,0.8119885553489478,3.220888398204014e-05,0.61
3.24325433555522e-05,0.8127309042293976,3.24325433555522e-05,0.61
3.266968272746309e-05,0.8125788791233773,3.266968272746309e-05,0.61
3.295233154791246e-05,0.8120572298760008,3.295233154791246e-05,0.61
3.328936886977203e-05,0.8116627491950351,3.328936886977203e-05,0.61
3.37226017695464e-05,0.811603653344232,3.37226017695464e-05,0.61
3.436267600721349e-05,0.8117460198125447,3.436267600721349e-05,0.61
3.515422522012847e-05,0.8118111175356777,3.515422522012847e-05,0.61
3.615422522012847e-05,0.8117895813333328,3.615422522012847e-05,0.61
3.715422522012847e-05,0.8117746956424081,3.715422522012847e-05,0.61
3.815422522012846e-05,0.8117758171974838,3.815422522012846e-05,0.61
3.915422522012846e-05,0.8117780240182711,3.915422522012846e-05,0.61
4e-05,0.8117781682874115,4e-05,0.61
4.000001e-05,0.8117779584201967,4.000001e-05,0.59
4.000001263529064e-05,0.8117778944196282,4.000001263529064e-05,0.59
4.000001558384645e-05,0.8117777363097085,4.000001558384645e-05,0.59
4.000001839061885e-05,0.811777668188072,4.000001839061885e-05,0.59
4.000002400416365e-05,0.8117775327139831,4.000002400416365e-05,0.59
4.000003523125325e-05,0.8117772650713373,4.000003523125325e-05,0.59
4.000005768543244e-05,0.8117767430719207,4.000005768543244e-05,0.59
4.000010259379083e-05,0.8117757513585169,4.000010259379083e-05,0.59
4.000019241050761e-05,0.8117739695346359,4.000019241050761e-05,0.59
4.000037204394118e-05,0.8117711565076622,4.000037204394118e-05,0.59
4.00007313108083e-05,0.8117681518790681,4.00007313108083e-05,0.59
4.000113735836571e-05,0.8117683088776479,4.000113735836571e-05,0.59
4.000158957476193e-05,0.8117720572376435,4.000158957476193e-05,0.59
4.000211596366905e-05,0.8117800551978488,4.000211596366905e-05,0.59
4.000274951890005e-05,0.811793380588773,4.000274951890005e-05,0.59
4.000356126714453e-05,0.8118140807207351,4.000356126714453e-05,0.59
4.000468162492674e-05,0.8118452516991945,4.000468162492674e-05,0.59
4.000640214017252e-05,0.8118899435257164,4.000640214017252e-05,0.59
4.000963295764621e-05,0.811936246521786,4.000963295764621e-05,0.59
4.001404988419469e-05,0.8118856091598741,4.001404988419469e-05,0.59
4.001978125062034e-05,0.8115971143000111,4.001978125062034e-05,0.59
4.002773320171851e-05,0.8107716816800936,4.002773320171851e-05,0.59
4.003999643691138e-05,0.8085629594757686,4.003999643691138e-05,0.59
4.006452290729713e-05,0.8009769238273506,4.006452290729713e-05,0.59
4.009753141482105e-05,0.7847278933786577,4.009753141482105e-05,0.59
4.013746323268698e-05,0.7572465744057938,4.013746323268698e-05,0.59
4.017751087102951e-05,0.7230818248565309,4.017751087102951e-05,0.59
4.021527321313665e-05,0.6867347735805425,4.021527321313665e-05,0.59
4.025255473738968e-05,0.6486370101666875,4.025255473738968e-05,0.59
4.029064431600498e-05,0.6089878393515776,4.029064431600498e-05,0.59
4.033046082996576e-05,0.5681838981075766,4.033046082996576e-05,0.59
4.037283263952145e-05,0.5268248535894695,4.037283263952145e-05,0.59
4.041856783072659e-05,0.4858222528681955,4.041856783072659e-05,0.59
4.046884331923665e-05,0.4462484704856538,4.046884331923665e-05,0.59
4.052555951378067e-05,0.4094490762585762,4.052555951378067e-05,0.59
4.059351083963876e-05,0.3768198405779347,4.059351083963876e-05,0.59
4.065356399967408e-05,0.357961737225084,4.065356399967408e-05,0.59
4.069991188741301e-05,0.3490823026646171,4.069991188741301e-05,0.59
4.074622064927018e-05,0.3443229306197569,4.074622064927018e-05,0.59
4.079338498522778e-05,0.342893853987614,4.079338498522778e-05,0.59
4.085456884962175e-05,0.3448615052433487,4.085456884962175e-05,0.59
4.091847816443153e-05,0.3501050194912829,4.091847816443153e-05,0.59
4.098368488165539e-05,0.3574353777392388,4.098368488165539e-05,0.59
4.10490830508901e-05,0.3656105882053699,4.10490830508901e-05,0.59
4.112274629687799e-05,0.3746145976947673,4.112274629687799e-05,0.59
4.120481916773845e-05,0.383339774168555,4.120481916773845e-05,0.59
4.129924407597307e-05,0.3909023419110023,4.129924407597307e-05,0.59
4.141884062390305e-05,0.396523562383309,4.141884062390305e-05,0.59
4.150484547959768e-05,0.3981843967880752,4.150484547959768e-05,0.59
4.165072470764811e-05,0.398066457445638,4.165072470764811e-05,0.59
4.176557419567353e-05,0.396503011024409,4.176557419567353e-05,0.59
4.188830576649855e-05,0.394465418966595,4.188830576649855e-05,0.59
4.203602698569974e-05,0.3924405985210688,4.203602698569974e-05,0.59
4.221117016829525e-05,0.391109865763877,4.221117016829525e-05,0.59
4.240772740595187e-05,0.3907843942789935,4.240772740595187e-05,0.59
4.262469356562368e-05,0.3911639401249724,4.262469356562368e-05,0.59
4.29061486330078e-05,0.3917851955068279,4.29061486330078e-05,0.59
4.32232593233997e-05,0.3921144988659639,4.32232593233997e-05,0.59
4.367046637697e-05,0.3920822605447803,4.367046637697e-05,0.59
4.430070758523484e-05,0.3919112942089019,4.430070758523484e-05,0.59
4.502653319069488e-05,0.3918729354923023,4.502653319069488e-05,0.59
4.602653319069488e-05,0.3919061926868269,4.602653319069488e-05,0.59
