input noise; V**2 / Hz X,input noise; V**2 / Hz Y
1,1.151475766849381e-12
1.0471285480509,1.09845158054813e-12
1.096478196143185,1.047914524271194e-12
1.148153621496883,9.997430198618609e-13
1.202264434617413,9.538220502812936e-13
1.258925411794168,9.100427305983992e-13
1.318256738556407,8.683019152707161e-13
1.380384264602885,8.285018379270525e-13
1.445439770745928,7.905497802329573e-13
1.513561248436209,7.543577669318012e-13
1.584893192461114,7.198422843701541e-13
1.659586907437562,6.869240202654957e-13
1.737800828749376,6.555276226106649e-13
1.819700858609985,6.255814759174406e-13
1.905460717963249,5.970174932131863e-13
1.995262314968881,5.697709223077564e-13
2.089296130854041,5.437801651134917e-13
2.187761623949555,5.189866088325078e-13
2.290867652767775,4.953344680487973e-13
2.398832919019493,4.727706367705602e-13
2.511886431509583,4.512445496501223e-13
2.630267991895385,4.30708051613838e-13
2.75422870333817,4.111152753100838e-13
2.884031503126609,3.924225256961927e-13
3.01995172040202,3.745881713172348e-13
3.162277660168384,3.575725417410141e-13
3.311311214825916,3.413378307358403e-13
3.467368504525322,3.25848004773336e-13
3.630780547701019,3.110687165305381e-13
3.801893963205618,2.969672230236266e-13
3.981071705534979,2.835123080872836e-13
4.168693834703362,2.706742089363605e-13
4.365158322401668,2.584245465344813e-13
4.57088189614876,2.467362595455835e-13
4.786300923226394,2.355835416594295e-13
5.011872336272734,2.249417820843531e-13
5.248074602497739,2.147875090233373e-13
5.495408738576259,2.050983359686246e-13
5.754399373371584,1.95852910653971e-13
6.025595860743593,1.870308665183896e-13
6.309573444801949,1.786127765376055e-13
6.606934480075978,1.705801093052771e-13
6.918309709189384,1.629151872414044e-13
7.244359600749922,1.556011468087569e-13
7.585775750291861,1.486219006412726e-13
7.94328234724284,1.419621014831747e-13
8.317637711026737,1.356071078441103e-13
8.709635899560835,1.295429512847651e-13
9.120108393559129,1.237563052495257e-13
9.549925860214392,1.182344553755524e-13
10.00000000000004,1.129652711909811e-13
10.47128548050903,1.079371791524413e-13
10.96478196143189,1.031391369371753e-13
11.48153621496887,9.856060894606251e-14
12.02264434617418,9.41915429450872e-14
12.58925411794172,9.002234779675635e-14
13.18256738556412,8.604387223063188e-14
13.8038426460289,8.224738459930588e-14
14.45439770745934,7.862455357240138e-14
15.13561248436215,7.516742973112315e-14
15.8489319246112,7.186842800945839e-14
16.59586907437568,6.872031095280809e-14
17.37800828749383,6.571617274793294e-14
18.19700858609992,6.284942399311069e-14
19.05460717963256,6.011377716924987e-14
19.95262314968889,5.750323278313128e-14
20.8929613085405,5.501206614875068e-14
21.87761623949564,5.26348147781926e-14
22.90867652767785,5.03662663530265e-14
23.98832919019503,4.820144725013122e-14
25.11886431509593,4.613561159466959e-14
26.30267991895396,4.416423081710947e-14
27.54228703338181,4.228298369129939e-14
28.84031503126622,4.048774682826426e-14
30.19951720402033,3.877458560970673e-14
31.62277660168397,3.713974553540373e-14
33.1131121482593,3.557964396967131e-14
34.67368504525336,3.409086226604482e-14
36.30780547701035,3.267013825464598e-14
38.01893963205634,3.131435907202785e-14
39.81071705534996,3.002055432257775e-14
41.68693834703379,2.878588955248263e-14
43.65158322401686,2.760766002240469e-14
45.70881896148778,2.648328476782073e-14
47.86300923226413,2.541030092925881e-14
50.11872336272754,2.438635834457875e-14
52.48074602497758,2.340921438779523e-14
54.9540873857628,2.247672904550645e-14
57.54399373371606,2.158686021828816e-14
60.25595860743616,2.073765923790564e-14
63.09573444801973,1.992726658948968e-14
66.06934480076004,1.915390783047989e-14
69.18309709189411,1.841588969556838e-14
72.44359600749949,1.771159638131688e-14
75.85775750291889,1.703948599965281e-14
79.43282347242869,1.639808719508294e-14
83.17637711026768,1.578599591602472e-14
87.09635899560868,1.520187233441464e-14
91.20108393559163,1.464443790631071e-14
95.49925860214428,1.411247256698582e-14
100.0000000000007,1.360481205497828e-14
104.7128548050907,1.312034535784897e-14
109.6478196143193,1.265801227585023e-14
114.8153621496891,1.221680109628177e-14
120.2264434617422,1.179574637519175e-14
125.8925411794177,1.13939268198523e-14
131.8256738556417,1.101046326869385e-14
138.0384264602895,1.064451676372971e-14
144.5439770745939,1.029528671075658e-14
151.356124843622,9.962009124493316e-15
158.4893192461126,9.643954953336288e-15
165.9586907437574,9.340428481371226e-15
173.7800828749389,9.050765803255316e-15
181.9700858609998,8.774333368879855e-15
190.5460717963263,8.510526594842471e-15
199.5262314968896,8.258768539294913e-15
208.9296130854057,8.018508637561829e-15
218.7761623949571,7.789221495547717e-15
229.0867652767792,7.570405738388733e-15
239.8832919019511,7.361582911862641e-15
251.1886431509601,7.162296433989525e-15
263.0267991895404,6.972110594608676e-15
275.422870333819,6.790609600848222e-15
288.4031503126631,6.617396666129232e-15
301.9951720402042,6.45209314098194e-15
316.2277660168407,6.294337683537207e-15
331.131121482594,6.143785468035501e-15
346.7368504525347,6.000107429532775e-15
363.0780547701045,5.862989543154772e-15
380.1893963205646,5.73213213634579e-15
398.1071705535009,5.607249232574324e-15
416.8693834703392,5.488067925061897e-15
436.51583224017,5.374327779168741e-15
457.0881896148792,5.265780262119276e-15
478.6300923226428,5.162188198820893e-15
501.187233627277,5.063325252564023e-15
524.8074602497775,4.968975429489519e-15
549.5408738576297,4.878932605723333e-15
575.4399373371623,4.793000076133074e-15
602.5595860743634,4.710990123733547e-15
630.9573444801993,4.632723608785386e-15
660.6934480076023,4.558029576689185e-15
