"v /out; ac dB20(V) (V0=0,V1=0,V2=1.2) X","v /out; ac dB20(V) (V0=0,V1=0,V2=1.2) Y","v /out; ac dB20(V) (V0=0,V1=1.2,V2=0) X","v /out; ac dB20(V) (V0=0,V1=1.2,V2=0) Y","v /out; ac dB20(V) (V0=0,V1=1.2,V2=1.2) X","v /out; ac dB20(V) (V0=0,V1=1.2,V2=1.2) Y","v /out; ac dB20(V) (V0=1.2,V1=0,V2=0) X","v /out; ac dB20(V) (V0=1.2,V1=0,V2=0) Y","v /out; ac dB20(V) (V0=1.2,V1=0,V2=1.2) X","v /out; ac dB20(V) (V0=1.2,V1=0,V2=1.2) Y","v /out; ac dB20(V) (V0=1.2,V1=1.2,V2=0) X","v /out; ac dB20(V) (V0=1.2,V1=1.2,V2=0) Y","v /out; ac dB20(V) (V0=1.2,V1=1.2,V2=1.2) X","v /out; ac dB20(V) (V0=1.2,V1=1.2,V2=1.2) Y"
1,11.87138728567024,1,8.48596446813092,1,16.07731591684405,1,-1.153110407216587,1,13.11294175339042,1,10.25397520904494,1,16.86852193050292
1.445439770745927,14.91730712130145,1.445439770745927,11.48609059217152,1.445439770745927,19.2181964275867,1.445439770745927,1.171200290716997,1.445439770745927,16.23676865595213,1.445439770745927,13.37349097857919,1.445439770745927,20.04996058715976
2.089296130854039,17.98239878545708,2.089296130854039,14.51507562634033,2.089296130854039,22.34414700892694,2.089296130854039,3.82212774827312,2.089296130854039,19.36809799889931,2.089296130854039,16.50389723099114,2.089296130854039,23.21143458508168
3.019951720402016,21.04223402993406,3.019951720402016,17.55026823864915,3.019951720402016,25.43998737843726,3.019951720402016,6.666994688588705,3.019951720402016,22.47360962277472,3.019951720402016,19.60927335329792,3.019951720402016,26.3320286939284
4.365158322401658,24.04659497819214,4.365158322401658,20.5400737946042,4.365158322401658,28.46399801230088,4.365158322401658,9.56513727387984,4.365158322401658,25.5048710091987,4.365158322401658,22.64054421907243,4.365158322401658,29.37066883451852
6.309573444801931,26.90972288711748,6.309573444801931,23.39540139390133,6.309573444801931,31.3372405334514,6.309573444801931,12.37680740540059,6.309573444801931,28.38235890609536,6.309573444801931,25.51805147802607,6.309573444801931,32.25172960205688
9.120108393559095,29.50155874343571,9.120108393559095,25.9832788178937,9.120108393559095,33.93410937766041,9.120108393559095,14.94388580357703,9.120108393559095,30.98145619057395,9.120108393559095,28.11715690168752,9.120108393559095,34.85255233780006
13.18256738556407,31.66167693972616,13.18256738556407,28.14144071263526,13.18256738556407,36.09669269579786,13.18256738556407,17.09211271066722,13.18256738556407,33.14514583863576,13.18256738556407,30.28084429240144,13.18256738556407,37.01707885005769
19.05460717963247,33.26623976033985,19.05460717963247,29.74504667610855,19.05460717963247,37.70245731672355,19.05460717963247,18.69096040595943,19.05460717963247,34.75144163205436,19.05460717963247,31.88713215555975,19.05460717963247,38.62378459872738
27.54228703338165,34.31246796321197,27.54228703338165,30.79080857556527,27.54228703338165,38.74927101737996,27.54228703338165,19.73443915641057,27.54228703338165,35.79850528722957,27.54228703338165,32.9341871756838,27.54228703338165,39.67105073336678
39.81071705534971,34.91938662632187,39.81071705534971,31.39750083391116,39.81071705534971,39.35647413523857,39.81071705534971,20.34003557064064,39.81071705534971,36.40582535758109,39.81071705534971,33.5415008087221,39.81071705534971,40.27847058152879
57.54399373371566,35.24296559259835,57.54399373371566,31.72097050916794,57.54399373371566,39.68019037074139,57.54399373371566,20.66298000721707,57.54399373371566,36.72959673265233,57.54399373371566,33.8652683994321,57.54399373371566,40.60229041127105
83.17637711026705,35.40682086481909,83.17637711026705,31.8847735238665,83.17637711026705,39.84411095306965,83.17637711026705,20.82653233494583,83.17637711026705,36.89354391754006,83.17637711026705,34.02921384927046,83.17637711026705,40.76626026900839
120.2264434617412,35.48749215461649,120.2264434617412,31.96542048719992,120.2264434617412,39.92481188252158,120.2264434617412,20.90706147440902,120.2264434617412,36.97425862879532,120.2264434617412,34.10992835376723,120.2264434617412,40.84698415512695
173.7800828749374,35.52663981780961,173.7800828749374,32.00455808640494,173.7800828749374,39.96397014180268,173.7800828749374,20.94614736054464,173.7800828749374,37.01342583790998,173.7800828749374,34.14909688859329,173.7800828749374,40.88615209768229
251.1886431509578,35.54549962453889,251.1886431509578,32.02341640147652,251.1886431509578,39.98282748285548,251.1886431509578,20.96499066402092,251.1886431509578,37.03229241709175,251.1886431509578,34.16796710530384,251.1886431509578,40.90501135625789
363.0780547701011,35.55454876987765,363.0780547701011,32.032471741949,363.0780547701011,39.99185975358196,363.0780547701011,20.97405881687408,363.0780547701011,37.04133945886447,363.0780547701011,34.1770221539016,363.0780547701011,40.91403889589587
524.8074602497721,35.55887198959593,524.8074602497721,32.0368121689131,524.8074602497721,39.99614237434008,524.8074602497721,20.97844565414798,524.8074602497721,37.04565072698679,524.8074602497721,34.18135028277202,524.8074602497721,40.91830756504478
758.5775750291831,35.5609105721969,758.5775750291831,32.03888797547354,758.5775750291831,39.99809464312871,758.5775750291831,20.98062189961236,758.5775750291831,37.04766160156496,758.5775750291831,34.18339619467908,758.5775750291831,40.92022919087381
1096.478196143184,35.56181401633352,1096.478196143184,32.03986706236851,1096.478196143184,39.9988208443062,1096.478196143184,20.9817913715147,1096.478196143184,37.04850897939567,1096.478196143184,34.18431578159016,1096.478196143184,40.92089226886306
1584.893192461112,35.56207864192942,1584.893192461112,32.04028053832684,1584.893192461112,39.99872800176849,1584.893192461112,20.98253029605818,1584.893192461112,37.0486666901436,1584.893192461112,34.18462118389024,1584.893192461112,40.92067279492133
