DM Phase Plot X,DM Phase Plot Y,cl phase X,cl phase Y,DM Gain Plot X,DM Gain Plot Y,CM Gain Plot X,CM Gain Plot Y,CMRR Plot X,CMRR Plot Y,DM CL Gain Plot X,DM CL Gain Plot Y,cl gain X,cl gain Y
1,-2.327643013125771,1,-3.320921887764876e-06,1,90.48680687640511,1,-60.250199377613,1,60.25114173467329,1,0.2179175648394364,1,0.0009423570602886133
1.029200527194428,-2.396151465677801,1.029200527194428,-3.417894557659116e-06,1.029200527194428,90.48637853954678,1.029200527194428,-60.15483259463487,1.029200527194428,60.15577495169521,1.029200527194428,0.2432631667194159,1.029200527194428,0.0009423570603426098
1.059253725177289,-2.466635707111763,1.059253725177289,-3.517698880637742e-06,1.059253725177289,90.48592486721995,1.059253725177289,-60.06284372215693,1.059253725177289,60.06378607921734,1.059253725177289,0.2680637391445239,1.059253725177289,0.0009423570604081768
1.090184492385128,-2.539153288862564,1.090184492385128,-3.620417542463648e-06,1.090184492385128,90.48544436387009,1.090184492385128,-59.9741805626514,1.090184492385128,59.97512291971187,1.090184492385128,0.2922993977802867,1.090184492385128,0.0009423570604756724
1.122018454301964,-2.613763371191992,1.122018454301964,-3.726135643367539e-06,1.122018454301964,90.48493544600451,1.122018454301964,-59.88878737973725,1.122018454301964,59.8897297367978,1.122018454301964,0.3159526396627697,1.122018454301964,0.0009423570605450965
1.154781984689459,-2.690526765415995,1.154781984689459,-3.834940768551829e-06,1.154781984689459,90.4843964370654,1.154781984689459,-59.8066050008992,1.154781984689459,59.80754735795981,1.154781984689459,0.3390083647360413,1.154781984689459,0.0009423570606183775
1.188502227437019,-2.769505976894811,1.188502227437019,-3.946923060752953e-06,1.188502227437019,90.48382556200846,1.188502227437019,-59.72757080581793,1.188502227437019,59.72851316287863,1.188502227437019,0.3614538792472878,1.188502227437019,0.0009423570607013007
1.223207119049932,-2.850765248767987,1.223207119049932,-4.062175294922787e-06,1.223207119049932,90.48322094157118,1.223207119049932,-59.6516172261593,1.223207119049932,59.65255958322008,1.223207119049932,0.3832788709778036,1.223207119049932,0.0009423570607822954
1.258925411794168,-2.934370606412911,1.258925411794168,-4.180792955090775e-06,1.258925411794168,90.48258058621501,1.258925411794168,-59.57867613415611,1.258925411794168,59.57961849121698,1.258925411794168,0.4044753678823887,1.258925411794168,0.0009423570608710039
1.29568669751702,-3.02038990260005,1.29568669751702,-4.302874313470167e-06,1.29568669751702,90.48190238972214,1.29568669751702,-59.5086752959595,1.29568669751702,59.50961765302046,1.29568669751702,0.4250376742750339,1.29568669751702,0.0009423570609674262
1.333521432163325,-3.108892863313487,1.333521432163325,-4.42852051187491e-06,1.333521432163325,90.48118412242808,1.333521432163325,-59.44154168443866,1.333521432163325,59.44248404149972,1.333521432163325,0.4449622919521839,1.333521432163325,0.0009423570610657769
1.372460961007563,-3.199951134201088,1.372460961007563,-4.557835645512975e-06,1.372460961007563,90.48042342407247,1.372460961007563,-59.37719919466846,1.372460961007563,59.37814155172963,1.372460961007563,0.4642478277357118,1.372460961007563,0.0009423570611718415
1.412537544622755,-3.29363832761047,1.412537544622755,-4.690926849227537e-06,1.412537544622755,90.4796177962448,1.412537544622755,-59.3155698929685,1.412537544622755,59.31651225002979,1.412537544622755,0.4828948862123664,1.412537544622755,0.0009423570612836912
1.453784385607663,-3.390030070162838,1.453784385607663,-4.827904386255528e-06,1.453784385607663,90.47876459440556,1.453784385607663,-59.25657734517389,1.453784385607663,59.25751970223529,1.453784385607663,0.50090595460723,1.453784385607663,0.0009423570613993982
1.496235656094435,-3.489204050807718,1.496235656094435,-4.968881739578556e-06,1.496235656094435,90.47786101945893,1.496235656094435,-59.20014094333378,1.496235656094435,59.2010833003953,1.496235656094435,0.5182852806974738,1.496235656094435,0.0009423570615266755
1.539926526059493,-3.591240069295535,1.539926526059493,-5.113975705941029e-06,1.539926526059493,90.47690410885488,1.539926526059493,-59.14618198232118,1.539926526059493,59.14712433938284,1.539926526059493,0.5350387431361361,1.539926526059493,0.0009423570616578098
1.584893192461115,-3.69622008499457,1.584893192461115,-5.263306492614048e-06,1.584893192461115,90.475890727194,1.584893192461115,-59.0946194609357,1.584893192461115,59.0955618179975,1.584893192461115,0.5511737194534269,1.584893192461115,0.0009423570617966579
1.63117290922784,-3.804228265972193,1.63117290922784,-5.416997816984258e-06,1.63117290922784,90.47481755631267,1.63117290922784,-59.04537451057644,1.63117290922784,59.04631686763839,1.63117290922784,0.566698950858202,1.63117290922784,0.0009423570619451482
1.678804018122562,-3.91535103824633,1.678804018122562,-5.575177009051305e-06,1.678804018122562,90.47368108481695,1.678804018122562,-58.99836779109256,1.678804018122562,58.99931014815466,1.678804018122562,0.5816244101322174,1.678804018122562,0.0009423570621032807
1.727825980507865,-4.029677135107298,1.727825980507865,-5.73797511691792e-06,1.727825980507865,90.47247759704371,1.727825980507865,-58.95351947400785,1.727825980507865,58.95446183107012,1.727825980507865,0.5959611671603057,1.727825980507865,0.0009423570622710555
1.778279410038925,-4.147297646392392,1.778279410038925,-5.905527015360494e-06,1.778279410038925,90.47120316141385,1.778279410038925,-58.91075130937055,1.778279410038925,58.911693666433,1.778279410038925,0.6097212596877947,1.778279410038925,0.0009423570624484725
1.830206106311058,-4.268306067587199,1.830206106311058,-6.077971517570003e-06,1.830206106311058,90.46985361815167,1.830206106311058,-58.86998620956753,1.830206106311058,58.87092856663017,1.830206106311058,0.6229175665817513,1.830206106311058,0.0009423570626374602
