RA X,RA Y,RB X,RB Y,RC X,RC Y,RD X,RD Y,RE X,RE Y,RF X,RF Y,R_active X,R_active Y
0.3,7332762447.050444,0.3,33392086.89430881,0.3,238966118480.379,0.3,147342165184.8159,0.3,305993385640.6512,0.3,176587984849.5312,0.3,217679426876.6588
0.312,8462656548.385938,0.312,45046139.0058713,0.312,238896956473.6408,0.312,150120405708.7203,0.312,303293961767.6097,0.312,178974954781.2783,0.312,219794539301.3666
0.324,9756434300.598989,0.324,61067354.01176518,0.324,238501058409.6946,0.324,152671237242.8952,0.324,300203094755.4895,0.324,181059792322.2894,0.324,221375896521.7962
0.336,11234102231.96049,0.336,83116273.70703688,0.336,237762736061.2473,0.336,154958115842.4288,0.336,296709214356.9295,0.336,182811480357.7474,0.336,222564352220.8787
0.348,12916948766.55058,0.348,113470395.6935944,0.348,236666702913.1729,0.348,156942945222.5706,0.348,292801443652.5879,0.348,184197840793.4662,0.348,223328852752.5931
0.36,14827230685.7496,0.36,155240727.0436409,0.36,235198304955.7054,0.36,158585843170.0801,0.36,288469815731.4557,0.36,185185737616.408,0.36,223637705954.6966
0.3720000000000001,16987687675.20972,0.3720000000000001,212656491.2428543,0.3720000000000001,233343802084.2988,0.3720000000000001,159845020446.4555,0.3720000000000001,283705535653.413,0.3720000000000001,185741369607.7759,0.3720000000000001,223458925123.2274
0.3840000000000001,19420657712.14548,0.3840000000000001,291434469.0633936,0.3840000000000001,231090709611.1943,0.3840000000000001,160676755354.2564,0.3840000000000001,278501296985.9634,0.3840000000000001,185830684081.4512,0.3840000000000001,222760699164.3055
0.3960000000000001,22146901599.48433,0.3960000000000001,399250018.574274,0.3960000000000001,228428210509.2835,0.3960000000000001,161035464606.4756,0.3960000000000001,272851663843.0538,0.3960000000000001,185419956571.9767,0.3960000000000001,221512037902.3743
0.4080000000000001,25184915570.92597,0.4080000000000001,546324351.3037302,0.4080000000000001,225347649772.4645,0.4080000000000001,160873884438.5781,0.4080000000000001,266753531020.1431,0.4080000000000001,184476600263.1308,0.4080000000000001,219683660567.5656
0.4200000000000001,28548975787.52645,0.4200000000000001,746134293.5750535,0.4200000000000001,221843122274.2565,0.4200000000000001,160143390509.302,0.4200000000000001,260206676288.3579,0.4200000000000001,182970295973.0155,0.4200000000000001,217249221971.5484
0.4320000000000001,32247089897.56877,0.4320000000000001,1016231850.059338,0.4320000000000001,217912164087.051,0.4320000000000001,158794503306.3059,0.4320000000000001,253214419763.0851,0.4320000000000001,180874572162.8871,0.4320000000000001,214187007421.4386
0.4440000000000001,36278696761.4471,0.4440000000000001,1379124150.808969,0.4440000000000001,213556553398.5513,0.4440000000000001,156777650401.6221,0.4440000000000001,245784404769.6247,0.4440000000000001,178169019035.8991,0.4440000000000001,210482276420.9785
0.4560000000000001,40632380104.62997,0.4560000000000001,1863066937.178862,0.4560000000000001,208783219525.2681,0.4560000000000001,154044291928.884,0.4560000000000001,237929511595.0835,0.4560000000000001,174842395977.3335,0.4560000000000001,206130498577.906
0.4680000000000001,45284229088.37862,0.4680000000000001,2502515452.976159,0.4680000000000001,203605245224.0051,0.4680000000000001,150548566512.4726,0.4680000000000001,229668908074.7366,0.4680000000000001,170896994646.7579,0.4680000000000001,201141852639.2596
0.4800000000000001,50198081656.46738,0.4800000000000001,3338034182.567973,0.4800000000000001,198042926388.4584,0.4800000000000001,146249688729.1026,0.4800000000000001,221029226376.8184,0.4800000000000001,166356002339.5095,0.4800000000000001,195573468727.6449
0.4920000000000002,55329763171.13098,0.4920000000000002,4415056946.885846,0.4920000000000002,192124822325.3286,0.4920000000000002,141115434226.4092,0.4920000000000002,212045829938.3855,0.4920000000000002,161308703884.2144,0.4920000000000002,189545172366.268
0.5040000000000001,60638270769.54432,0.5040000000000001,5781201869.10485,0.5040000000000001,185888688471.1783,0.5040000000000001,135127198013.3654,0.5040000000000001,202764093962.4995,0.5040000000000001,155863220055.6792,0.5040000000000001,183122216458.4512
0.5160000000000001,66106431405.06371,0.5160000000000001,7483002051.631698,0.5160000000000001,179382134237.9247,0.5160000000000001,128289655033.0453,0.5160000000000001,193240563527.6912,0.5160000000000001,150128990495.2962,0.5160000000000001,176415283550.1051
0.5280000000000001,71769455057.40874,0.5280000000000001,9567562037.110035,0.5280000000000001,172662800285.1569,0.5280000000000001,120639609864.8269,0.5280000000000001,183543775042.3293,0.5280000000000001,144294414593.6277,0.5280000000000001,169613136106.5149
0.5400000000000001,77740894067.90157,0.5400000000000001,12101544225.48645,0.5400000000000001,165797819184.2324,0.5400000000000001,112251739772.9653,0.5400000000000001,173754438197.1025,0.5400000000000001,138635899563.3126,0.5400000000000001,162978718776.3985
0.5520000000000002,84218749758.94403,0.5520000000000002,15209502711.41665,0.5520000000000002,158862337209.203,0.5520000000000002,103263006968.2138,0.5520000000000002,163964601558.1705,0.5520000000000002,133512715204.8663,0.5520000000000002,156838547341.1856
0.5640000000000002,91463753924.36017,0.5640000000000002,19088848859.6728,0.5640000000000002,151936961518.4332,0.5640000000000002,93889573352.19522,0.5640000000000002,154275412200.1306,0.5640000000000002,129346945749.2912,0.5640000000000002,151559089617.024
0.5760000000000002,99764609501.63966,0.5760000000000002,23978286125.19956,0.5760000000000002,145104172231.5763,0.5760000000000002,84433250160.42464,0.5760000000000002,144793192293.9472,0.5760000000000002,126585764626.4341,0.5760000000000002,147510067132.2225
