DM Phase Plot X,DM Phase Plot Y,cl phase X,cl phase Y,DM Gain Plot X,DM Gain Plot Y,CM Gain Plot X,CM Gain Plot Y,CMRR Plot X,CMRR Plot Y,DM CL Gain Plot X,DM CL Gain Plot Y,cl gain X,cl gain Y,psr X,psr Y
1,-3.570028546656985,1,59.4040804284781,1,117.5774427147885,1,-37.40207376052746,1,61.58345687943489,1,24.18632360942986,1,24.18138311890742,1,-99.3627625476342
1.029200527194428,-3.674006712880712,1.029200527194428,58.66935027255037,1.029200527194428,117.5764375312628,1.029200527194428,-37.3884713754612,1.029200527194428,61.7530346435948,1.029200527194428,24.36941953849623,1.029200527194428,24.3645632681336,1.029200527194428,-99.36276102957949
1.059253725177289,-3.7809938561637,1.059253725177289,57.92517687657676,1.059253725177289,117.5753730947289,1.059253725177289,-37.38262243672766,1.059253725177289,61.92750336991388,1.059253725177289,24.54965873499002,1.059253725177289,24.54488093318622,1.059253725177289,-99.36275946067192
1.090184492385128,-3.891075500587315,1.090184492385128,57.17196711220269,1.090184492385128,117.5742459311036,1.090184492385128,-37.37357838483315,1.090184492385128,62.09584207604276,1.090184492385128,24.72696774011401,1.090184492385128,24.72226369120961,1.090184492385128,-99.36275778326817
1.122018454301964,-4.004339452529194,1.122018454301964,56.41006552271309,1.122018454301964,117.5730523531429,1.122018454301964,-37.36723439028272,1.122018454301964,62.26387978714921,1.122018454301964,24.9012752237485,1.122018454301964,24.89664539686649,1.122018454301964,-99.36275604293991
1.154781984689459,-4.120875870476707,1.154781984689459,55.63994716058803,1.154781984689459,117.5717884957657,1.154781984689459,-37.35573137602222,1.154781984689459,62.42368319863968,1.154781984689459,25.07251243400724,1.154781984689459,25.06795182261746,1.154781984689459,-99.36275419347896
1.188502227437019,-4.240777281691922,1.188502227437019,54.86205969097817,1.188502227437019,117.5704502338829,1.188502227437019,-37.35268990391344,1.188502227437019,62.58880743880414,1.188502227437019,25.24061340426645,1.188502227437019,25.2361175348907,1.188502227437019,-99.36275240659248
1.223207119049932,-4.364138651279776,1.223207119049932,54.07688473242568,1.223207119049932,117.5690332164611,1.223207119049932,-37.34855715947998,1.223207119049932,62.74963714992784,1.223207119049932,25.40551546267357,1.223207119049932,25.40107999044785,1.223207119049932,-99.3627503607475
1.258925411794168,-4.491057424618941,1.258925411794168,53.28491196045132,1.258925411794168,117.5675328414638,1.258925411794168,-37.33701099093696,1.258925411794168,62.8997962878038,1.258925411794168,25.56715943657719,1.258925411794168,25.56278529686683,1.258925411794168,-99.36274817025856
1.29568669751702,-4.621633574397952,1.29568669751702,52.4867154164243,1.29568669751702,117.56594424177,1.29568669751702,-37.33434005280977,1.29568669751702,63.05551096136351,1.29568669751702,25.72549005880685,1.29568669751702,25.72117090855373,1.29568669751702,-99.36274591500677
1.333521432163325,-4.755969646864378,1.333521432163325,51.68283427554097,1.333521432163325,117.564262270349,1.333521432163325,-37.32831293848424,1.333521432163325,63.20450503788474,1.333521432163325,25.88045627084475,1.333521432163325,25.87619209940051,1.333521432163325,-99.36274352573655
1.372460961007563,-4.894170800557725,1.372460961007563,50.87385891652669,1.372460961007563,117.5624814730243,1.372460961007563,-37.32529369796015,1.372460961007563,63.35309197907426,1.372460961007563,26.03201150700925,1.372460961007563,26.02779828111411,1.372460961007563,-99.36274103639903
1.412537544622755,-5.036344876290518,1.412537544622755,50.06037316819902,1.412537544622755,117.5605961185947,1.412537544622755,-37.3223564168141,1.412537544622755,63.49830717891484,1.412537544622755,26.18011399863605,1.412537544622755,26.17595076210073,1.412537544622755,-99.36273852679948
1.453784385607663,-5.182602401125572,1.453784385607663,49.2430511038956,1.453784385607663,117.5586001117294,1.453784385607663,-37.32469125640841,1.453784385607663,63.64530076179739,1.453784385607663,26.32472702603476,1.453784385607663,26.32060950538898,1.453784385607663,-99.36273580142981
1.496235656094435,-5.333056654883331,1.496235656094435,48.42246398602931,1.496235656094435,117.556487021464,1.496235656094435,-37.32005982927053,1.496235656094435,63.7818073551192,1.496235656094435,26.46581912587978,1.496235656094435,26.46174752584866,1.496235656094435,-99.36273291709685
1.539926526059493,-5.487823702605708,1.539926526059493,47.59929746959979,1.539926526059493,117.5542500503372,1.539926526059493,-37.32038379976626,1.539926526059493,63.91972291314516,1.539926526059493,26.60336434040886,1.539926526059493,26.59933911337889,1.539926526059493,-99.36272987322479
1.584893192461115,-5.647022423660217,1.584893192461115,46.7742011382064,1.584893192461115,117.5518820028503,1.584893192461115,-37.3209132672916,1.584893192461115,64.05427326942703,1.584893192461115,26.7373423277329,1.584893192461115,26.73336000213543,1.584893192461115,-99.36272669214473
1.63117290922784,-5.810774575504609,1.63117290922784,45.9478868115498,1.63117290922784,117.5493753108329,1.63117290922784,-37.32505288119977,1.63117290922784,64.18884848897038,1.63117290922784,26.867738573628,1.63117290922784,26.86379560777061,1.63117290922784,-99.36272348791397
1.678804018122562,-5.97920478007613,1.678804018122562,45.12095471560043,1.678804018122562,117.5467219417175,1.678804018122562,-37.32682765010917,1.678804018122562,64.31746895564844,1.678804018122562,26.99454433226028,1.678804018122562,26.99064130553927,1.678804018122562,-99.3627200189767
1.727825980507865,-6.152440572470268,1.727825980507865,44.29414744973622,1.727825980507865,117.5439134102187,1.727825980507865,-37.33163960399547,1.727825980507865,64.44553404632487,1.727825980507865,27.11775689337887,1.727825980507865,27.11389444232939,1.727825980507865,-99.36271639931333
