Loop Gain Phase X,Loop Gain Phase Y,Loop Gain dB20 X,Loop Gain dB20 Y
1,118.3422387573947,1,82.86187512370878
1.445439770745927,127.0962788699973,1.445439770745927,80.7422114240114
2.089296130854039,135.8997129868627,2.089296130854039,79.17679870958676
3.019951720402016,143.2164249731195,3.019951720402016,78.1413809370592
4.365158322401658,147.851457264294,4.365158322401658,77.48551239931703
6.309573444801931,149.227849503357,6.309573444801931,77.01023204155976
9.120108393559095,147.2127296082989,9.120108393559095,76.51679618755665
13.18256738556407,142.0018643365041,13.18256738556407,75.80556457592672
19.05460717963247,134.2767876843207,19.05460717963247,74.68100883179066
27.54228703338165,125.3314436978663,27.54228703338165,73.01079650300312
39.81071705534971,116.6850641335816,39.81071705534971,70.79792105517802
57.54399373371566,109.3866541548512,57.54399373371566,68.16542661279372
83.17637711026705,103.7562561286194,83.17637711026705,65.26617244382946
120.2264434617412,99.63502320891268,120.2264434617412,62.21793852300302
173.7800828749374,96.70127749322327,173.7800828749374,59.09252246475241
251.1886431509578,94.64101398563321,251.1886431509578,55.92868442335658
363.0780547701011,93.20218267289037,363.0780547701011,52.7461010041452
524.8074602497721,92.19769257477478,524.8074602497721,49.55446215712743
758.5775750291831,91.49314408197125,758.5775750291831,46.35846979385461
1096.478196143184,90.9929841141558,1096.478196143184,43.16038922696428
1584.893192461112,90.62894056850966,1584.893192461112,39.96130808902605
2290.867652767771,90.35116827845162,2290.867652767771,36.76174766041746
3311.311214825907,90.12157836838659,3311.311214825907,33.56195745382201
4786.300923226378,89.90866527004941,4786.300923226378,30.36205657834322
6918.309709189358,89.68319598422377,6918.309709189358,27.16210128595469
9999.999999999989,89.41418879844609,9999.999999999989,23.96211680580037
14454.39770745926,89.06461809473454,14454.39770745926,20.76211125378658
20892.96130854037,88.58619884766098,20892.96130854037,17.56207843246586
30199.51720402012,87.91235755726019,30199.51720402012,14.36198643195997
43651.58322401653,86.9478977172446,43651.58322401653,11.16172524991713
63095.73444801923,85.55241794537038,63095.73444801923,7.960896030333975
91201.08393559082,83.5110402457764,91201.08393559082,4.757948813970456
131825.6738556405,80.47855104889581,131825.6738556405,1.546635450352984
190546.0717963244,75.8758536764411,190546.0717963244,-1.698152762847453
275422.8703338162,68.77483594982495,275422.8703338162,-5.071261637285605
398107.1705534965,58.26219437903179,398107.1705534965,-8.868567968012201
575439.9373371558,45.72622364723233,575439.9373371558,-13.64542673218959
831763.7711026693,36.91966174671055,831763.7711026693,-19.59179430298677
1202264.43461741,36.5535136642445,1202264.43461741,-25.97292172178368
1737800.828749372,44.23646321108966,1737800.828749372,-31.80915866470391
2511886.431509574,55.34626276801272,2511886.431509574,-36.31820601939172
3630780.547701005,61.62148182529595,3630780.547701005,-39.48430927566346
5248074.602497714,58.18405666711779,5248074.602497714,-42.35429455706402
7585775.75029182,47.26234577584333,7585775.75029182,-45.97077108001926
10964781.96143182,34.36261545224847,10964781.96143182,-50.71559674746584
15848931.9246111,25.22703445106157,15848931.9246111,-56.27309168659761
22908676.52767767,23.20870998501434,22908676.52767767,-61.59941673177676
33113112.14825903,25.03287943107463,33113112.14825903,-65.46043441526662
47863009.23226371,24.47240159614483,47863009.23226371,-67.72049797929191
69183097.09189346,20.74284603849403,69183097.09189346,-68.97491945020748
100000000,15.98684709445724,100000000,-69.65796507111085
