Loop Gain Phase X,Loop Gain Phase Y,Loop Gain dB20 X,Loop Gain dB20 Y
1,178.8581069259987,1,102.0612387154252
1.445439770745927,178.3497002624353,1.445439770745927,102.0593605256423
2.089296130854039,177.6153090740854,2.089296130854039,102.05543904922
3.019951720402016,176.5552374410786,3.019951720402016,102.0472573336085
4.365158322401658,175.0273172708203,4.365158322401658,102.0302128897715
6.309573444801931,172.8318166845233,6.309573444801931,101.9948164261557
9.120108393559095,169.6969242292455,9.120108393559095,101.9217808674105
13.18256738556407,165.2776761039667,13.18256738556407,101.7730402969022
19.05460717963247,159.2028471334659,19.05460717963247,101.477805017044
27.54228703338165,151.2335075130354,27.54228703338165,100.9190120519678
39.81071705534971,141.5662326953086,39.81071705534971,99.94211105668093
57.54399373371566,131.0814800102669,57.54399373371566,98.41660186217041
83.17637711026705,121.0935168059235,83.17637711026705,96.32453541127134
120.2264434617412,112.6443247392209,120.2264434617412,93.77496954744612
173.7800828749374,106.0937092730259,173.7800828749374,90.92450427880689
251.1886431509578,101.2807045403931,251.1886431509578,87.90230930038902
363.0780547701011,97.84617890304477,363.0780547701011,84.79005864892963
524.8074602497721,95.42994976884509,524.8074602497721,81.63269355770336
758.5775750291831,93.73922830842018,758.5775750291831,78.45324826193232
1096.478196143184,92.55514863660301,1096.478196143184,75.26311941027357
1584.893192461112,91.71960509148656,1584.893192461112,72.06784888863224
2290.867652767771,91.1193792040232,2290.867652767771,68.87010790010314
3311.311214825907,90.67256818703525,3311.311214825907,65.6711759986314
4786.300923226378,90.31800089786535,4786.300923226378,62.47165900605268
6918.309709189358,90.00706031673188,6918.309709189358,59.27183105681657
9999.999999999989,89.69708364636838,9999.999999999989,56.07178982449375
14454.39770745926,89.34553329659423,14454.39770745926,52.87151189315005
20892.96130854037,88.90417546208195,20892.96130854037,49.67083946137517
30199.51720402012,88.3124911328451,30199.51720402012,46.46939083445589
43651.58322401653,87.48945835731953,43651.58322401653,43.26634416036651
63095.73444801923,86.32269849958378,63095.73444801923,40.05997290853495
91201.08393559082,84.65385602158446,91201.08393559082,36.84667503377923
131825.6738556405,82.25927559331367,131825.6738556405,33.61896937716133
190546.0717963244,78.82647244172402,190546.0717963244,30.36142823702481
275422.8703338162,73.93215773602957,275422.8703338162,27.04268540155585
398107.1705534965,67.04293670842998,398107.1705534965,23.60079653520195
575439.9373371558,57.5953209820556,575439.9373371558,19.92040283166137
831763.7711026693,45.26118412946849,831763.7711026693,15.81013079359452
1202264.43461741,30.46420077976698,1202264.43461741,11.0159283945636
1737800.828749372,14.84599155349807,1737800.828749372,5.324791771238409
2511886.431509574,0.8984667167935245,2511886.431509574,-1.268673150039744
3630780.547701005,-9.404468848161493,3630780.547701005,-8.512047551780372
5248074.602497714,-15.58882403379726,5248074.602497714,-16.05929313633527
7585775.75029182,-18.18782283582272,7585775.75029182,-23.64434267053348
10964781.96143182,-17.96024193114554,10964781.96143182,-31.05957195459069
15848931.9246111,-16.20110296074206,15848931.9246111,-38.10292352697777
22908676.52767767,-14.98625992226962,22908676.52767767,-44.68648233010924
33113112.14825903,-16.18393807264881,33113112.14825903,-50.90637537362074
47863009.23226371,-20.53328987403757,47863009.23226371,-56.91104222855237
69183097.09189346,-27.74445448005392,69183097.09189346,-62.73012057141825
100000000,-37.04713218592605,100000000,-68.23096324332286
