DM Phase Plot X,DM Phase Plot Y,cl phase X,cl phase Y,DM Gain Plot X,DM Gain Plot Y,CM Gain Plot X,CM Gain Plot Y,CMRR Plot X,CMRR Plot Y,cl gain X,cl gain Y,psr X,psr Y
1,-0.5622986260153462,1,59.21307513547205,1,102.063556305696,1,-54.08611477268034,1,78.27326073177339,1,24.18714595909304,1,-31.72789646592568
1.029200527194428,-0.578849369969344,1.029200527194428,58.48302149265019,1.029200527194428,102.0635313241581,1.029200527194428,-53.90295990700046,1.029200527194428,78.27320619880878,1.029200527194428,24.37024629180832,1.029200527194428,-31.54534602922725
1.059253725177289,-0.5958795462645512,1.059253725177289,57.74337824686741,1.059253725177289,102.0635048624816,1.059253725177289,-53.72266580097953,1.059253725177289,78.27315462167051,1.059253725177289,24.55048882069098,1.059253725177289,-31.36562273401455
1.090184492385128,-0.6134032521311844,1.090184492385128,56.99451872775069,1.090184492385128,102.0634768329858,1.090184492385128,-53.54530589607436,1.090184492385128,78.27310583109613,1.090184492385128,24.72779993502176,1.090184492385128,-31.18880189915627
1.122018454301964,-0.6314349926042974,1.122018454301964,56.23684593064358,1.122018454301964,102.0634471427949,1.122018454301964,-53.37095161521515,1.122018454301964,78.2730597990345,1.122018454301964,24.90210818381934,1.122018454301964,-31.01495659177244
1.154781984689459,-0.6499896924441804,1.154781984689459,55.47079208759799,1.154781984689459,102.0634156935316,1.154781984689459,-53.19967179472723,1.154781984689459,78.27301641921298,1.154781984689459,25.07334462448575,1.154781984689459,-30.84415727519312
1.188502227437019,-0.6690827083960759,1.188502227437019,54.69681802975952,1.188502227437019,102.0633823809971,1.188502227437019,-53.03153224532566,1.188502227437019,78.2729754179382,1.188502227437019,25.24144317261254,1.188502227437019,-30.67647147462828
1.223207119049932,-0.6887298417970349,1.223207119049932,53.91541233602303,1.223207119049932,102.0633470948146,1.223207119049932,-52.86659570247605,1.223207119049932,78.2729366520237,1.223207119049932,25.40634094954765,1.223207119049932,-30.51196343004101
1.258925411794168,-0.7089473515423387,1.258925411794168,53.12709026540647,1.258925411794168,102.0633097180744,1.258925411794168,-52.70492167710702,1.258925411794168,78.27290030137854,1.258925411794168,25.56797862427151,1.258925411794168,-30.35069375229822
1.29568669751702,-0.7297519674189118,1.29568669751702,52.33239247265007,1.29568669751702,102.0632701269459,1.29568669751702,-52.54656499403443,1.29568669751702,78.27286574001221,1.29568669751702,25.72630074597779,1.29568669751702,-30.19271910699251
1.333521432163325,-0.7511609038158021,1.333521432163325,51.53188350973947,1.333521432163325,102.0632281902591,1.333521432163325,-52.39157706496475,1.333521432163325,78.27283312863685,1.333521432163325,25.88125606367209,1.333521432163325,-30.03809188850616
1.372460961007563,-0.7731918738244655,1.372460961007563,50.7261501203993,1.372460961007563,102.0631837690821,1.372460961007563,-52.24000461772184,1.372460961007563,78.27280244679108,1.372460961007563,26.03279782906924,1.372460961007563,-29.88685992750689
1.412537544622755,-0.7958631037361587,1.412537544622755,49.91579933576414,1.412537544622755,102.063136716256,1.412537544622755,-52.09188930197026,1.412537544622755,78.27277338117851,1.412537544622755,26.18088407920824,1.412537544622755,-29.73906620499211
1.453784385607663,-0.8191933479487199,1.453784385607663,49.10145638359995,1.453784385607663,102.0630868759058,1.453784385607663,-51.94726821987718,1.453784385607663,78.27274611515689,1.453784385607663,26.32547789527971,1.453784385607663,-29.59474860599044
1.496235656094435,-0.8432019042943351,1.496235656094435,48.28376242746474,1.496235656094435,102.0630340829305,1.496235656094435,-51.80617239724887,1.496235656094435,78.27272003153529,1.496235656094435,26.46654763428642,1.496235656094435,-29.45393968126626
1.539926526059493,-0.8679086297976596,1.539926526059493,47.46337215290533,1.539926526059493,102.0629781624542,1.539926526059493,-51.66862845863485,1.539926526059493,78.27269558929578,1.539926526059493,26.60406713066093,1.539926526059493,-29.31666645837878
1.584893192461115,-0.8933339568767096,1.584893192461115,46.64095122257814,1.584893192461115,102.0629189292455,1.584893192461115,-51.53465661715423,1.584893192461115,78.2726724821824,1.584893192461115,26.73801586502817,1.584893192461115,-29.18295026579657
1.63117290922784,-0.9194989099987212,1.63117290922784,45.81717362335593,1.63117290922784,102.0628561871117,1.63117290922784,-51.40427144034683,1.63117290922784,78.27265053816423,1.63117290922784,26.8683790978174,1.63117290922784,-29.05280660885981
1.678804018122562,-0.946425122800437,1.678804018122562,44.99271892996333,1.678804018122562,102.0627897282412,1.678804018122562,-51.27748199470395,1.678804018122562,78.27262996080542,1.678804018122562,26.99514796610146,1.678804018122562,-28.92624507576687
1.727825980507865,-0.9741348556885173,1.727825980507865,44.16826951367615,1.727825980507865,102.0627193325291,1.727825980507865,-51.15429098484044,1.727825980507865,78.2726105267793,1.727825980507865,27.11831954193885,1.727825980507865,-28.80326927576182
1.778279410038925,-1.002651013927447,1.778279410038925,43.34450772199385,1.778279410038925,102.0626447668372,1.778279410038925,-51.0346950869048,1.778279410038925,78.27259193871852,1.778279410038925,27.23789685181372,1.778279410038925,-28.68387682693553
1.830206106311058,-1.031997166232101,1.830206106311058,42.52211305891708,1.830206106311058,102.0625657842323,1.830206106311058,-50.91868568520006,1.830206106311058,78.27257454178,1.830206106311058,27.35388885657994,1.830206106311058,-28.56805937831894
1.883649089489803,-1.062197563873678,1.883649089489803,41.70175939379276,1.883649089489803,102.0624821231637,1.883649089489803,-50.80624749760964,1.883649089489803,78.27255788999514,1.883649089489803,27.46631039238549,1.883649089489803,-28.4558026668026
