out X,out Y
1,41.57534706575115
1.0471285480509,42.20600744509569
1.096478196143185,42.83151047996434
1.148153621496883,43.45112072802842
1.202264434617413,44.06411600233686
1.258925411794168,44.66979081558872
1.318256738556407,45.26745974201258
1.380384264602885,45.85646066053496
1.445439770745928,46.43615782667149
1.513561248436209,47.00594470914987
1.584893192461114,47.56524655845052
1.659586907437562,48.11352263925829
1.737800828749376,48.65026810493845
1.819700858609985,49.17501547994985
1.905460717963249,49.68733574595106
1.995262314968881,50.18683903995489
2.089296130854041,50.67317499112847
2.187761623949555,51.14603273972705
2.290867652767775,51.60514069532883
2.398832919019493,52.0502661015468
2.511886431509583,52.48121447600855
2.630267991895385,52.89782899696241
2.75422870333817,53.29998989500841
2.884031503126609,53.68761390319313
3.01995172040202,54.06065379588968
3.162277660168384,54.41909802885607
3.311311214825916,54.76297047667687
3.467368504525322,55.09233023740866
3.630780547701019,55.4072714617004
3.801893963205618,55.70792315021902
3.981071705534979,55.99444884898045
4.168693834703362,56.26704617835132
4.365158322401668,56.52594612818024
4.57088189614876,56.77141206266568
4.786300923226394,57.00373839188089
5.011872336272734,57.2232488859827
5.248074602497739,57.43029462299462
5.495408738576259,57.62525158509625
5.754399373371584,57.80851793594387
6.025595860743593,57.9805110256078
6.309573444801949,58.1416641850499
6.606934480075978,58.29242338137831
6.918309709189384,58.43324380585091
7.244359600749922,58.56458647176549
7.585775750291861,58.6869148922473
7.94328234724284,58.80069190269193
8.317637711026737,58.90637668330075
8.709635899560835,59.00442202601493
9.120108393559129,59.09527187973016
9.549925860214392,59.17935919460578
10.00000000000004,59.25710407777121
10.47128548050903,59.3289122605389
10.96478196143189,59.39517387024183
11.48153621496887,59.45626249351166
12.02264434617418,59.51253451020612
12.58925411794172,59.56432867647557
13.18256738556412,59.61196593013771
13.8038426460289,59.65574939286804
14.45439770745934,59.6959645411729
15.13561248436215,59.73287952104242
15.8489319246112,59.76674558095148
16.59586907437568,59.79779759972686
17.37800828749383,59.82625468887723
18.19700858609992,59.85232084982626
19.05460717963256,59.87618566909569
19.95262314968889,59.89802503810321
20.8929613085405,59.91800188363327
21.87761623949564,59.93626689929326
22.90867652767785,59.95295926965787
23.98832919019503,59.96820737892189
25.11886431509593,59.98212949970083
26.30267991895396,59.99483445702162
27.54228703338181,60.00642226412538
28.84031503126622,60.01698472854304
30.19951720402033,60.02660602608621
31.62277660168397,60.03536324254874
33.1131121482593,60.04332688255155
34.67368504525336,60.05056134560348
36.30780547701035,60.05712537001742
38.01893963205634,60.06307244515591
39.81071705534996,60.06845119325565
41.68693834703379,60.0733057214736
43.65158322401686,60.07767594561489
45.70881896148778,60.08159788649393
47.86300923226413,60.08510394030259
50.11872336272754,60.0882231239876
52.48074602497758,60.0909812968952
54.9540873857628,60.09340135975997
57.54399373371606,60.09550343205032
60.25595860743616,60.09730500862332
63.09573444801973,60.09882109658075
66.06934480076004,60.10006433307503
69.18309709189411,60.10104508482138
72.44359600749949,60.10177152982276
75.85775750291889,60.10224972183824
79.43282347242869,60.1024836379893
83.17637711026768,60.10247520976691
87.09635899560868,60.10222433758221
91.20108393559163,60.10172888902904
95.49925860214428,60.10098468065715
100.0000000000007,60.09998544323469
104.7128548050907,60.09872277015185
109.6478196143193,60.09718604863042
114.8153621496891,60.0953623732096
120.2264434617422,60.09323644087836
125.8925411794177,60.09079042717849
131.8256738556417,60.08800384238482
138.0384264602895,60.08485336676564
144.5439770745939,60.08131266389819
151.356124843622,60.07735217076038
158.4893192461126,60.07293886330243
165.9586907437574,60.06803599602871
173.7800828749389,60.06260281404271
181.9700858609998,60.05659423590267
190.5460717963263,60.04996050547674
199.5262314968896,60.04264681101208
