out SR+ Plot X,out SR+ Plot Y,in SR+ Plot X,in SR+ Plot Y,pulse_out X,pulse_out Y,pulse_in X,pulse_in Y
0,0.09979441402727177,0,0,0,0.389379917935301,0,0.59
3.061990283957492e-07,0.09979441402727121,3.061990283957492e-07,0,3.061990283957492e-07,0.3893799179353033,3.061990283957492e-07,0.59
5.835904857062925e-07,0.09979441402727104,5.835904857062925e-07,0,5.835904857062925e-07,0.3893799179353049,5.835904857062925e-07,0.59
8.865996813307714e-07,0.09979441402727071,8.865996813307714e-07,0,8.865996813307714e-07,0.3893799179353062,8.865996813307714e-07,0.59
1.308297048314323e-06,0.09979441402727042,1.308297048314323e-06,0,1.308297048314323e-06,0.3893799179353059,1.308297048314323e-06,0.59
1.900027518563051e-06,0.09979441402727025,1.900027518563051e-06,0,1.900027518563051e-06,0.3893799179353022,1.900027518563051e-06,0.59
2.663928514433445e-06,0.09979441402726998,2.663928514433445e-06,0,2.663928514433445e-06,0.3893799179353007,2.663928514433445e-06,0.59
4.191730506174233e-06,0.09979441402727002,4.191730506174233e-06,0,4.191730506174233e-06,0.3893799179353009,4.191730506174233e-06,0.59
6.707981070658622e-06,0.0997944140272706,6.707981070658622e-06,0,6.707981070658622e-06,0.3893799179353019,6.707981070658622e-06,0.59
8.353990535329311e-06,0.09979441402727036,8.353990535329311e-06,0,8.353990535329311e-06,0.3893799179353017,8.353990535329311e-06,0.59
1e-05,0.0997944140272696,1e-05,0,1e-05,0.3893799179353014,1e-05,0.59
1.000000060254862e-05,0.1013872352641054,1.000000060254862e-05,0.0024101944669664,1.000000060254862e-05,0.3893799187203874,1.000000060254862e-05,0.5900000602548616
1.000000102848261e-05,0.1025133290036226,1.000000102848261e-05,0.004113930428414035,1.000000102848261e-05,0.3893799192754575,1.000000102848261e-05,0.5900001028482607
1.000000188035059e-05,0.1047658113813402,1.000000188035059e-05,0.007521402351309305,1.000000188035059e-05,0.3893799203859965,1.000000188035059e-05,0.5900001880350587
1.000000358408655e-05,0.1092715982254872,1.000000358408655e-05,0.01433634619709984,1.000000358408655e-05,0.3893799226087856,1.000000358408655e-05,0.5900003584086549
1.000000699155847e-05,0.1183354081796471,1.000000699155847e-05,0.02796623388868092,1.000000699155847e-05,0.3893799270612925,1.000000699155847e-05,0.5900006991558472
1.000001198527385e-05,0.1316669762677169,1.000001198527385e-05,0.04794109539554966,1.000001198527385e-05,0.389379933603231,1.000001198527385e-05,0.5900011985273849
1.000001879800093e-05,0.149821734454641,1.000001879800093e-05,0.07519200372611183,1.000001879800093e-05,0.3893799425601047,1.000001879800093e-05,0.5900018798000931
1.000002730555275e-05,0.1724115492058076,1.000002730555275e-05,0.109222210980663,1.000002730555275e-05,0.3893799537968547,1.000002730555275e-05,0.5900027305552745
1.000004432065637e-05,0.2172449508359918,1.000004432065637e-05,0.1772826254897654,1.000004432065637e-05,0.3893799764414444,1.000004432065637e-05,0.5900044320656372
1.00000712012e-05,0.2870433858788582,1.00000712012e-05,0.2848048000100812,1.00000712012e-05,0.3893800126762055,1.00000712012e-05,0.5900071201200002
