spectrum_SAR_implementation.Vout X,spectrum_SAR_implementation.Vout Y
0,-61.87613311942921
9.765648841916118,-59.74006123852697
19.53129768383224,-78.73911876165471
29.29694652574835,-68.10163778332162
39.06259536766447,-73.58874255187872
48.82824420958059,-71.23834507353125
58.59389305149671,-80.28298236179617
68.35954189341282,-66.99339175255282
78.12519073532894,-64.05738051311698
87.89083957724506,-64.63468996569534
97.65648841916118,-72.10737240910925
107.4221372610773,-73.83272401037408
117.1877861029934,-74.00214780469322
126.9534349449095,-72.91656783239601
136.7190837868256,-73.34072356907812
146.4847326287418,-72.84594230272184
156.2503814706579,-74.37039324804771
166.016030312574,-75.30666134996517
175.7816791544901,-79.0651067852171
185.5473279964062,-77.55172013463395
195.3129768383224,-73.98242808010421
205.0786256802385,-29.16300028561081
214.8442745221546,-12.6133433584946
224.6099233640707,-7.733913262212601
234.3755722059868,-11.87070829298667
244.1412210479029,-27.18717754234779
253.9068698898191,-78.41892851674812
263.6725187317352,-75.93351767468434
273.4381675736513,-75.78155960291762
283.2038164155674,-77.28642827949197
292.9694652574835,-82.42362095079986
302.7351140993997,-78.00242265148832
312.5007629413158,-74.03038205430079
322.2664117832319,-79.83640478430846
332.032060625148,-84.32266320087267
341.7977094670641,-74.65772398518021
351.5633583089802,-71.93418514812532
361.3290071508964,-72.60547166929726
371.0946559928125,-80.43856944449266
380.8603048347286,-98.40982539754404
390.6259536766447,-76.95515940313599
400.3916025185608,-71.27687683096039
410.1572513604769,-72.12474190988915
419.9229002023931,-78.20529899405517
429.6885490443092,-75.93685229414839
439.4541978862253,-83.11728511998267
449.2198467281414,-76.25925506200547
458.9854955700575,-73.85181007507926
468.7511444119737,-81.77990474881553
478.5167932538898,-90.61416447621821
488.2824420958059,-84.40406708180791
498.048090937722,-89.8145279122989
507.8137397796381,-80.20557327605314
517.5793886215542,-77.73985292270395
527.3450374634704,-78.43521949299016
537.1106863053865,-80.25230183975688
546.8763351473026,-80.00292196244713
556.6419839892187,-75.37400166366184
566.4076328311348,-75.34561010393995
576.173281673051,-76.23681478790743
585.9389305149671,-79.72018121288806
595.7045793568832,-93.05034242402037
605.4702281987993,-83.05915057880938
615.2358770407154,-77.23349842175794
625.0015258826315,-75.68547577425862
634.7671747245477,-78.70951644525933
644.5328235664638,-83.56466933240037
654.2984724083799,-84.26316518014006
664.064121250296,-79.72139972448359
673.8297700922121,-79.19741711135906
683.5954189341282,-82.95007656577673
693.3610677760444,-78.66326410863883
703.1267166179605,-77.43228881032107
712.8923654598766,-77.38354571810166
722.6580143017927,-82.08976882475062
732.4236631437088,-102.3523630281989
742.189311985625,-88.48873766335413
751.9549608275411,-80.85672304457478
761.7206096694572,-80.09952774640153
771.4862585113733,-84.69001115864091
781.2519073532894,-81.36456824750209
791.0175561952055,-76.14549843600761
800.7832050371217,-76.29477837514341
810.5488538790378,-77.41985435447742
820.3145027209539,-78.84276138303937
830.08015156287,-84.36311043707882
839.8458004047861,-79.069165717698
849.6114492467023,-76.17028929162927
859.3770980886184,-79.59346335078597
869.1427469305345,-83.27634674933124
878.9083957724506,-85.9301480630219
888.6740446143667,-89.04363692716721
898.4396934562828,-92.5366675624344
908.205342298199,-85.99684795522806
917.9709911401151,-88.00964276605322
927.7366399820312,-91.31267180669349
937.5022888239473,-84.24887204675923
947.2679376658634,-83.63246370801312
957.0335865077795,-81.383363232411
966.7992353496957,-88.02954711156879
976.5648841916118,-89.1898080128264
986.3305330335279,-85.83802036406721
996.096181875444,-81.17497537862246
1005.86183071736,-85.97609515712068
1015.627479559276,-88.64963367755125
1025.393128401192,-86.44778768939338
1035.158777243108,-89.85400299253016
1044.924426085025,-81.9129439282928
1054.690074926941,-86.98653147511797
1064.455723768857,-88.51992911322712
1074.221372610773,-95.01071206958304
1083.987021452689,-91.38732364973954
1093.752670294605,-87.0648327962504
1103.518319136521,-90.10982324282436
1113.283967978437,-87.60317267425731
1123.049616820354,-95.8053725167523
1132.81526566227,-86.11983134226986
1142.580914504186,-85.8236326601112
1152.346563346102,-89.71144120891358
1162.112212188018,-94.35878527413708
1171.877861029934,-82.69982846911076
1181.64350987185,-82.24569918002216
1191.409158713766,-82.92448882519545
1201.174807555682,-82.62618104577685
1210.940456397599,-84.89817497800456
1220.706105239515,-91.77554875692144
1230.471754081431,-86.78827878019476
1240.237402923347,-86.5810616581046
1250.003051765263,-86.93959481605239
1259.768700607179,-85.70304412551918
1269.534349449095,-85.43903873859648
1279.299998291011,-86.2290079277785
1289.065647132928,-87.48140531834899
1298.831295974844,-86.00978379185167
1308.59694481676,-87.3107284470759
1318.362593658676,-89.1961069631045
1328.128242500592,-87.69598503668701
1337.893891342508,-88.87319738826773
1347.659540184424,-96.55708423250852
1357.42518902634,-97.39927365165015
1367.190837868256,-93.59841133084734
1376.956486710173,-91.17202697087203
1386.722135552089,-91.54100082587861
1396.487784394005,-95.62281377972542
1406.253433235921,-93.63750066331883
1416.019082077837,-91.65851716567227
1425.784730919753,-89.15186577224675
1435.550379761669,-88.6988340309051
1445.316028603585,-88.14374106426649
1455.081677445502,-89.80464870379875
1464.847326287418,-95.00873458049551
1474.612975129334,-95.98483395365095
1484.37862397125,-91.3238471987224
1494.144272813166,-93.38950451620735
1503.909921655082,-102.0698298558664
1513.675570496998,-99.89194560711873
1523.441219338914,-92.88471359100407
1533.20686818083,-94.06207255089953
1542.972517022747,-92.55689898409464
1552.738165864663,-92.43504081913059
1562.503814706579,-92.19236802387783
1572.269463548495,-96.05980937702128
1582.035112390411,-91.50058215319213
1591.800761232327,-91.47095493089573
1601.566410074243,-98.37429495099565
1611.332058916159,-96.36476402694719
1621.097707758076,-106.1515411695209
1630.863356599992,-100.342128954154
1640.629005441908,-94.85936240894389
1650.394654283824,-95.74385390212765
1660.16030312574,-92.61237515945085
1669.925951967656,-93.6165032020042
1679.691600809572,-92.81021024065819
1689.457249651488,-88.34200798578296
1699.222898493405,-86.77533379735189
1708.988547335321,-92.54393830329518
1718.754196177237,-95.09585517380475
1728.519845019153,-94.22314010145303
1738.285493861069,-94.24552360297371
1748.051142702985,-97.39508915700816
1757.816791544901,-97.18327053715097
1767.582440386817,-92.7357345818421
1777.348089228733,-94.23159345203928
1787.11373807065,-94.44946629681266
1796.879386912566,-95.61128191446028
1806.645035754482,-97.23370065783229
1816.410684596398,-96.64856128339363
1826.176333438314,-96.57239481445002
1835.94198228023,-102.3358851254136
1845.707631122146,-106.8176074524581
1855.473279964062,-101.4472719649138
1865.238928805979,-100.4347753881261
1875.004577647895,-97.65825196368283
1884.770226489811,-102.3143221271641
1894.535875331727,-98.93434165197135
1904.301524173643,-92.39332666039041
1914.067173015559,-94.41286807550482
1923.832821857475,-103.8653729260509
1933.598470699391,-93.24697554132912
1943.364119541307,-103.2348325833748
1953.129768383224,-93.21913432674538
1962.89541722514,-88.2759220033266
1972.661066067056,-87.67712346352327
1982.426714908972,-88.00626946084394
1992.192363750888,-87.62506306033094
2001.958012592804,-89.2734633981874
2011.72366143472,-89.64531640518183
2021.489310276636,-88.1927341017183
2031.254959118553,-88.70957462695173
2041.020607960469,-88.61036439992878
2050.786256802385,-89.47218237002656
2060.551905644301,-90.65802562862348
2070.317554486217,-89.57253737574825
2080.083203328133,-91.83594007537613
2089.848852170049,-96.15799456775706
2099.614501011965,-91.36154574928156
2109.380149853881,-91.40718938137454
2119.145798695798,-98.56930277320002
2128.911447537714,-99.45687929073672
2138.67709637963,-92.86883396243684
2148.442745221546,-91.10938078143957
2158.208394063462,-94.72489537595921
