n_gm X,n_gm Y,p_gm X,p_gm Y,gm_combined X,gm_combined Y
0,7.246484395787441e-12,0,3.234455622587464e-05,0,3.234456347235904e-05
0.024,1.448269769192837e-11,0.024,3.083703102393075e-05,0.024,3.083704550662844e-05
0.048,2.916263806616648e-11,0.048,3.06948064302889e-05,0.048,3.069483559292696e-05
0.07200000000000001,5.871676914941917e-11,0.07200000000000001,3.056105702445056e-05,0.07200000000000001,3.056111574121971e-05
0.096,1.181958778404199e-10,0.096,3.042536463002884e-05,0.096,3.042548282590668e-05
0.12,2.378527704146762e-10,0.12,3.028467786211347e-05,0.12,3.028491571488388e-05
0.144,4.784426328880476e-10,0.144,3.013714032416592e-05,0.144,3.013761876679881e-05
0.168,9.618260572432878e-10,0.168,2.998085114913159e-05,0.168,2.998181297518883e-05
0.192,1.931993430599333e-09,0.192,2.981343687379777e-05,0.192,2.981536886722837e-05
0.216,3.876212363173361e-09,0.216,2.963171899056683e-05,0.216,2.963559520293e-05
0.24,7.763963749475199e-09,0.24,2.943132700377896e-05,0.24,2.943909096752844e-05
0.264,1.551362706060688e-08,0.264,2.920613822951525e-05,0.264,2.922165185657586e-05
0.288,3.089081661510135e-08,0.288,2.894742675997606e-05,0.288,2.897831757659116e-05
0.312,6.119995372299618e-08,0.312,2.864255316334021e-05,0.312,2.870375311706321e-05
0.336,1.203640496910802e-07,0.336,2.82729490820856e-05,0.336,2.839331313177668e-05
0.36,2.342459786122316e-07,0.36,2.781107849790312e-05,0.36,2.804532447651535e-05
0.3840000000000001,4.491037442681348e-07,0.3840000000000001,2.721610664934493e-05,0.3840000000000001,2.766521039361306e-05
0.4080000000000001,8.432395623345854e-07,0.4080000000000001,2.642852867153636e-05,0.4080000000000001,2.727176823387094e-05
0.4320000000000001,1.539043641921958e-06,0.4320000000000001,2.536577461556337e-05,0.4320000000000001,2.690481825748533e-05
0.4560000000000001,2.70677868618385e-06,0.4560000000000001,2.392469499829722e-05,0.4560000000000001,2.663147368448107e-05
0.4800000000000001,4.544028841188391e-06,0.4800000000000001,2.200142875619681e-05,0.4800000000000001,2.65454575973852e-05
0.5040000000000001,7.213130608832067e-06,0.5040000000000001,1.953654302215354e-05,0.5040000000000001,2.674967363098561e-05
0.5280000000000001,1.073788604382895e-05,0.5280000000000001,1.657410891951499e-05,0.5280000000000001,2.731199496334394e-05
0.5520000000000002,1.49042072737985e-05,0.5520000000000002,1.329865973920984e-05,0.5520000000000002,2.820286701300834e-05
0.5760000000000002,1.923206413859305e-05,0.5760000000000002,1.001333532023875e-05,0.5760000000000002,2.92453994588318e-05
0.6000000000000002,2.305429160558429e-05,0.6000000000000002,7.051531971560508e-06,0.6000000000000002,3.01058235771448e-05
0.6240000000000002,2.576186523783818e-05,0.6240000000000002,4.657535043181522e-06,0.6240000000000002,3.04194002810197e-05
0.6480000000000002,2.72629405254434e-05,0.6480000000000002,2.909380933565412e-06,0.6480000000000002,3.017232145900881e-05
0.6720000000000003,2.802146817859713e-05,0.6720000000000003,1.736405582718227e-06,0.6720000000000003,2.975787376131535e-05
0.6960000000000003,2.845826852243491e-05,0.6960000000000003,9.988494318358021e-07,0.6960000000000003,2.945711795427071e-05
0.7200000000000003,2.876296683401005e-05,0.7200000000000003,5.573674677503588e-07,0.7200000000000003,2.932033430176041e-05
0.7440000000000003,2.90087241955662e-05,0.7440000000000003,3.032303801639546e-07,0.7440000000000003,2.931195457573016e-05
0.7680000000000003,2.922500887053454e-05,0.7680000000000003,1.615700830150665e-07,0.7680000000000003,2.938657895354961e-05
0.7920000000000004,2.942481709903263e-05,0.7920000000000004,8.467033993095091e-08,0.7920000000000004,2.950948743896358e-05
0.8160000000000004,2.961444246372681e-05,0.8160000000000004,4.380334643323474e-08,0.8160000000000004,2.965824581016004e-05
0.8400000000000004,2.97971942137015e-05,0.8400000000000004,2.244147595088491e-08,0.8400000000000004,2.981963568965238e-05
0.8640000000000004,2.997493745620311e-05,0.8640000000000004,1.141436192107172e-08,0.8640000000000004,2.998635181812418e-05
0.8880000000000005,3.014878630084327e-05,0.8880000000000005,5.774909646678468e-09,0.8880000000000005,3.015456121048994e-05
0.9120000000000005,3.031943962114736e-05,0.9120000000000005,2.910447723491457e-09,0.9120000000000005,3.032235006887086e-05
0.9360000000000005,3.048735436031562e-05,0.9360000000000005,1.462708125773306e-09,0.9360000000000005,3.04888170684414e-05
0.9600000000000005,3.065284000556591e-05,0.9600000000000005,7.336263426352784e-10,0.9600000000000005,3.065357363190855e-05
0.9840000000000005,3.081611260846247e-05,0.9840000000000005,3.674124289228059e-10,0.9840000000000005,3.081648002089139e-05
1.008,3.097732709784233e-05,1.008,1.838095595407345e-10,1.008,3.097751090740187e-05
1.032,3.113659773622736e-05,1.032,9.18843573979922e-11,1.032,3.113668962058475e-05
1.056,3.129401293498375e-05,1.056,4.590526292977837e-11,1.056,3.129405884024668e-05
1.080000000000001,3.144965125033321e-05,1.080000000000001,2.292415908020852e-11,1.080000000000001,3.144967417449228e-05
1.104000000000001,3.160361695058598e-05,1.104000000000001,1.144402714897329e-11,1.104000000000001,3.160362839461313e-05
1.128000000000001,3.175615214671475e-05,1.128000000000001,5.711507166739193e-12,1.128000000000001,3.175615785822192e-05
1.152000000000001,3.190785679416352e-05,1.152000000000001,2.849918501343876e-12,1.152000000000001,3.190785964408202e-05
1.176000000000001,3.205994472983418e-05,1.176000000000001,1.421813747731608e-12,1.176000000000001,3.205994615164793e-05
1.2,3.223700307416473e-05,1.2,7.094250048108653e-13,1.2,3.223700378358974e-05
