Loop Gain Phase X,Loop Gain Phase Y,Loop Gain dB20 X,Loop Gain dB20 Y
1,178.9468983416511,1,104.4514238873136
1.445439770745927,178.4779916442564,1.445439770745927,104.4498261934243
2.089296130854039,177.8005919230164,2.089296130854039,104.446490033088
3.019951720402016,176.8225869094476,3.019951720402016,104.4395280653434
4.365158322401658,175.4123558917031,4.365158322401658,104.4250183715272
6.309573444801931,173.3841891296015,6.309573444801931,104.3948588723588
9.120108393559095,170.4830177246183,9.120108393559095,104.3325146690616
13.18256738556407,166.3784227668069,13.18256738556407,104.2050777765321
19.05460717963247,160.6964274728033,19.05460717963247,103.9503135589738
27.54228703338165,153.1474884267879,27.54228703338165,103.4618731343334
39.81071705534971,143.803018733846,39.81071705534971,102.590286559202
57.54399373371566,133.3914282514404,57.54399373371566,101.1917933906231
83.17637711026705,123.1860137344283,83.17637711026705,99.21840976741615
120.2264434617412,114.3456167298844,120.2264434617412,96.75604564875763
173.7800828749374,107.3817333215985,173.7800828749374,93.95898232682336
251.1886431509578,102.2190488640614,251.1886431509578,90.96592274762446
363.0780547701011,98.51996251396348,363.0780547701011,87.86857199915312
524.8074602497721,95.91603963410337,524.8074602497721,84.71857500445171
758.5775750291831,94.09897766691303,758.5775750291831,81.54271321076703
1096.478196143184,92.8361286232042,1096.478196143184,78.35431412792799
1584.893192461112,91.95978072853266,1584.893192461112,75.15987765756127
2290.867652767771,91.35151825473872,2290.867652767771,71.96254304789866
3311.311214825907,90.9284696355155,3311.311214825907,68.76381934946241
4786.300923226378,90.63276999716093,4786.300923226378,65.56443033024976
6918.309709189358,90.42389713683473,6918.309709189358,62.36472273533177
9999.999999999989,90.27320168156,9999.999999999989,59.16486257263167
14454.39770745926,90.16000509281328,14454.39770745926,55.96492924645258
20892.96130854037,90.0687712891595,20892.96130854037,52.76496061963531
30199.51720402012,89.98697737166735,30199.51720402012,49.56497450915322
43651.58322401653,89.90339572158787,43651.58322401653,46.36497880307495
63095.73444801923,89.80655317256139,63095.73444801923,43.16497594000919
91201.08393559082,89.68315628154328,91201.08393559082,39.96496429399666
131825.6738556405,89.51626680563865,131825.6738556405,36.76493725121794
190546.0717963244,89.28297730627824,190546.0717963244,33.56487945449712
275422.8703338162,88.95126879444358,275422.8703338162,30.36475808448302
398107.1705534965,88.47562198934472,398107.1705534965,27.1645042334454
575439.9373371558,87.79078855922489,575439.9373371558,23.96397382647718
831763.7711026693,86.80289389967477,831763.7711026693,20.76286604057545
1202264.43461741,85.37673019276619,1202264.43461741,17.56055351845175
1737800.828749372,83.31773599514051,1737800.828749372,14.35573068397762
2511886.431509574,80.34690712934598,2511886.431509574,11.14569225074069
3630780.547701005,76.06731506745551,3630780.547701005,7.924882811504787
5248074.602497714,69.92373730753235,5248074.602497714,4.682106305077452
7585775.75029182,61.16649775811042,7585775.75029182,1.395665105377868
10964781.96143182,48.8549959148208,10964781.96143182,-1.973188579969007
15848931.9246111,31.97667097418364,15848931.9246111,-5.48263068310538
22908676.52767767,9.754560497804107,22908676.52767767,-9.190966678905266
33113112.14825903,-17.99845795121778,33113112.14825903,-13.10343097968316
47863009.23226371,-51.01184322388588,47863009.23226371,-17.15081077032167
69183097.09189346,-89.58176727849613,69183097.09189346,-21.34858376887498
100000000,-135.7259611697742,100000000,-26.22980144090054
