v /VOUT; pac dB20(V) (harmonic=-7) X,v /VOUT; pac dB20(V) (harmonic=-7) Y,v /VOUT; pac dB20(V) (harmonic=-6) X,v /VOUT; pac dB20(V) (harmonic=-6) Y,v /VOUT; pac dB20(V) (harmonic=-5) X,v /VOUT; pac dB20(V) (harmonic=-5) Y,v /VOUT; pac dB20(V) (harmonic=-4) X,v /VOUT; pac dB20(V) (harmonic=-4) Y,v /VOUT; pac dB20(V) (harmonic=-3) X,v /VOUT; pac dB20(V) (harmonic=-3) Y,v /VOUT; pac dB20(V) (harmonic=-2) X,v /VOUT; pac dB20(V) (harmonic=-2) Y,v /VOUT; pac dB20(V) (harmonic=-1) X,v /VOUT; pac dB20(V) (harmonic=-1) Y,v /VOUT; pac dB20(V) (harmonic=0) X,v /VOUT; pac dB20(V) (harmonic=0) Y,v /VOUT; pac dB20(V) (harmonic=1) X,v /VOUT; pac dB20(V) (harmonic=1) Y,v /VOUT; pac dB20(V) (harmonic=2) X,v /VOUT; pac dB20(V) (harmonic=2) Y,v /VOUT; pac dB20(V) (harmonic=3) X,v /VOUT; pac dB20(V) (harmonic=3) Y,v /VOUT; pac dB20(V) (harmonic=4) X,v /VOUT; pac dB20(V) (harmonic=4) Y,v /VOUT; pac dB20(V) (harmonic=5) X,v /VOUT; pac dB20(V) (harmonic=5) Y,v /VOUT; pac dB20(V) (harmonic=6) X,v /VOUT; pac dB20(V) (harmonic=6) Y,v /VOUT; pac dB20(V) (harmonic=7) X,v /VOUT; pac dB20(V) (harmonic=7) Y,OUT (harmonic=-7) X,OUT (harmonic=-7) Y,OUT (harmonic=-6) X,OUT (harmonic=-6) Y,OUT (harmonic=-5) X,OUT (harmonic=-5) Y,OUT (harmonic=-4) X,OUT (harmonic=-4) Y,OUT (harmonic=-3) X,OUT (harmonic=-3) Y,OUT (harmonic=-2) X,OUT (harmonic=-2) Y,OUT (harmonic=-1) X,OUT (harmonic=-1) Y,OUT (harmonic=0) X,OUT (harmonic=0) Y,OUT (harmonic=1) X,OUT (harmonic=1) Y,OUT (harmonic=2) X,OUT (harmonic=2) Y,OUT (harmonic=3) X,OUT (harmonic=3) Y,OUT (harmonic=4) X,OUT (harmonic=4) Y,OUT (harmonic=5) X,OUT (harmonic=5) Y,OUT (harmonic=6) X,OUT (harmonic=6) Y,OUT (harmonic=7) X,OUT (harmonic=7) Y
699984.1510680753,-74.34839646309348,599984.1510680753,-76.20602689430926,499984.1510680753,-66.77268631448186,399984.1510680753,-66.1063845503722,299984.1510680753,-54.65458969080096,199984.1510680754,-50.94995678524124,99984.15106807537,-37.23946390151065,15.84893192461115,5.520431959886194,100015.8489319246,-37.11409625250356,200015.8489319246,-50.92337300661971,300015.8489319246,-54.5635664283801,400015.8489319246,-65.85512301778908,500015.8489319246,-66.48149362944579,600015.8489319244,-74.9228209583151,700015.8489319244,-73.55811092732894,699984.1510680753,-53.03440004573861,599984.1510680753,-54.07691587235703,499984.1510680753,-46.4302986502627,399984.1510680753,-45.84790164585152,299984.1510680753,-33.88048709994328,199984.1510680754,-30.14469080364987,99984.15106807537,-16.34425191472835,15.84893192461115,26.3816245037102,100015.8489319246,-16.20651606546105,200015.8489319246,-30.07982502137406,300015.8489319246,-33.73341117032034,400015.8489319246,-45.39041506589946,500015.8489319246,-45.93658061362122,600015.8489319244,-52.87015947057021,700015.8489319244,-52.13145759926984
699980.0473768502,-74.45859337181003,599980.0473768502,-76.38746687004834,499980.0473768503,-66.80971714457729,399980.0473768503,-66.13400843814421,299980.0473768503,-54.66510433860117,199980.0473768503,-50.95084352957027,99980.0473768503,-37.25489419020152,19.95262314968881,5.520740069837071,100019.9526231497,-37.09710075252712,200019.9526231497,-50.91739854263353,300019.9526231496,-54.55026296164672,400019.9526231496,-65.81669605890227,500019.9526231496,-66.44078199452024,600019.9526231496,-74.76843147177053,700019.9526231496,-73.45776115942913,699980.0473768502,-53.1213740839254,599980.0473768502,-54.214909779257,499980.0473768503,-46.46531320585198,399980.0473768503,-45.87537522500526,299980.0473768503,-33.88803495989812,199980.0473768503,-30.1433178676259,99980.0473768503,-16.35882193541962,19.95262314968881,26.40168505321751,100019.9526231497,-16.19044748086591,200019.9526231497,-30.07626179467512,300019.9526231496,-33.72337672302146,400019.9526231496,-45.3522003976978,500019.9526231496,-45.89896395360162,600019.9526231496,-52.74300018535772,700019.9526231496,-52.04836871069777
699974.8811356848,-74.59837752822554,599974.8811356848,-76.62073013076224,499974.8811356848,-66.85533131837867,399974.8811356848,-66.16662746752914,299974.8811356848,-54.67782157622636,199974.8811356849,-50.95111372930083,99974.88113568489,-37.27405550901418,25.11886431509582,5.521227952157592,100025.1188643151,-37.07545858245459,200025.1188643151,-50.90904783885091,300025.118864315,-54.53308058243459,400025.118864315,-65.76682800224418,500025.118864315,-66.38919272136616,600025.118864315,-74.57763424294033,700025.118864315,-73.33321606256214,699974.8811356848,-53.24009404165331,599974.8811356848,-54.39858254816316,499974.8811356848,-46.51415284940261,399974.8811356848,-45.91287638883636,299974.8811356848,-33.89897946130721,199974.8811356849,-30.14209393875236,99974.88113568489,-16.37738103320983,25.11886431509582,26.41468225814883,100025.1188643151,-16.16945667691303,200025.1188643151,-30.06939107774519,300025.118864315,-33.70813396958263,400025.118864315,-45.29716179771333,500025.118864315,-45.84558411547789,600025.118864315,-52.58250937775245,700025.118864315,-51.93987638646902
699968.3772233982,-74.77667177108353,599968.3772233982,-76.92286636483327,499968.3772233982,-66.91136585257192,399968.3772233982,-66.20435682690847,299968.3772233982,-54.69303876227696,199968.3772233983,-50.95011929391305,99968.3772233983,-37.29775458840058,31.62277660168382,5.522000242492147,100031.6227766017,-37.04782864841685,200031.6227766017,-50.89723483256471,300031.6227766016,-54.51076082522074,400031.6227766016,-65.70170790968211,500031.6227766016,-66.3235934076346,600031.6227766016,-74.34287328413559,700031.6227766016,-73.17888596981034,699968.3772233982,-53.3979984306259,599968.3772233982,-54.64014202396912,499968.3772233982,-46.5790034822374,399968.3772233982,-45.96071602959498,299968.3772233982,-33.91356423426484,199968.3772233983,-30.14030819276941,99968.3772233983,-16.40071486457023,31.62277660168382,26.42336596529929,100031.6227766017,-16.14223390228056,200031.6227766017,-30.05818551790727,300031.6227766016,-33.6865124758602,400031.6227766016,-45.22121141949222,500031.6227766016,-45.77326074740152,600031.6227766016,-52.38158664210796,700031.6227766016,-51.80080430702114
699960.1892829445,-75.00542760471245,599960.1892829445,-77.31793048993848,499960.1892829446,-66.97982053278753,399960.1892829446,-66.24655756856458,299960.1892829446,-54.71095686816335,199960.1892829446,-50.94675778026095,99960.18928294463,-37.32691028641388,39.81071705534977,5.523221946983789,100039.8107170553,-37.0124464672416,200039.8107170553,-50.88032287531433,300039.8107170553,-54.48157697665025,400039.8107170553,-65.61613340902849,500039.8107170553,-66.23990736543901,600039.8107170552,-74.05548204148025,700039.8107170552,-72.9881077150792,699960.1892829445,-53.60546056115485,599960.1892829445,-54.956739572872,499960.1892829446,-46.66249552496157,399960.1892829446,-46.0185339949298,299960.1892829446,-33.93197167679674,199960.1892829446,-30.13680624690473,99960.18928294463,-16.42972958146549,39.81071705534977,26.42958684303454,100039.8107170553,-16.1070362435258,200039.8107170553,-30.04102118588207,300039.8107170553,-33.65681738103055,400039.8107170553,-45.11866767253956,500039.8107170553,-45.67771584499746,600039.8107170552,-52.13203965788377,700039.8107170552,-51.62492968235379
699949.8812766372,-75.30097870153865,599949.8812766372,-77.8410722509082,499949.8812766372,-67.0626922156213,399949.8812766372,-66.29114834010421,299949.8812766372,-54.73155304972367,199949.8812766373,-50.93919235188515,99949.88127663726,-37.36252270131389,50.11872336272729,5.525152514202516,100050.1187233627,-36.96697513752662,200050.1187233627,-50.85583642459259,300050.1187233627,-54.44313886617947,400050.1187233627,-65.50300351463389,500050.1187233627,-66.1328203600805,600050.1187233626,-73.70574363011239,700050.1187233626,-72.7530407078052,699949.8812766372,-53.87691524792643,599949.8812766372,-55.37263278629601,499949.8812766372,-46.7675958555855,399949.8812766372,-46.08450789927702,299949.8812766372,-33.95419998085745,199949.8812766373,-30.12970668370903,99949.88127663726,-16.46542252930651,50.11872336272729,26.43467460870285,100050.1187233627,-16.06153876057833,200050.1187233627,-30.01538465949865,300050.1187233627,-33.61663176916171,400050.1187233627,-44.9817707149796,500050.1187233627,-45.5532954722657,600050.1187233626,-51.82451633267762,700050.1187233626,-51.40483099035107
699936.9042655518,-75.68622633057464,599936.9042655518,-78.54611239218575,499936.9042655519,-67.16160745037956,399936.9042655519,-66.33343361457625,299936.9042655519,-54.75435756452498,199936.9042655519,-50.92441228476797,99936.90426555196,-37.40559645729378,63.0957344480194,5.528197947492146,100063.095734448,-36.90830010931314,200063.095734448,-50.82002672498827,300063.0957344479,-54.39211212100678,400063.0957344479,-65.35267493362497,500063.0957344479,-65.99540713704839,600063.0957344479,-73.28304798745015,700063.0957344479,-72.46459516922017,699936.9042655518,-54.23266040106859,599936.9042655518,-55.92271399387606,499936.9042655519,-46.89728465128307,399936.9042655519,-46.15393846454733,299936.9042655519,-33.97983892277314,199936.9042655519,-30.11595060574613,99936.90426555196,-16.5088066729384,63.0957344480194,26.43971323329581,100063.095734448,-16.00262993261859,200063.095734448,-29.97743392076796,300063.0957344479,-33.5625349544807,400063.0957344479,-44.80011223038857,500063.0957344479,-45.39263824795675,600063.0957344479,-51.44854499368436,700063.0957344479,-51.13178139435851
699920.5671765275,-76.19437451791177,599920.5671765275,-79.52095753096904,499920.5671765275,-67.27707673200055,399920.5671765275,-66.36418046179531,299920.5671765275,-54.77807412674592,199920.5671765275,-50.8975561861219,99920.56717652756,-37.45698231402359,79.43282347242825,5.532988631162008,100079.4328234724,-36.83224889964671,200079.4328234724,-50.76723059714438,300079.4328234724,-54.32381954106626,400079.4328234724,-65.1522138168539,500079.4328234724,-65.81867678171935,600079.4328234723,-72.77616051889522,700079.4328234723,-72.11241319162355,699920.5671765275,-54.70185979518673,599920.5671765275,-56.65834814947991,499920.5671765275,-47.05380704768498,399920.5671765275,-46.21683282194746,299920.5671765275,-34.00768227048229,199920.5671765275,-30.09060429571453,99920.56717652756,-16.5607533052686,79.43282347242825,26.4457619304826,100079.4328234724,-15.9261323978719,200079.4328234724,-29.92135264164546,300079.4328234724,-33.48970439874239,400079.4328234724,-44.56004023566841,500079.4328234724,-45.18629833195536,600079.4328234723,-50.99270138185791,700079.4328234723,-50.79570035650015
699899.9999999999,-76.87578029405367,599899.9999999999,-80.92322262909575,499899.9999999999,-67.40705410622672,399899.9999999999,-66.36664142550512,299899.9999999999,-54.79995014866068,199900,-50.85090066105388,99899.99999999999,-37.51707763233311,100.0000000000001,5.540490602814874,100100,-36.73321634704324,200100,-50.68895577893371,300099.9999999999,-54.23168916018525,400099.9999999999,-64.88466331166525,500099.9999999999,-65.59106115451668,600099.9999999999,-72.17359797291925,700099.9999999999,-71.68492345242495,699899.9999999999,-55.32781451246557,599899.9999999999,-57.65677404538028,499899.9999999999,-47.23708339904667,399899.9999999999,-46.25402257424543,299899.9999999999,-34.03507806344299,199900,-30.04581353416773,99899.99999999999,-16.62169358755087,100.0000000000001,26.45405772181237,100100,-15.82642973035348,200100,-29.83843457856074,300099.9999999999,-33.3913681533007,400099.9999999999,-44.24419332868219,500099.9999999999,-44.92236020758084,600099.9999999999,-50.44491338517251,700099.9999999999,-50.38518139759005
699874.1074588205,-77.81169697865379,599874.1074588205,-83.07944716048114,499874.1074588205,-67.54426410511184,399874.1074588205,-66.31242328385903,299874.1074588205,-54.81476321495244,199874.1074588206,-50.77242433262938,99874.10745882057,-37.58529064417465,125.8925411794169,5.552151177172925,100125.8925411794,-36.60368601387886,200125.8925411794,-50.57265266994237,300125.8925411794,-54.10652556174333,400125.8925411794,-64.52859983454624,500125.8925411794,-65.29792311719294,600125.8925411793,-71.46408369028472,700125.8925411793,-71.16949006514464,699874.1074588205,-56.17782123671886,599874.1074588205,-59.03280659899424,499874.1074588205,-47.44149071693506,399874.1074588205,-46.2316096003081,299874.1074588205,-34.05687203804294,199874.1074588206,-29.96931440692781,99874.10745882057,-16.69108333446432,125.8925411794169,26.46621904552873,100125.8925411794,-15.69599028251455,200125.8925411794,-29.71586575794578,300125.8925411794,-33.25808956916944,400125.8925411794,-43.83145064237457,500125.8925411794,-44.58613250951267,600125.8925411793,-49.79289731459965,700125.8925411793,-49.88761803770265
