input noise; V**2 / Hz X,input noise; V**2 / Hz Y
1,2.398341724031596e-10
1.0471285480509,2.269536491718305e-10
1.096478196143185,2.148325368640628e-10
1.148153621496883,2.034207445348534e-10
1.202264434617413,1.926718788724167e-10
1.258925411794168,1.825429437021084e-10
1.318256738556407,1.729940658213016e-10
1.380384264602885,1.639882446842153e-10
1.445439770745928,1.554911237855731e-10
1.513561248436209,1.474707816830073e-10
1.584893192461114,1.398975409369584e-10
1.659586907437562,1.327437932767855e-10
1.737800828749376,1.259838395608864e-10
1.819700858609985,1.195937431844897e-10
1.905460717963249,1.135511957362207e-10
1.995262314968881,1.078353938077155e-10
2.089296130854041,1.02426925971724e-10
2.187761623949555,9.730766903191845e-11
2.290867652767775,9.246069272880161e-11
2.398832919019493,8.787017216164471e-11
2.511886431509583,8.352130726238669e-11
2.630267991895385,7.940024870850252e-11
2.75422870333817,7.549402972491907e-11
2.884031503126609,7.179050326810456e-11
3.01995172040202,6.827828412723696e-11
3.162277660168384,6.494669555585449e-11
3.311311214825916,6.178572001075697e-11
3.467368504525322,5.878595369139078e-11
3.630780547701019,5.593856454132341e-11
3.801893963205618,5.323525343807407e-11
3.981071705534979,5.066821829952298e-11
4.168693834703362,4.823012087436693e-11
4.365158322401668,4.591405599638187e-11
4.57088189614876,4.371352310672332e-11
4.786300923226394,4.16223998534962e-11
5.011872336272734,3.963491761158119e-11
5.248074602497739,3.77456387668329e-11
5.495408738576259,3.594943562275667e-11
5.754399373371584,3.424147080709035e-11
6.025595860743593,3.261717905784396e-11
6.309573444801949,3.107225028299675e-11
6.606934480075978,2.960261379653735e-11
6.918309709189384,2.820442364018962e-11
7.244359600749922,2.687404490819307e-11
7.585775750291861,2.56080409988684e-11
7.94328234724284,2.440316172488259e-11
8.317637711026737,2.325633221830846e-11
8.709635899560835,2.216464256892266e-11
9.120108393559129,2.11253381455542e-11
9.549925860214392,2.013581054900009e-11
10.00000000000004,1.919358914891267e-11
10.47128548050903,1.829633316660966e-11
10.96478196143189,1.744182426111966e-11
11.48153621496887,1.662795958608365e-11
12.02264434617418,1.585274527953256e-11
12.58925411794172,1.511429036337135e-11
13.18256738556412,1.441080101733348e-11
13.8038426460289,1.374057520515155e-11
14.45439770745934,1.310199762786877e-11
15.13561248436215,1.24935349839385e-11
15.8489319246112,1.191373151269868e-11
16.59586907437568,1.136120480252132e-11
17.37800828749383,1.083464184981566e-11
18.19700858609992,1.033279534743063e-11
19.05460717963256,9.854480190317484e-12
19.95262314968889,9.398570184568427e-12
20.8929613085405,8.963994944579881e-12
21.87761623949564,8.549736968769247e-12
22.90867652767785,8.154828881355038e-12
23.98832919019503,7.778350829129218e-12
25.11886431509593,7.419428025216711e-12
26.30267991895396,7.077228429506335e-12
27.54228703338181,6.750960556891304e-12
28.84031503126622,6.439871407816106e-12
30.19951720402033,6.143244510454011e-12
31.62277660168397,5.860398070715505e-12
33.1131121482593,5.590683222011822e-12
34.67368504525336,5.333482369255319e-12
36.30780547701035,5.088207621602874e-12
38.01893963205634,4.854299308821615e-12
39.81071705534996,4.631224576311776e-12
41.68693834703379,4.418476053953899e-12
43.65158322401686,4.215570595543724e-12
45.70881896148778,4.02204808334402e-12
47.86300923226413,3.837470295127858e-12
50.11872336272754,3.661419830191509e-12
52.48074602497758,3.493499090289711e-12
54.9540873857628,3.333329313145852e-12
57.54399373371606,3.180549655385875e-12
60.25595860743616,3.034816322151627e-12
63.09573444801973,2.895801740818002e-12
66.06934480076004,2.763193776647779e-12
69.18309709189411,2.636694987812684e-12
72.44359600749949,2.516021917859568e-12
75.85775750291889,2.400904423606822e-12
