OffsetVoltage_lewis X,
-0.00499997999671713,2
-0.00499997685603595,5
-0.00499997452654576,3
-0.00499997209065707,9
-0.00489997372467946,6
-0.00489996754472554,4
-0.00439996982931337,7
-0.00429997235843144,8
-0.00419997588221518,1
-0.00399997597028695,5
-0.00399997581740731,8
-0.00399997500289353,1
-0.00359997328576923,11
-0.00349997054605841,7
-0.0032999751707836,3
-0.00329997203662446,9
-0.00329997072319917,10
-0.00319997504423212,2
-0.00319997246392179,12
-0.00319996793731485,4
-0.00309997230954265,6
-0.00299997538881028,9
-0.00289997601028751,36
-0.00289997568512154,25
-0.00289997103427184,17
-0.00279997582667966,27
-0.00279997550837456,31
-0.00279997548645507,6
-0.00269997540798767,22
-0.00269997537500424,2
-0.00269997492804094,3
-0.00269997420562454,32
-0.00259997616525685,29
-0.00259997311366128,15
-0.00259997290959244,8
-0.0025999728826186,14
-0.00259997184767945,35
-0.00249997475952062,24
-0.0024999723457539,11
-0.00249996850039282,4
-0.00239997265972594,5
-0.00239996993224579,30
-0.00229997560122167,33
-0.00229997494411461,13
-0.00229996568109604,10
-0.00219997642602734,23
-0.00219997554921208,7
-0.00219997444193588,12
-0.00219997207892333,18
-0.00219997095192699,20
-0.0020999758913199,19
-0.00209997577601754,26
-0.00209997550036161,34
-0.00209997545090158,21
-0.00209997311194513,28
-0.00209997227972017,1
-0.00209996735181554,16
-0.00199997567427574,18
-0.00199997470004409,32
-0.00199997254489783,27
-0.00189997546929832,13
-0.00189997452710679,26
-0.00189997326442281,48
-0.00179997585757441,34
-0.00179997562936921,47
-0.00179997478184984,51
-0.00169997573479513,5
-0.00169997565198577,55
-0.00169997493682168,30
-0.00169997413794537,10
-0.00169997382757704,15
-0.00169997210238884,53
-0.00169997088996608,41
-0.00159997582380458,21
-0.00159997546770896,3
-0.00159997399940186,6
-0.00159997351507404,37
-0.00159997279099657,22
-0.0014999750515506,42
-0.00149997325707466,14
-0.00149997192252524,7
-0.00139997612121383,1
-0.00139997461146431,39
-0.00139997348024878,33
-0.00139996838562707,2
-0.00129997625434355,25
-0.00129997621053857,54
-0.00129997551022832,20
-0.00129997543837575,44
-0.00129997461958714,16
-0.00129997456314172,28
-0.00129997205481387,8
-0.00119997592174608,9
-0.00119997543017046,24
-0.00119997506503361,46
-0.0011999749512249,23
-0.00119997476159445,36
-0.00119997266940436,17
-0.0011999719964643,12
-0.00109997606110497,49
-0.0010999759987652,45
-0.00109997587678273,40
-0.00109997586353133,29
-0.00109997569850962,50
-0.00109997555046645,43
-0.00109997485779343,4
-0.00109997469296886,31
-0.00109997251414164,56
-0.0010999723968337,11
-0.00109997168244472,52
-0.00109997129716627,35
-0.0010999710171262,38
-0.00109996801661741,19
-0.0009999757359987541,23
-0.0009999755198166929,30
-0.000999974518549904,39
-0.000999972062105278,18
-0.000899976271980126,48
-0.000899976190442986,53
-0.00089997609718532,11
-0.000899975846357544,41
-0.000899974971028547,29
-0.000899974627368454,1
-0.000899974591463631,6
-0.0008999726071478019,51
-0.0007999748961087831,12
-0.000799974800436827,46
-0.000799973851164861,8
-0.0007999735181869249,31
-0.000799972557037186,33
-0.000799970852011758,47
-0.000699976045723269,19
-0.000699975722404555,4
-0.000699975495803495,17
-0.000699974188747739,52
-0.000699973914079618,36
-0.00059997582688395,21
-0.000599975616635158,10
-0.000599975333109738,28
-0.000599975011374251,37
-0.000599973602419464,40
-0.000599973235555232,3
-0.000599970842267013,2
-0.000499976378151075,16
-0.000499976207275267,43
-0.000499975748852021,45
-0.000499975434690312,32
-0.000499974096354384,42
-0.000499973373636071,9
-0.000499972974651543,15
-0.00049997091375057,14
-0.000399976075137925,22
-0.000399975692278721,26
-0.00039997559876264,20
-0.000399975588788721,13
-0.000399975175647472,5
-0.000399973423136356,50
-0.00039997264307898,49
-0.000399971147987903,38
-0.000299976190048496,7
-0.000299975981573435,54
-0.000299975944164473,24
-0.000299973676515998,57
-0.000299973063686364,55
-0.000199975040525922,56
-0.000199973162076348,44
-0.000199973161858817,34
-0.000199972545509314,25
-0.000199972429412893,27
-0.000199971220351472,35
-9.99758128083629e-05,59
-9.99755994529365e-05,68
-9.99755640727334e-05,66
-9.997551835252849e-05,82
-9.99754639824967e-05,13
-9.99752073226282e-05,58
-9.99751632069639e-05,32
-9.99751605329648e-05,2
-9.99751374079862e-05,81
-9.99750707557648e-05,5
-9.99750607454038e-05,57
-9.99750024668898e-05,76
-9.99745262684812e-05,16
-9.997418092679711e-05,62
-9.99737197840482e-05,52
2.35103784583276e-08,48
2.37323829467771e-08,90
2.51239899609796e-08,50
2.55032030234066e-08,15
2.73250724513044e-08,40
2.74482868559245e-08,78
0.000100024115019102,41
0.000100024151113253,14
0.000100025051935855,33
0.000100025530901752,47
0.000100025602145318,71
0.000100025827991357,51
0.000100030551793149,72
0.000100034928011102,39
0.000200023684019012,63
0.00020002414701237,67
0.000200024340044677,23
0.000200024844364596,84
0.000200024876307378,74
0.000200025050829504,46
0.000200025794023192,80
0.000200025831199522,8
0.000200025841889853,45
0.000200025846978539,20
0.000200026077671747,69
0.000200026309221024,60
0.000200026532307933,6
0.000200031709872325,91
0.000300023925847139,70
0.000300024067368745,56
0.00030002428360187,42
0.000300024394590395,22
0.000300024601491394,87
0.00030002483737684,30
0.000300026800589525,3
0.000400023941995729,31
0.000400024022819261,19
0.000400024188322299,83
0.000400024888891614,27
0.000400025309355036,36
0.000400025321582879,1
0.000400029106712445,18
0.0005000236293164801,21
0.000500024192529637,85
0.000500024372935366,64
0.000500025336594265,28
0.0005000254775454739,12
0.00050002773334406,54
0.000600023727593975,37
0.000600023899876425,34
0.000600023922036706,44
0.000600024192818794,61
0.000600024370241206,86
0.000600024554765887,77
0.000600024702995993,4
0.000600024767700298,92
0.000600026547959807,73
0.000600026830014902,38
0.000600026997482727,49
0.000600027207526152,88
0.000600027726946385,43
0.000600029139702701,25
0.000700023840523832,10
0.0007000240219557,24
0.000700024168799909,79
0.000700024538011818,26
0.000700025920420077,9
0.000700026777722689,11
0.000800023845478599,75
0.000800023888855762,55
0.000800024145242861,17
0.000800024215467129,65
0.000800024512496287,89
0.000800024513561617,35
0.000800024540077625,53
0.000800024994988312,7
0.000800028137312229,29
0.000900023858708919,13
0.000900023894158162,27
0.00090002419639607,61
0.000900024387933705,35
0.000900024686433881,39
0.000900025759058766,74
0.000900025769440775,15
0.000900026781166597,62
0.0009000268296775399,29
0.00100002362829469,53
0.00100002381033266,52
0.00100002382925323,42
0.00100002432119914,17
0.00100002445431607,8
0.0010000245206909,26
0.00100002453551461,24
0.00100002709062862,34
0.00100002739492327,18
0.00100002790460549,31
0.00100002840677721,10
0.00100002846797789,21
0.0010000294778992,60
0.00100003045241849,37
0.00110002393984982,67
0.00110002449624513,66
0.0011000248521001,20
0.00110002485332778,28
0.00110002608512519,4
0.00110002770273945,19
0.00120002363754257,73
0.00120002368187948,59
0.00120002373132463,55
0.00120002375819228,5
0.00120002449316982,54
0.00120002482059066,40
0.0012000248420978,3
0.00120002743912721,64
0.00130002403277547,48
