OffsetVoltage_lewis_alt X,
-0.00575998884011562,1
-0.00473998879917116,4
-0.00455998861246878,5
-0.00431998806427017,2
-0.0038399888761623,1
-0.00383998646687006,3
-0.0035399889364778,7
-0.00353998823499396,2
-0.00341998825215513,1
-0.0033599877647163,8
-0.00323998733462479,4
-0.00305998865176467,5
-0.00299998760545161,6
-0.00293998858404206,9
-0.00287998842771318,3
-0.00281998837402225,10
-0.00269998899285426,30
-0.00269998853584486,16
-0.00269998814626238,3
-0.00269998771787342,17
-0.00263998826490986,9
-0.00257998798059743,13
-0.0025799877660563,6
-0.00251998878002441,24
-0.00251998877889141,11
-0.00251998806929121,8
-0.00251998792507865,14
-0.00251998497457114,21
-0.00245998897506836,19
-0.00239998849634321,5
-0.00239998727278039,27
-0.00239998710768736,28
-0.00239998686785679,22
-0.00233998893426856,35
-0.00215998891214421,33
-0.00215998837892693,2
-0.00215998824582798,36
-0.00209998864755292,25
-0.00209998857405891,32
-0.00209998837367983,15
-0.00209998831947829,20
-0.00209998675826549,1
-0.00209998643889578,40
-0.00203998830506228,7
-0.00197998893225228,38
-0.00197998835110175,12
-0.00197998829883884,26
-0.00197998813729712,10
-0.00197998777641265,37
-0.00185998867719266,18
-0.00185998818218388,23
-0.00185998789258094,4
-0.00185998734779764,34
-0.00179998889424841,29
-0.00173998875635534,31
-0.0017399886569859,41
-0.00173998861823373,39
-0.00167998894046517,17
-0.00167998891303547,33
-0.00167998846132868,68
-0.00167998746584442,75
-0.00161998873095252,26
-0.00161998856426715,41
-0.00155998856487177,50
-0.00155998854108098,20
-0.00155998848513659,32
-0.00155998784691366,2
-0.00149998873381386,23
-0.00149998828954658,74
-0.00149998802452577,19
-0.00149998756815686,11
-0.00143998874668318,49
-0.00143998779912847,21
-0.00143998639751693,12
-0.00137998867528598,3
-0.00137998823082214,62
-0.00137998809247457,5
-0.0013199890127318,48
-0.00131998878235343,42
-0.00131998815266361,45
-0.0013199876242711,10
-0.00131998722883267,65
-0.00131998691629049,64
-0.00125998889520499,51
-0.00125998854467973,52
-0.00125998805600262,56
-0.0012599879510895,73
-0.00125998754051917,69
-0.00125998739657389,22
-0.00119998926339132,81
-0.00119998903687724,46
-0.00119998901327217,43
-0.00119998889728617,18
-0.0011999888400393,27
-0.00119998857185131,6
-0.00119998843859291,72
-0.00119998798476875,35
-0.00113998905219185,63
-0.00113998876898575,16
-0.00113998869330041,36
-0.00113998862900679,84
-0.00113998861847138,14
-0.00113998844938937,61
-0.00113998820957874,80
-0.00113998788494733,8
-0.00113998611927279,34
-0.001079988897054,78
-0.00107998869568923,85
-0.0010799885298264,71
-0.00101998894218749,30
-0.00101998872281314,1
-0.00101998850871692,53
-0.00101998827782049,40
-0.00101998783435695,66
-0.00101998591056916,24
-0.00101998427450557,79
-0.000959988921824014,76
-0.000959988571475231,47
-0.000959988315202073,39
-0.000959987842208842,44
-0.0008999888870999001,83
-0.000899988630222024,9
-0.0008999882330445131,13
-0.000899986641982068,28
-0.000839988760926874,59
-0.000839988614324626,7
-0.0008399883467112321,57
-0.000839988273645799,37
-0.000839987956687906,31
-0.000839987918846023,60
-0.000839987728273311,54
-0.000839986637398931,70
-0.000839986423015895,4
-0.000779989024457017,58
-0.000779988968649267,29
-0.0007799886272799,87
-0.0007799881942496169,82
-0.000779987443489916,25
-0.000779986714876094,15
-0.000779986000575353,67
-0.0007199889859192369,38
-0.000719988687529394,86
-0.000719988402199956,77
-0.00071998800797454,55
-0.000659988952632372,54
-0.000659988700601963,45
-0.000659988609248998,73
-0.0006599882200628981,57
-0.000659987955996202,78
-0.000659987211867474,71
-0.000599988754840442,72
-0.000599988719358171,49
-0.00059998846063654,61
-0.000599988199687505,75
-0.000599988055617101,7
-0.000599988019975564,43
-0.000599987743172212,35
-0.000599987122535922,53
-0.000539988752873686,22
-0.00047998886481425,81
-0.000479988575411038,68
-0.000479988234198885,10
-0.000479988046379718,34
-0.000479986425284185,77
-0.000419988836201022,84
-0.000419988656068948,39
-0.000419988564566882,1
-0.000419988518718406,8
-0.000419987568358391,26
-0.000419987438324861,65
-0.000419987400507077,63
-0.000419986961744014,36
-0.000419986331398917,62
-0.000359988522470073,33
-0.000359988415697064,30
-0.000359988403279017,51
-0.000359987878881736,27
-0.000359986567109113,79
-0.000299988617086118,69
-0.000299988255227473,15
-0.000299987547494082,55
-0.00029998753485218,67
-0.000239988896681739,50
-0.000239988884454171,40
-0.000239988822777078,86
-0.000239988289719667,23
-0.000239987839856091,19
-0.000239987342503591,17
-0.000179988784577916,60
-0.000179988744820115,18
-0.000179988590856901,80
-0.000179988441332451,6
-0.000179988317415178,87
-0.000179988248533754,74
-0.000119988939673166,52
-0.000119988880315672,20
-0.000119988856154443,76
-0.000119988595355653,41
-0.000119988575698973,85
-0.000119988274330567,83
-0.000119987758495508,32
-5.99887573691859e-05,13
-5.99885901525764e-05,3
-5.99885814301499e-05,66
-5.99884850674243e-05,4
-5.99881465753437e-05,12
-5.99879611132038e-05,31
-5.9987958406762e-05,28
1.11621496686616e-08,88
1.13991482246117e-08,16
1.23033158053552e-08,46
6.00111095888322e-05,47
6.00112551369381e-05,11
6.00113528789355e-05,37
6.00114182209112e-05,56
6.00128175936146e-05,2
0.000120011297448011,70
0.000120011761827364,9
0.00012001180615481,59
0.000120012337919568,48
0.000180010967501463,21
0.000180011055493434,25
0.000180011188046322,42
0.000180011494340867,44
0.000240011116270864,14
0.000240011235805212,38
0.000240011550800767,64
0.000240011761792474,5
0.000300011122482143,29
0.000300011412506756,24
0.000300011519206621,58
0.00030001217593453,82
0.000360011228091687,47
0.000360011586523536,26
0.000420010997335235,7
0.000420011050340383,28
0.000420011073259568,54
0.000420011265668711,8
0.000420011372385794,75
0.000420011675770109,18
0.000420011981785456,5
0.000420012671803909,32
0.000420013602924072,51
0.000480012775112394,4
0.000540011412865916,45
0.000540011530161114,20
0.000540012309192451,55
0.000540012359632656,33
0.000540013391173417,12
0.000600011370697484,24
0.000600011889814232,14
0.000660011365807381,1
0.000660011402475401,25
0.0006600114276330349,30
0.00066001191563578,58
0.000660012187312522,77
0.000660013453368345,22
0.000720011429720377,78
0.000720012835782736,76
0.000720013538036414,44
0.000780011081817851,13
0.000780012095862021,60
0.000780012423688611,43
0.000780013788860429,56
0.0008400114431226391,16
0.000840011502622304,65
0.000840012292183493,40
0.000840013266297612,49
0.000900011303153179,63
0.000900011655070212,57
0.000900012861755845,74
0.000900013451276661,39
0.000960011190078528,48
0.0009600113066927,36
0.000960011758462269,10
0.000960012044968384,67
0.000960012512692714,19
0.00102001098784223,2
0.00102001109029822,70
0.00102001160093013,34
0.00102001170461233,41
0.00102001184374868,29
0.0010200121833853,71
0.00108001106406163,27
0.00108001122959839,69
0.00108001129489827,62
0.00108001162197053,23
0.00108001171296531,59
0.0010800121187144,66
0.00108001248066127,21
0.00108001260640127,72
0.00108001262623781,3
0.00108001290612968,52
0.00114001104385231,11
0.00114001104728171,37
0.00114001158437654,31
0.00114001159868994,17
0.00114001183669503,35
0.00114001215966962,9
0.00114001249389783,15
0.00114001269944428,79
0.0011400131411684,64
0.00114001483487911,42
0.00120001199949607,61
0.00120001441427891,73
0.00126001126117472,46
0.00126001221620042,6
0.00126001325918966,50
0.0013200112059402,53
0.001320012494075,68
0.00132001269189897,38
0.00138001120374311,5
0.00138001127719685,41
0.00138001174484721,3
0.00138001508139203,39
0.00144001159600767,12
0.00144001166250246,24
0.00144001235206054,36
0.00144001238602642,42
0.0015000109862282,8
0.00150001129124355,43
0.00150001140191823,15
0.00150001205415061,7
0.00150001243676825,10
0.00156001104928013,22
0.00156001126151957,25
0.0015600113301462,37
0.00156001146341096,46
0.00156001259490159,45
0.00162001171575202,19
0.00168001105444496,29
0.00168001174869898,6
0.00168001187989803,11
0.00168001298658392,35
0.00174001119563612,34
0.00186001089020997,4
0.00186001109908938,38
0.00186001174301172,18
0.00186001242123377,16
0.00186001383336996,31
0.00192001103820911,14
0.00192001156977736,9
0.00198001207758457,27
0.00198001350931616,1
0.00204001100645719,23
0.00204001244008712,32
0.00210001124180985,30
0.00210001180894757,40
0.00210001209769439,20
0.00216001114771462,44
0.00216001195149254,2
0.00216001211394028,33
0.00216001303460613,48
0.00222001336186545,26
0.00228001235681326,13
0.00228001573446307,17
0.00234001124651849,21
0.00234001128765355,28
0.00234001215824413,47
0.00240001109687663,5
0.00240001140729057,1
0.00246001124220843,20
0.00246001138612056,19
0.00246001210957655,12
0.002460012162252,6
0.00252001159027921,13
0.00258001147666662,23
0.00258001385502854,4
0.00264001165252639,7
0.00276001127379242,10
0.00276001186596588,11
0.00276001396162855,18
0.00282001102928764,2
0.00282001115957262,8
0.00282001157225339,14
0.00294001117256941,17
0.00294001138809044,28
0.00300001113321236,29
0.00300001223817169,15
0.00306001196110697,26
0.00312001158679019,31
0.00312001259184242,3
0.00318001178229194,21
0.00318001317974019,9
0.00324001120937503,25
0.00330001089351437,30
0.00330001124229976,27
0.00330001221687949,24
0.0033600111912527,16
0.00336001128433951,22
0.00342001126686638,3
0.00342001351713847,7
0.003540012203152,2
0.00366001111651872,8
0.00378001229133288,5
0.00390001097564667,6
0.00390001122055797,9
0.00414001155854574,4
0.0042000111730712,1
0.00438001111176447,10
