OffsetVoltage_lewis_alt X,
-0.00459999678713679,1
-0.00432499699425153,2
-0.00369999693483171,5
-0.00352499701191091,8
-0.0034749964771357,10
-0.00327499695579898,1
-0.00311249706220539,3
-0.00302499650399072,4
-0.00294999696542226,7
-0.00292499692774149,2
-0.00287499701672308,6
-0.0028124967729572,9
-0.00276249705105717,19
-0.00271249659589078,10
-0.00263749693995754,3
-0.00254999674804499,11
-0.00253749697707145,23
-0.00253749660432301,1
-0.00249999688263633,22
-0.00228749677234768,12
-0.00226249676574505,26
-0.00223749706874435,16
-0.00223749693847417,15
-0.00222499666452883,9
-0.00221249709259056,2
-0.00221249633889448,21
-0.00218749680762331,13
-0.00218749646520101,4
-0.00214999693386841,5
-0.00214999689453926,8
-0.00213749635363593,14
-0.00212499689841827,18
-0.00212499684503746,27
-0.0020999970848433,6
-0.00209999704210035,25
-0.00203749697856794,28
-0.00196249699796688,24
-0.00194999693560463,17
-0.00193749685548875,20
-0.00192499693952502,7
-0.00189999698663077,10
-0.00188749678530348,39
-0.0018624967922241,53
-0.00183749687289559,57
-0.00179999697526314,2
-0.00179999693150441,18
-0.0017874970420723,24
-0.00176249687656743,9
-0.00171249683135327,48
-0.0017124967487582,19
-0.00169999703061067,56
-0.00169999702823774,22
-0.00166249667669445,49
-0.00161249701189131,11
-0.00159999704650371,36
-0.0015749970457303,15
-0.00156249672540113,1
-0.00154999691999545,28
-0.00153749673964624,5
-0.00152499708697767,27
-0.00152499679256471,46
-0.00151249664284931,44
-0.00149999701137077,29
-0.00149999698844554,3
-0.00147499682497308,50
-0.00146249704679804,14
-0.00144999692366748,7
-0.00142499684298357,8
-0.00138749680634454,42
-0.00137499704863215,32
-0.00136249673626229,33
-0.00136249672740495,25
-0.00136249650934466,34
-0.00134999700737387,51
-0.00133749704204777,16
-0.00133749696931688,35
-0.00133749690682083,47
-0.00133749643994073,4
-0.001312497040955,23
-0.00129999702322477,13
-0.00126249690352827,52
-0.00124999659353954,58
-0.00121249703425097,55
-0.00121249698892075,37
-0.0011749968979235,31
-0.00117499684456272,38
-0.00116249651929585,6
-0.00114999679459296,30
-0.00112499694296537,21
-0.00112499678610944,12
-0.00112499664466876,41
-0.00111249686603887,45
-0.00111249667377565,26
-0.00111249608948807,43
-0.00106249698981366,54
-0.00106249697416263,40
