OffsetVoltage_CScomp X,
0.000391105846078847,8
0.000391110975134098,9
0.000391116973096309,58
0.000451081920354897,51
0.000451111725684278,19
0.000511109361040872,6
0.000511115742917758,46
0.000511135228821002,37
0.000511148981674539,55
0.000511159803120905,47
0.000571092168394319,3
0.000571114606679371,15
0.000571173947683493,29
0.000631091119152631,42
0.000631135756702765,23
0.000631141703951523,32
0.000631187683795311,52
0.000691091187325689,11
0.000691281373324315,59
0.000751121931211914,17
0.0007511314978366921,21
0.000751154808239767,56
0.000751173575653855,44
0.000751215775990579,10
0.0008111023018940111,45
0.0008111329951481689,31
0.000811137717588604,53
0.000811144981398884,46
0.000811175963782899,34
0.0008111835131744221,31
0.000811232429664936,1
0.000931119495176488,6
0.000931133101042841,10
0.0009911127893660529,50
0.000991119490996584,11
0.0009911266929849879,25
0.0009912446836011701,21
0.00105109189881236,42
0.00105109666073937,38
0.00105110872108703,28
0.00105110918062036,43
0.00105114093685032,7
0.0011111054975596,32
0.00111111052184855,27
0.00111111448291738,19
0.00111112699469082,20
0.00111113284479036,45
0.00111113749026251,35
0.00111114895810694,33
0.00117110841872177,37
0.00117111169546481,12
0.00117112419331043,51
0.00117118964244876,15
0.00123109896806456,55
0.00123120750896078,49
0.00123122049445649,53
0.0012911066921048,17
0.00135108773111834,56
0.0013511165531529,8
0.00141109519046042,36
0.00141109720703806,54
0.00141110853864438,29
0.0014111112499616,40
0.00141111254616285,23
0.00141111473283283,4
0.00147109560679149,2
0.00147112863113017,3
0.00153118577341036,47
0.00159111517748071,18
0.00159114718982296,30
0.00165114638658481,22
0.00165122110257992,14
0.00171106843741454,24
0.00171113316228766,41
0.00177108688457259,48
0.00177113305236984,13
0.00183110097349869,16
0.00183110309926428,5
0.00183110503714375,9
0.00183111903378812,52
0.0018311467694981,39
0.00183115063225288,26
0.00183123317631094,44
0.00195115491187149,26
0.00201109179657726,1
0.00201110082805417,16
0.00207113262577318,12
0.00219112848130569,24
0.00219113020478256,7
0.00219113355751293,3
0.00219115201249247,2
0.00225122290125006,19
0.00231108998526083,13
0.00231112676874698,10
0.00237110444519695,17
0.00243108369554283,15
0.00243109161660611,6
0.00243109649641407,23
0.00249113304929613,27
0.00249119633630046,20
0.00255112027283761,4
0.00255114215571223,22
0.0026110989159089,25
0.00261115129973943,18
0.00267110485486312,8
0.00285111650498865,9
0.00285114445833468,5
0.00291108750522742,11
0.00297110950260295,21
0.00303107714020411,28
0.00309107519442188,14
0.00327111781334551,3
