OffsetVoltage_lewis X,
-0.00439990702598225,1
-0.0040999005346821,3
-0.00389990577082806,6
-0.00389989747875307,5
-0.0037998991452495,2
-0.00379989254470858,4
-0.00329990925242304,12
-0.00329990768882582,1
-0.00329990505893977,6
-0.0030998950254052,10
-0.00299990753175206,4
-0.00289990200080876,2
-0.00289989187903646,11
-0.0027999044741777,7
-0.00279990298565874,3
-0.0027999023538696,8
-0.00279988182052318,9
-0.00269990677063433,5
-0.0025999067706842,20
-0.00259989586338996,28
-0.00259989383080589,17
-0.0024999070083914,22
-0.0024998982370357,29
-0.00239990425245731,4
-0.00239990404586771,8
-0.00239990084160397,13
-0.00239988004177044,5
-0.00229989563270145,16
-0.00219989321722426,3
-0.00209990768352002,18
-0.00209989915891541,21
-0.00199990804432873,27
-0.0019999060676917,15
-0.00199990535228386,6
-0.00199990219911456,7
-0.00199989889947584,25
-0.00189990900154444,2
-0.00189990663912403,10
-0.00189990543995927,24
-0.00179991099532799,11
-0.0017999087302245,9
-0.00179990720909975,23
-0.00179990720643135,12
-0.00179990690076354,19
-0.00179990436838246,26
-0.00179990356894196,14
-0.00179990117804678,1
-0.00169990749963745,45
-0.00169990747460135,14
-0.00169990737379003,25
-0.0016999044235669,21
-0.00169990188019309,42
-0.00169990064680328,32
-0.00159990808970655,38
-0.00159990533253801,16
-0.00159990169675737,41
-0.00159990038750816,2
-0.00159989915970865,13
-0.00159989685287977,12
-0.00149990616407,44
-0.00149990292493336,11
-0.00139991096904898,29
-0.00139990898063248,1
-0.00139990831397316,10
-0.0013999077146229,23
-0.00139990741453549,5
-0.00139990695009548,18
-0.00139990132455129,39
-0.0013998964330584,4
-0.0013998917060727,43
-0.00129990868427523,31
-0.00129990761988822,17
-0.0012999066687555,15
-0.00129990653285863,8
-0.00129989821836807,22
-0.00119991034899387,24
-0.00119990106396116,30
-0.0011999001042543,36
-0.00119989635781475,20
-0.0011998947527586,19
-0.00109990927615559,7
-0.00109990762645352,33
-0.00109990459957143,35
-0.00109990442763274,34
-0.0010999020184693,37
-0.00109989351283275,26
-0.0009999117369392969,3
-0.000999910633563179,40
-0.0009999090323691471,28
-0.0009999084268037029,6
-0.0009999073886665941,27
-0.000999899966807546,9
-0.0009998975133085231,46
-0.000899909577000824,65
-0.00089990917553692,58
-0.000899908348220665,38
-0.000899907888376639,42
-0.0008998999740463,43
-0.000899891978745958,50
-0.000799909653772605,80
-0.000799909532811942,57
-0.000799909493209489,79
-0.000799908697840095,85
-0.000799908658065502,21
-0.000799908301947501,19
-0.000799908066187104,7
-0.000799907967625575,8
-0.000799907934151471,74
-0.000799905940498807,78
-0.000799900954200018,41
-0.000799899459097109,1
-0.000799891954238783,31
-0.000799885745517182,2
-0.000699909209606229,27
-0.00069990887104909,30
-0.0006999076879182961,10
-0.000699907614543632,26
-0.0006999066018851089,45
-0.000699899142261961,13
-0.000699898659644035,34
-0.000599910068612408,54
-0.000599908282502824,62
-0.000599908003771829,60
-0.000599906306029938,4
-0.000599905457436651,11
-0.000599902960456326,72
-0.00049991139748004,56
-0.000499910973403088,46
-0.000499910159454286,6
-0.000499910083533696,14
-0.000499909758527019,29
-0.000499908988268771,37
-0.000499908960702869,22
-0.000499908959643135,23
-0.000499908562594102,70
-0.0004999077454525,87
-0.000499906556047216,17
-0.000499904822401455,16
-0.000499904463906093,15
-0.000499901708073138,86
-0.000499900459627135,36
-0.000399910366266519,59
-0.000399909815122863,77
-0.000399909647555153,32
-0.000399907945934918,35
-0.000399907391923786,25
-0.000399907068372231,64
-0.000399907064697675,39
-0.000399906485105089,53
-0.000399905436489199,33
-0.000399904768014745,73
-0.000399903779544166,49
-0.000399900098814447,84
-0.000399897637732581,24
-0.00029991226588455,5
-0.000299911967034263,75
-0.000299910884857101,44
-0.000299909457279276,71
-0.000299909310444493,68
-0.000299909141657177,18
-0.000299907981271248,67
-0.000299907581477296,51
-0.0002999066584816,88
-0.000299904460285157,90
-0.000299903986302129,61
-0.000299899409237487,55
-0.000199911337744723,66
-0.000199910507659171,82
-0.00019990819595387,52
-0.000199907758749651,63
-0.000199907646449717,76
-0.000199907405847747,81
-9.99098260090988e-05,89
-9.990981161939679e-05,12
-9.99079285127636e-05,3
-9.9907367449301e-05,28
-9.99071981808974e-05,83
-9.990653880823689e-05,40
-9.99039135788754e-05,9
-9.99037732273236e-05,48
-9.99032768163365e-05,20
-9.990114817432909e-05,47
-9.989678597588061e-05,69
8.998984509518301e-08,72
9.00613979720096e-08,1
9.091935711166339e-08,2
9.11104942534894e-08,56
9.40537359403944e-08,13
9.43172190870798e-08,87
9.589762313067151e-08,28
9.64570338836082e-08,29
9.77806180055205e-08,82
9.8140186594533e-08,62
0.000100088615402408,52
0.000100089473981755,32
0.00010009008265676,90
0.000100091039984699,84
0.000100091098302675,85
0.000100091849533764,63
0.000100093028626675,3
0.000100093215242658,51
0.000100093523462519,66
0.000100094534169542,77
0.000100095469912077,78
0.000100098176603688,49
0.00010009951710285,53
0.000100099907312786,55
0.000100102562543809,34
0.000200086895627556,23
0.000200088095735013,88
0.000200088459787352,21
0.000200089967291884,25
0.000200090786643747,94
0.000200091429393316,47
0.000200092264726179,43
0.000200092287817284,44
0.000200092328299223,76
0.000200094401533085,14
0.000200095399477724,10
0.000200096086875274,69
0.000200097824663096,31
