OffsetVoltage_lewis_alt X,
-0.00311994472562922,42
-0.00311994346115776,21
-0.00311993418072136,41
-0.00278994756260429,3
-0.00278994653357029,33
-0.00278994615588084,31
-0.00278994596945909,28
-0.00278994556805419,16
-0.00278994241499169,64
-0.00278994192415202,61
-0.00245994781464827,56
-0.00245994709010655,26
-0.00245994587457219,27
-0.00245994335012862,37
-0.00245994307917045,48
-0.00245994028253746,44
-0.00245993997119585,50
-0.00245993466202008,66
-0.00245993232734086,54
-0.00212994871768651,39
-0.00212994651056411,20
-0.00212994581784218,72
-0.00212994550990629,2
-0.00212993803045566,74
-0.00179994864378959,22
-0.00179994645142895,47
-0.00179994638922958,62
-0.00179994572116131,77
-0.00179994564792905,65
-0.00179994266959833,69
-0.00179993646673783,24
-0.00146994775393641,67
-0.00146994755585448,73
-0.00146994754917322,58
-0.00146994638760722,9
-0.00146994610831062,40
-0.00146994512897601,8
-0.0014699448742434,29
-0.00146994460182966,76
-0.00146994250982039,57
-0.00146993894603765,19
-0.0014699345654386,12
-0.00146993420539251,51
-0.00146993221464647,63
-0.00113994883642577,25
-0.00113994758310606,36
-0.00113994713346159,7
-0.00113994598073697,70
-0.00113994585814953,42
-0.00113994532375708,60
-0.00113994348097669,55
-0.00113994263079362,21
-0.00113994083931255,49
-0.00113994002881404,11
-0.00113993693910801,43
-0.000809949196950491,30
-0.000809949025278939,32
-0.00080994845477263,59
-0.000809948274379288,41
-0.00080994700958378,1
-0.000809943615649551,23
-0.000809942360531317,53
-0.000809936534103706,10
-0.000809935933583123,52
-0.000809926854862014,75
-0.000479948929997557,71
-0.000479948050025498,6
-0.000479943299284309,78
-0.000479942472442887,34
-0.000479940910500107,35
-0.000479939523525159,17
-0.000149948764596591,14
-0.000149948516132142,15
-0.000149947438852281,18
-0.000149945510883855,4
-0.000149944314859287,45
-0.000149942628119651,46
-0.000149942142028804,5
-0.000149941617344996,13
-0.000149935402006305,38
-0.00014993533576327,79
-0.000149926700861575,68
0.0001800508904387,27
0.000180051057178918,44
0.000180051088144912,59
0.000180051426531392,11
0.000180051588210901,62
0.000180051659675872,2
0.000180052136638029,78
0.000180052644463396,65
0.000180052986145341,86
0.000180056843996603,8
0.000180058352193266,25
0.000180072446496938,32
0.000510051460860589,49
0.000510053855365981,1
0.000510054077072187,23
0.000510054419824362,83
0.00051005458368727,13
0.000510055438423392,68
0.0005100560213240121,29
0.000510057462574701,50
0.000510058028577613,87
0.000510060008055959,24
0.000510062161385699,46
0.000510063450625947,47
0.000510065065339667,88
0.000510074556466999,9
0.000840054806327569,56
0.000840054901074063,70
0.000840058243397548,63
0.000840058559945788,76
0.00084006143331366,39
0.0008400651565065,19
0.00117005131146149,75
0.00117005136075414,52
0.00117005181223686,61
0.00117005223780075,77
0.00117005275117385,26
0.00117005316229572,41
0.00117005400555017,45
0.00117005420177032,6
0.00117005517101812,35
0.00117005523382944,16
0.00117005533822667,53
0.00117005961923031,17
0.00117006907618528,81
0.00117007191766357,51
0.00150005151482985,31
0.00150005366379578,20
0.00150005384971275,42
0.00150005497113718,74
0.00150005512659469,85
0.00150005531470044,69
0.00150005790024958,54
0.0015000588532761,22
0.00150005915633169,43
0.0018300515591229,66
0.00183005235832322,3
0.00183005292376169,34
0.0018300536191974,55
0.00183005439515199,40
0.00183005777015036,72
0.00183005900840828,79
0.00183007008483101,60
0.00216005081371258,5
0.00216005116643626,58
0.00216005122925717,33
0.00216005179134048,38
0.00216005215481043,7
0.00216005293375696,4
0.002160053047769,82
0.00216005380410866,10
0.00216005550707671,14
