OffsetVoltage_lewis X,
-0.008999978243323129,49
-0.0089999781028415,3
-0.008999977222471509,13
-0.00899997663479035,34
-0.00899997659733659,16
-0.008899978147270979,1
-0.008599977644319599,5
-0.008599976514219339,37
-0.00839997719579917,33
-0.00809997704340472,41
-0.00779997640460855,58
-0.00769997189859146,14
-0.00749997715669859,26
-0.00739997834839564,18
-0.00729997817244542,28
-0.00729997804377725,36
-0.00729997804175219,71
-0.00709997748623724,29
-0.00699997606385922,74
-0.00689997791559084,73
-0.00689997431339825,70
-0.0067999736684485,19
-0.00669997665276282,55
-0.00659997785767708,59
-0.00659997250336776,46
-0.00609997711248544,69
-0.00589997300162007,4
-0.00549997855005234,6
-0.0054999772296334,27
-0.00529997686007681,23
-0.0051999758635725,25
-0.00509997665653635,63
-0.00499997788349059,7
-0.00489997764781597,80
-0.00489997698816688,76
-0.00489997435570424,60
-0.00479997586845807,50
-0.00469997690569568,11
-0.00459997773422726,32
-0.00449997659576869,24
-0.00439997834133244,9
-0.00439997725991913,52
-0.00419997766038783,61
-0.00389997676797186,17
-0.00389997637155158,68
-0.00379997282428753,48
-0.003699976543244,56
-0.0035999778302137,42
-0.00359997702875509,31
-0.00359997580553028,35
-0.00359997531752627,78
-0.00349997743882763,66
-0.0032999779126966,65
-0.00329997613430333,77
-0.00319997782234562,79
-0.00319997225282699,44
-0.00309997747842436,72
-0.00299997583399422,43
-0.00289997776746028,38
-0.00289997411143367,75
-0.00269997762626123,53
-0.00259997785704724,64
-0.00249997779257993,30
-0.00249997477898301,51
-0.00239997733993887,12
-0.00199997291160172,45
-0.00189997644048828,20
-0.00189997567055338,62
-0.00189997532906057,39
-0.00179997747761952,10
-0.00179997615019702,67
-0.00169997720632296,22
-0.00159997756663086,15
-0.0015999768083646,8
-0.00139997739716125,59
-0.00139997513033886,57
-0.0012999781420336,84
-0.00129997783682136,83
-0.00119997645973421,13
-0.00109997719344051,44
-0.00109997653222277,66
-0.000599978025950925,78
-0.000599975934338145,11
-0.000599974669565019,61
-0.000399976634843293,53
-0.000399976614929643,72
