OffsetVoltage_CScomp X,
0.000357489924749116,86
0.000359715048897156,81
0.000465398748995898,43
0.000465707294701846,68
0.000466312971893332,64
0.000469157886867132,54
0.000575258715453619,51
0.000575280320265998,57
0.000575565978681917,5
0.000575637907367705,21
0.000576030197813373,17
0.000685460205292513,21
0.000685633319975243,42
0.0006856421877701429,78
0.000685680002013242,25
0.000685975124675789,43
0.000686549091232392,70
0.000686592133721157,9
0.000686642674494574,2
0.00079531887620332,74
0.000795663921921132,73
0.000795674552242974,71
0.000795750010104855,29
0.000795918520773614,15
0.0007959256211906,46
0.000796085713767531,54
0.000796491772069442,40
0.000905493102500503,41
0.0009056331630435339,62
0.000905789060934874,24
0.000906141115335494,13
0.0009062140349369409,39
0.000906711805824169,1
0.000906955382374626,50
0.00090964209888412,10
0.00101525260936433,69
0.00101554792190063,49
0.00101582078942325,3
0.00101588682823391,33
0.00101674298748987,52
0.00112455158431958,14
0.00112538392069684,47
0.00112566756042329,63
0.00112578951292014,66
0.00112581618513391,64
0.0011261982754315,20
0.00112625181368174,30
0.00112650918258021,68
0.00112666445619543,44
0.00112717054827319,72
0.00112765408306674,11
0.00123565665387374,32
0.00123566690190943,7
0.00123583925354083,23
0.00123642967115336,77
0.00123653165628992,6
0.0012365941599033,36
0.00123800967940096,26
0.0013452167421526,76
0.00134563529595285,27
0.00134571538731709,12
0.00134572317310436,16
0.00134576077664578,18
0.00134584569742993,75
0.00134588130014235,34
0.00134640966361373,19
0.00134658390170915,31
0.00134662064587674,37
0.00134671116593974,48
0.00134687585056023,51
0.00134701463168375,60
0.00145475035065042,45
0.00145532841376802,61
0.00145584439279074,55
0.00145656516991084,65
0.00145686703192755,5
0.00156541588955526,17
0.00156570347894444,38
0.00156582785707657,56
0.00156599852185785,67
0.00156615482582712,53
0.00156686749072994,35
0.00156732638648453,22
0.00156775450113972,59
0.00156775641220019,28
0.00156870306626245,4
0.00167526523542714,57
0.00167626010297249,8
0.00167635201877135,58
0.00178531922262244,3
0.00178559544523053,28
0.00178587204802688,36
0.00178592690999278,34
0.00178626772637076,12
0.00178649167603042,20
0.00189619826809995,8
0.0018978836485713,25
0.00200549139791979,10
0.00200554492712443,37
0.00200563889977511,6
0.00200580419469453,15
0.00200584128041098,14
0.0020062211855795,31
0.00200641625717418,5
0.00200665583605313,24
0.00211504938849788,35
0.00211565546655802,29
0.00211668588809945,11
0.0022259411789562,27
0.00222628545051356,17
0.00222768270368545,41
0.00233530302504465,1
0.00233581589341855,30
0.0023365593557987,19
0.00244512304877986,33
0.00244592441648628,2
0.0024473751671283,26
0.00255568698449453,13
0.00255665706164435,16
0.00255685177583043,7
0.00255711128241922,39
0.00266535290154047,22
0.00266538127693818,4
0.00266614687976194,21
0.00266633016678477,18
0.00266757101751835,9
0.00277590777848242,38
0.0027772616748697,40
0.00277914722440863,32
0.00277986214338357,23
0.00288547949963408,15
0.00288555793705307,17
0.0028861332415708,14
0.00299562166081012,4
0.00299639887852743,16
0.00310555004943277,24
0.0031056346782358,5
0.00310679053809293,22
0.00310767430172821,11
0.00321607914120127,6
0.00321809218953843,1
0.00332561711978044,19
0.00332572462839538,7
0.00332820640013985,20
0.00343543332002034,21
0.00343607354515315,13
0.00343683557246165,23
0.00343684537427691,9
0.00343722291876055,2
0.00365646704383592,3
0.00376508641869363,18
0.0038764057945571,12
0.00387642167991686,8
0.00387736493126321,10
0.00398592389197847,7
0.00409714866306643,3
0.00420622826475841,6
0.00431650736799876,10
0.00431685869270961,4
0.0044261720760669,8
0.00442620550805001,5
0.00442709325673817,2
0.00442801130858105,1
0.00464631091608771,12
0.0046465369413077,9
0.00475627103817644,13
0.00475789168839112,11
0.00596628440294557,3
0.00607705367017854,1
0.00618642807528623,2
