OffsetVoltage_lewis_alt X,
-0.000599869831798784,29
-0.000599866634644191,55
-0.000499878431667591,12
-0.000499874593839709,14
-0.000499873092901076,11
-0.000499871503475959,32
-0.00049987096225813,25
-0.000499866457793391,35
-0.000499857761992163,37
-0.000499851882397215,54
-0.000399878419961565,11
-0.000399877702025696,59
-0.00039987674978863,1
-0.000399876325767679,57
-0.000399875286081828,97
-0.000399874529875825,49
-0.000399873541100413,15
-0.000399872758307816,24
-0.000399872285153844,85
-0.000399870214424036,29
-0.000399868209654604,51
-0.000399867957673757,2
-0.000399867949601467,96
-0.000399867632479115,72
-0.000299877754597441,78
-0.000299875869522009,70
-0.000299875715677515,52
-0.000299875466080432,103
-0.000299875385805234,43
-0.000299873324705375,25
-0.000299872774618312,6
-0.000299869195830476,65
-0.000299861689527551,8
-0.000299861416143636,76
-0.000299860589237052,32
-0.000199877465489767,95
-0.000199876030716281,13
-0.000199875466986232,100
-0.000199875369989378,53
-0.000199874604454204,4
-0.00019987431415154,77
-0.000199873390724143,61
-0.000199873349740791,42
-0.000199871003788328,7
-0.000199870076034843,64
-0.000199867791919324,44
-0.000199860846575343,56
-9.987597112302491e-05,92
-9.98759513133322e-05,71
-9.98749828338628e-05,94
-9.98735543419915e-05,21
-9.987206715452469e-05,28
-9.98718534637904e-05,38
-9.98713591321085e-05,16
-9.987043109178771e-05,62
-9.98693582526735e-05,81
-9.986866729209549e-05,14
-9.98671999205479e-05,40
-9.98655352507231e-05,27
-9.98641454639696e-05,48
-9.98631208382407e-05,30
1.21287191942968e-07,39
1.2335550767979e-07,86
1.23563361771154e-07,35
1.24763760642907e-07,69
1.24766792791853e-07,9
1.25424018876505e-07,54
1.26707722316551e-07,91
1.26791449221711e-07,67
1.28740217456271e-07,73
1.28987841183826e-07,20
1.29281571764642e-07,12
1.34257338732643e-07,80
1.39619627216888e-07,34
1.41878815330346e-07,93
0.000100121886307912,75
0.000100122489320478,18
0.000100123517009312,46
0.000100123667107222,84
0.00010012397821989,5
0.000100125351933767,45
0.000100127145632027,50
0.000100127362283985,104
0.000100128292696074,22
0.000100130295390473,82
0.000100133137894319,99
0.000100136526904148,106
0.000200123652736846,108
0.000200124685373716,109
0.000200125070392874,88
0.000200125454099879,105
0.000200126094128222,55
0.000200126298491021,26
0.000200126995495878,90
0.000200127043536565,83
0.000200127090031999,66
0.000200128230320907,63
0.000200128602015417,17
0.000200128697509527,33
0.0002001291908762,101
0.000200148899909502,87
0.000200158110599468,102
0.000300121897686238,31
0.000300123039892141,47
0.000300123817232689,98
0.000300124143991569,3
0.000300125984722207,37
0.000300129348164411,58
0.000300129866227114,74
0.000300132826576708,79
0.000300134023988445,23
0.000300134873128064,89
0.000300141673116196,10
0.000400123139917637,68
0.000400123773280523,60
0.000400124719096314,107
0.000400127345499762,19
0.000400129807696814,36
0.000400132069285368,41
0.000500125340980016,29
0.000500126086542038,64
0.000500126400179276,76
0.000500126452878161,8
0.000500126559664631,72
0.00050012662544444,51
0.000500127503423618,12
0.000500130081291908,49
0.000500131344241323,31
0.000500132146394252,23
0.000600120792915972,43
0.000600121697571623,13
0.00060012266927742,67
0.000600122892105276,58
0.000600124690237416,55
0.000600125196707643,46
0.000600125198652315,59
0.000600125282232587,19
0.000600128165921027,48
0.000600128795728672,1
0.000600139945157336,17
0.000700122996023722,61
0.000700125411083959,40
0.000700125412483866,60
0.000700125452424495,63
0.000700125883645995,52
0.000700126429829406,5
0.000700127574290999,75
0.000800122547069765,36
0.000800124365413218,25
0.000800124385576698,3
0.00080012527748012,69
0.000800125402005529,56
