OffsetVoltage_CScomp X,
-0.00494861440510314,3
-0.00444835173802353,2
-0.00444832367572782,6
-0.00424841575974443,5
-0.00414843292561695,1
-0.00414840745419532,4
-0.00384848566893403,4
-0.00384841467020894,3
-0.00374842189014986,10
-0.00364848498065521,12
-0.00354839241268203,8
-0.00344839297626966,5
-0.00324843669605153,6
-0.00324843405428828,7
-0.00324832892565668,9
-0.00314847634691787,11
-0.00314847344471635,16
-0.00314843956195661,14
-0.00314840679818241,15
-0.00314839552252232,1
-0.00314832238028073,2
-0.00314828174619419,13
-0.00294840345657415,23
-0.00284847112278704,16
-0.00284845683998717,25
-0.00284845568698338,4
-0.00284841645049224,22
-0.00274845413305532,7
-0.00274844718217614,15
-0.00264847584425481,28
-0.00264844928917392,24
-0.00264844369504194,18
-0.00264843286517719,17
-0.00264831445904077,26
-0.00264830125814285,8
-0.00254847952438784,10
-0.00254846918918282,9
-0.00254845351915483,11
-0.00254833431925678,20
-0.00244847018566153,6
-0.00244843886074953,3
-0.0024484244944238,27
-0.00234843727235641,2
-0.00234842358074551,14
-0.00234834583505284,13
-0.0023482335430817,12
-0.00224849682635646,5
-0.00224847642383883,1
-0.00224846768009837,21
-0.00224837927568188,19
-0.00214849654783804,46
-0.0021484756826141,23
-0.00204848833248486,10
-0.00194849818908486,31
-0.00194849481867676,12
-0.00194848888615142,14
-0.00194846520933121,35
-0.00194845223485901,30
-0.00194845098076055,28
-0.0019484412485188,1
-0.00184848405523993,37
-0.00184847054258919,18
-0.00184846895118035,21
-0.00184845172225568,2
-0.0018484451795663,9
-0.00184840930092674,43
-0.00184837495957063,6
-0.00184823625761237,27
-0.00174847528337286,16
-0.00174846519907932,11
-0.00174845865872828,34
-0.00174845471882798,19
-0.00174844877529518,42
-0.00174843838236811,44
-0.00174843828519624,5
-0.00174842996864018,36
-0.00174841808054565,33
-0.00174833503350293,4
-0.00164846620292776,39
-0.00164822490325492,22
-0.00154849526621405,24
-0.00154845019341247,26
-0.00154836992259642,25
-0.00144849385586431,29
-0.00144844748350891,8
-0.00144843772312776,7
-0.00144839114661502,32
-0.00144833804408925,45
-0.00134849485201485,17
-0.00134846836816805,15
-0.00134846556877994,13
-0.00134843211592578,20
-0.00134842838672228,3
-0.00134842661868903,41
-0.00134838905916012,38
-0.0013482968042352,40
-0.00124850251180719,38
-0.00124849416370818,3
-0.00124849142995141,30
-0.00124843370874585,34
-0.00124837055158162,56
-0.00124831002748318,29
-0.00114850512782024,13
-0.00114848630725956,37
-0.00114848401600806,62
-0.00114845840567367,57
-0.0011484456151727,15
-0.00114843835854835,43
-0.00114843058526873,59
-0.00114842567208999,24
-0.00114842324249744,63
-0.00104848874898168,64
-0.00104840018735889,23
-0.00104832063659412,22
-0.00104828903091925,48
-0.00104822754499062,19
-0.00094849522845673,55
-0.000948478375679948,61
-0.000948477847749835,10
-0.0009484775220343,9
-0.0009484579294500389,46
-0.000948457836154391,31
-0.000948398607071705,58
-0.000948350366186307,41
-0.000848512381849671,27
-0.00084849349668247,28
-0.000848482366431354,36
-0.000848458322209891,51
-0.000748520218491248,20
-0.0007484773694959301,47
-0.000748377480101914,49
-0.000648533007356877,1
-0.000648530511554933,12
-0.000648492519827106,33
-0.000648482826420657,39
-0.000648469840987942,53
-0.000648445217558815,8
-0.000648430439442486,52
-0.0006484016726198371,4
-0.000548478436960223,50
-0.000548472084928232,18
-0.00054845793088138,60
-0.000548435600974231,42
-0.00054840521544779,32
-0.000448540744020454,35
-0.000448533830568386,54
-0.000448521539276788,5
-0.000448521196338523,44
-0.00044851473615591,21
-0.000448509574086914,16
-0.000448494535282669,26
-0.000448486892163648,17
-0.000448482695028859,6
-0.000448481437354492,7
-0.000448475500830147,40
-0.000448470796145016,2
-0.000448386007851491,14
-0.000448364523138408,25
-0.000448345982612493,11
-0.00044827724772268,45
-0.000348545636414683,25
-0.000348530679280502,28
-0.000348526377538087,21
-0.000348517873361673,71
-0.000348512784106044,34
-0.000348498270824107,64
-0.000348496653424391,67
-0.000348488172342509,40
-0.000348486131881,18
-0.000348482439165648,43
-0.000348463672139906,13
-0.000348444129833824,57
-0.000348371566185224,14
-0.000248541187169247,10
-0.00024853339722864,17
-0.000248525795575457,27
-0.000248478932987465,81
-0.000248418946817843,22
-0.000248397118118898,62
-0.0002483579034454,73
-0.000248355906473283,60
-0.000248329482833512,42
-0.000148542250440618,59
-0.000148525916725435,77
-0.000148504332950151,11
-0.000148484770836982,32
-0.000148416704514689,39
-0.000148318901939547,5
-4.85144171109792e-05,69
-4.85105295909876e-05,35
-4.85026062609665e-05,23
-4.84624671992594e-05,76
-4.84591740460666e-05,1
-4.84147138488716e-05,53
-4.83544930846149e-05,66
5.14665877982331e-05,44
5.14666819356957e-05,38
5.14703993876756e-05,70
5.14736171579264e-05,68
5.14889447637055e-05,80
5.14913618527044e-05,12
5.15343646032788e-05,75
5.15376970411197e-05,86
5.15542983095413e-05,48
5.16225895648651e-05,4
5.17777686753212e-05,72
0.000151501782120792,19
0.00015150499153977,7
0.000151530125931785,55
0.000151589865426557,56
0.000151602013727169,33
0.000251463600501776,82
0.000251472520644063,78
0.000251490200925006,63
0.000251494839618693,31
0.000251500312138179,49
0.000251539748368417,26
0.000251543375459924,30
0.000251693293852091,47
0.000351450915320073,41
0.000351454258327567,51
0.000351468160310011,2
0.000351469699625963,58
0.000351477587856997,36
0.000351502330552967,85
0.000351509984663803,79
0.000351513216907761,24
0.000351525142632987,84
0.000351561192392691,15
0.000351581566418242,8
0.000351617404481086,29
0.000351659335309725,61
0.00045145083832495,9
0.000451470740513867,54
0.00045148731031158,50
0.000451517458465094,83
0.000451535591485575,20
0.000551467058170206,65
0.000551486903177903,6
0.0005514930377277021,74
0.000551498182000342,45
0.000551507504859572,52
0.000551508097793319,37
0.000551512591446695,87
0.000551519594511206,46
0.000551537465407761,3
0.000551581756621391,16
0.000651451169820686,72
0.0006514537961152779,21
0.000651516633413672,59
0.000651517025384508,38
0.000651523794331166,25
0.000651539882048941,15
0.000651584113910554,9
0.00065166958999513,43
0.000751483428883773,71
0.000751498193565797,69
0.000751504165080787,51
0.000751593311415522,13
0.000751626527919759,39
0.000751634181379341,47
0.000751642612150797,14
0.000851464999481591,3
0.000851476243405177,40
0.00085148365685917,44
0.000851502876867237,24
0.000851517393952664,46
0.000851517814429673,29
0.000851531353018926,32
0.000851541189969605,1
0.00095146625214378,63
0.000951513405763825,66
0.000951520381837137,10
0.00095152928994125,6
0.000951606305719841,60
0.000951733749150522,49
0.00105146755968174,23
0.00105147009978279,11
0.00105147460881619,41
0.00105148668697809,70
0.00105150176169974,74
0.00105150424219709,20
0.00105154489877347,36
0.00105154633094438,27
0.00105155080092146,65
0.00105156054475141,61
0.001051671140983,73
0.00105195997315769,26
0.00115143032618476,42
0.00115144592736778,7
0.00115148280422132,19
0.0011514898188933,30
0.00115149356598999,33
0.00115149751503002,18
0.00115150826973582,75
0.00115151233866957,45
0.00115151832577018,31
0.00115154031102657,35
0.00125142729974005,12
