OffsetVoltage_CScomp X,
-0.00620777855774464,1
-0.00452772474292689,7
-0.00446789671099242,3
-0.00434780854127283,6
-0.00422785661488839,1
-0.0042277914625962,5
-0.00398769739864911,4
-0.00392782910541194,2
-0.00386776652198823,12
-0.00374786610036914,16
-0.00356791567987986,8
-0.00350775570556242,4
-0.00332780307363409,5
-0.0032679113743932,7
-0.00326777069818873,13
-0.00326772045665714,9
-0.00320786265940639,20
-0.00320784712431824,22
-0.00320781388582885,21
-0.00320775815268418,2
-0.00314788085916968,19
-0.00314787690470248,1
-0.00302770140025328,15
-0.00296775062108091,3
-0.00290790249317164,11
-0.00290787533563488,18
-0.00290782692715017,14
-0.00284775104182882,6
-0.00278785366586476,10
-0.00272786529786777,17
-0.00272785953650543,23
-0.00266790222774183,39
-0.00266789865948751,41
-0.00266784162289383,23
-0.00266783631347635,26
-0.00266780139912751,50
-0.00266779637022411,30
-0.00260769395215236,45
-0.00260768704459212,25
-0.00248787043757259,10
-0.00248785221478801,51
-0.00248780084431844,5
-0.00236790701274543,36
-0.00236787901133227,3
-0.00236783264891718,33
-0.00236771109626998,46
-0.00236762945704015,31
-0.00230791511266119,7
-0.00230775726229199,2
-0.00224787743262677,44
-0.00224787042087258,52
-0.00224778105799412,21
-0.00212786916098068,12
-0.00200790783170728,34
-0.00200789879231985,14
-0.00200789649821454,15
-0.00200783417933822,32
-0.00200780675075813,38
-0.00200780340519697,1
-0.0020078030594299,29
-0.00194778053923298,4
-0.00194768112924702,42
-0.00194767300117208,17
-0.00188788375509667,19
-0.00188787610655015,28
-0.00188786238533097,11
-0.00188776333093976,9
-0.00182790579924038,48
-0.00182788674201406,16
-0.00182787344992498,18
-0.00182781055351939,37
-0.00182777209968652,13
-0.00176790073837803,47
-0.00176789540465576,49
-0.00176788050382908,8
-0.00176786072777949,40
-0.00176779973999677,6
-0.00176778213213709,35
-0.00164788600784471,43
-0.00164782874859967,20
-0.00158788572729803,22
-0.00158778505428363,27
-0.00152784931306905,24
-0.0014679013753637,47
-0.0014678801131563,11
-0.00146785720897819,52
-0.00146769161257973,84
-0.0014676452828549,8
-0.00140787894501907,27
-0.00140786110433787,72
-0.00140784172712592,22
-0.00134791035992474,18
-0.00134788650034564,3
-0.00134787437046205,32
-0.00134786179849081,65
-0.00134780012157549,71
-0.0013477929818873,45
-0.00134778793303656,56
-0.00128788085070515,4
-0.00128779756527151,44
-0.00122793277186526,51
-0.00122787026130327,87
-0.00122785049054787,80
-0.00122778106656536,88
-0.00116792659629841,55
-0.00116791690168699,21
-0.00116787577321618,37
-0.0011678523795982,61
-0.00116784066233068,24
-0.00116782072162675,83
-0.00116777546285437,81
-0.0011077521928376,89
-0.00104789702339851,36
-0.0010478466989909,67
-0.00104782834767323,35
-0.0009879096616016549,31
-0.000987887463798515,78
-0.0009878744937454041,86
-0.0009878484380625521,14
-0.0009878141999198769,59
-0.000987807307685804,64
-0.0009877740053429031,46
-0.0009877511786390461,17
-0.000927938492797041,82
-0.000927901662934941,41
-0.000927847851121864,54
-0.000927793212230407,42
-0.000867788172818672,70
-0.000807840725282145,33
-0.000747930721122709,66
-0.0007478508295242191,1
-0.000747834180008582,68
-0.000747743610316581,50
-0.000687919891722524,20
-0.000687907613545287,74
-0.000687884826204347,57
-0.00068787285435191,13
-0.000627904999399344,5
-0.000567953914162453,73
-0.000567896378365352,30
-0.000567853870631918,85
-0.000567841527639246,69
-0.000507934135488442,60
-0.000507907667034216,53
-0.000507906135396075,49
-0.000507905708259967,62
-0.0005078866474544841,77
-0.000507884075153544,6
-0.000507847245551412,58
-0.000507838970635299,34
-0.000507823333060134,40
-0.000507822125583321,7
-0.0005078010377321019,26
-0.00044791895339799,2
-0.000447913589697966,29
-0.000447876635834471,28
-0.000447870449045808,12
-0.000447852739208624,23
-0.000447830064149726,38
-0.000447767597302062,16
-0.000447738240528939,19
-0.000447713119985214,76
-0.000387919281613979,79
-0.000387908998897222,63
-0.000387903722051751,75
-0.000387900652106597,39
-0.000387845416864605,43
-0.00038784089299911,10
-0.000387775309655858,25
-0.000387745955182951,15
-0.000387710663108988,48
-0.000387551368787922,9
-0.000327916604673404,62
-0.000267942959051709,27
-0.000267913067766075,11
-0.000267905597552389,17
-0.000267816657369816,21
-0.000267725144026451,87
-0.000207922197773851,67
-0.000207918678559571,65
-0.000207915905562375,64
-0.000207905243128565,13
-0.000207892542658891,76
-0.00020788139989026,81
-0.000207861014274882,42
-0.000147906101702811,34
-0.000147804240298589,40
-8.792318525304599e-05,5
-8.79088096726203e-05,73
-8.789043552837071e-05,36
-8.78345391228922e-05,80
-8.77982309909995e-05,1
-2.79485477397902e-05,23
-2.79237737158616e-05,71
-2.78398402326181e-05,44
-2.78302633241056e-05,57
-2.77688137945555e-05,14
-2.77628173544782e-05,72
3.20577689315748e-05,39
3.20829646236248e-05,74
3.20832921945112e-05,85
3.21341128555434e-05,50
3.22113172597026e-05,78
3.22163379462948e-05,92
3.22351989635573e-05,75
9.20858994419544e-05,4
9.2201193340959e-05,19
9.223635633047279e-05,7
0.000152155142276884,60
0.000152182383528803,29
0.000152263691082718,35
0.000152511046850582,61
0.000212074967382043,82
0.00021208220486716,88
0.000212101406302664,51
0.000212113101096926,31
0.000212116258830453,68
0.000272114751634514,26
0.000272116609641051,63
0.000272219794535145,54
0.000272238266062797,49
0.00027228272781025,91
0.000272297119270955,37
0.000272517861442372,25
0.00033205433211229,2
0.000332057104908674,41
0.000332156278427663,83
0.000332164791224665,15
0.000332165604449262,90
0.000332341808172095,28
0.000332399853384174,8
0.00039207841652251,9
0.000392133290240007,66
0.000392174187283944,89
0.000392210581448401,58
0.000452073647279393,52
0.000452120422356836,20
0.000452268149235342,69
0.000512095810054946,6
0.000512135038368694,55
0.000512166138654679,47
0.000512194834732356,77
0.00057208067315595,93
0.000572090403039662,48
0.000572091412927525,16
0.0005721127867013101,38
0.000572121133056194,3
0.0005721980001063631,30
0.000632045895948679,86
0.000632130833571763,33
0.000692035561295907,43
0.00069204962656107,24
0.000692062808823703,12
0.000692075425170667,53
0.000692108870872866,70
0.000692235286953982,79
0.000692236054580507,84
0.000752087886378713,59
0.000752180707143896,18
0.000752206791116959,45
0.000812084110924976,46
0.000812085690661198,56
0.000812104781304511,22
0.000812106744591154,10
0.00081215171076523,32
0.000872070792052852,47
0.000872090138473857,34
0.000872098876047792,1
0.000872114214787309,45
0.000872225050679756,31
0.00093207016272356,67
0.0009321207206467,64
0.000932130420165612,10
0.000992096813736141,61
0.0009921017822000721,51
0.0009921054293209779,6
0.0009923114542375829,11
0.00105207412317461,25
0.00105208909954355,71
0.00105209216587648,42
0.00105210323117229,21
0.00105211619266194,66
0.0010521418585446,62
0.00105214929753599,74
0.00111206285570954,7
0.00111207370013475,38
0.00111207767292215,28
0.00111208546360659,43
0.00111214692234868,73
0.00111217356405477,33
0.00111220715513006,27
0.00111226003598029,19
0.00111228024913395,75
0.00117206470948733,32
0.00117208653355127,20
0.00117209638006688,35
0.00117210769242343,46
0.00117212140908851,37
0.00117219237859215,12
0.00123208439901534,59
0.00123208735724208,15
0.00123210145105966,60
0.00123219307807309,52
0.00129206630731568,50
0.00129211141522738,54
0.00129211162283314,56
0.00129219951635435,17
0.0014120548449937,57
0.0014120625451082,65
0.0014121150475829,55
0.00141212123933056,8
0.00141212998428736,4
0.00141213326026223,36
0.00141215644156542,40
0.00141221713906399,29
0.00141221967390313,23
0.00141229441428046,58
0.00141235140041873,63
0.0014722065498726,68
0.00147221532554111,3
0.00153204073887663,2
0.00153207471961841,70
0.00159211126919949,48
0.00165205554746053,72
0.00165206364943463,18
0.00165208021991289,30
0.00171214167202621,22
0.00171217745138327,14
0.00171225036112147,24
0.00177209514207427,41
0.00177210035964703,69
0.00177220161062919,13
0.00177224931282038,49
0.00183214794773424,9
0.00183215073635298,5
0.00183224856543894,53
0.00189206576241766,16
0.00189207511828216,39
0.00189227058775032,26
0.00195208282703826,44
0.00201205592081756,32
0.0020120691861569,40
0.00201220148642161,26
0.00201224118825846,1
0.00207209660699626,16
0.00213235598978733,12
0.00225209476593441,24
0.00225210254206825,2
0.00225216406452955,7
0.00225220221288808,3
0.00231218042043826,38
0.00231221460872923,13
0.00231229709149091,19
0.00237216260381081,10
0.00243207874353517,17
0.00243208402422028,39
0.00243234400179201,15
0.00249207710837385,35
0.00249210299120775,23
0.00255204566252418,6
0.00255209612666946,29
0.00255212526145102,27
0.00255218299436305,20
0.00261214195330966,22
0.00261223040686559,37
0.00267210189387637,25
0.00267221905515739,4
0.00273207971781111,18
0.00273212456168673,8
0.00285206595267158,30
0.00285208726917722,34
0.00291213096334087,9
0.00297209108198397,11
0.00297210861914932,31
0.00297211449392144,5
0.00297219148768875,33
0.00303224598113181,21
0.00309207289646243,36
0.00315205737047508,14
0.00315206565063785,28
0.00333213415577566,3
0.00345206320029415,6
0.00345215353864118,10
0.00351206224275018,8
0.00351206940683489,11
0.00363211109049796,4
0.00381210876753682,7
0.00387210728757774,14
0.00387210955666046,5
0.00387211511194789,12
0.00387217543187872,9
0.00399208410429443,2
0.00405213601596307,1
0.00411206255572547,13
0.0041121626635898,16
0.00417210044907561,17
0.00429209090454545,15
0.0051322006669421,3
0.00537211800223025,2
0.00549217435769808,1
