OffsetVoltage_lewis_alt X,
-0.00399996431063747,6
-0.0035999658471336,4
-0.00359996506361752,2
-0.00329996624329952,5
-0.00319996585012819,3
-0.00319996313079952,1
-0.00309996473493137,8
-0.00299996396722152,5
-0.00299996325576282,6
-0.00289996135293884,13
-0.00269996593663702,3
-0.00259996509142493,7
-0.00259996311604994,9
-0.002499965689428,14
-0.00249996192981302,2
-0.00239996586142004,11
-0.00239996576169859,15
-0.0023999651361878,4
-0.00239995830425392,1
-0.00229996604808976,10
-0.00229996105383786,12
-0.00219996575920979,39
-0.00219996370773751,11
-0.00219996118318602,20
-0.00209996567940323,8
-0.00209996514776802,44
-0.00199996620590236,5
-0.00199996589246321,34
-0.00199996564849798,47
-0.00199996536614822,17
-0.00199996508152114,33
-0.00199996420212995,19
-0.00189996643222733,24
-0.0018999661959943,41
-0.00189996490174838,32
-0.00189996459927689,27
-0.00189996405382092,6
-0.00189995954838709,21
-0.00179996605058005,4
-0.00179996564637683,29
-0.00179996553040577,42
-0.0017999646345144,25
-0.00179996454761534,16
-0.0017999633391261,9
-0.00179995974801343,30
-0.00169996642505909,7
-0.00169996625810897,10
-0.00169996529162505,12
-0.00169996411179023,15
-0.0016999616561926,31
-0.00169995859532695,13
-0.00159996577810272,45
-0.00159996575238679,18
-0.00159996568658447,22
-0.00159996472277404,43
-0.00159996399066544,23
-0.00149996582037915,1
-0.00149996548332075,2
-0.00149996394540875,26
-0.00149996321266843,46
-0.00149996300182276,38
-0.00149996298118473,14
-0.00139996540224056,37
-0.00139996515247918,40
-0.00139996507387445,36
-0.00139996415832432,28
-0.00139996251903791,35
-0.00139995667614241,3
-0.00129996383423135,19
-0.00129996347137886,20
-0.00129996328930417,32
-0.00129996282877364,58
-0.00119996637580442,31
-0.00119996571887895,60
-0.00119996498180601,56
-0.00119996472328276,54
-0.00119996427972975,34
-0.00119996393756211,23
-0.001199963542962,49
-0.00119996336392056,48
-0.00119996264482813,50
-0.0011999624182248,46
-0.00119995717701487,39
-0.00109996582282715,51
-0.0010999658180934,44
-0.00109996576153336,42
-0.00109996571920328,52
-0.00109996553623828,14
-0.00109996467248031,9
-0.00109996382285302,62
-0.00109996255877509,57
-0.00109996167575674,16
-0.0009999663891242269,38
-0.0009999661843164581,63
-0.0009999661333980911,41
-0.000999965887587131,10
-0.000999965709719492,26
-0.0009999654724778221,47
-0.0009999650416267511,3
