OffsetVoltage_lewis X,
-0.08799903142333081,5
-0.0879989757799661,13
-0.0821990544454316,105
-0.0821990504262356,52
-0.0821990416846405,16
-0.0821990181948889,34
-0.0821988279872477,86
-0.0763990493936397,66
-0.0763990481688489,39
-0.07639903843831319,35
-0.0763990242769458,6
-0.0763990120896592,68
-0.0763989900253257,38
-0.0763989787808443,77
-0.0763988076323317,53
-0.07059902398637059,109
-0.0705990079578656,15
-0.0705989889438812,90
-0.070598981538741,3
-0.0705989576407834,79
-0.0705988917371122,37
-0.0705988903042427,28
-0.06479904591066279,48
-0.0647990363599191,25
-0.06479903621222161,87
-0.0647990304416243,84
-0.0647989979276179,14
-0.06479891665100999,60
-0.0647989142263177,95
-0.064798906561035,36
-0.0647988985601181,119
-0.0647985910298626,50
-0.0589990410269878,114
-0.0589990339223164,111
-0.0589990203251483,45
-0.058998980525835,76
-0.0589989690474753,108
-0.0589988812309037,127
-0.058998796933306,12
-0.0589986992936235,89
-0.0531990065822708,64
-0.0531989710134771,69
-0.0531989637825796,47
-0.05319893669707,91
-0.0531988876132824,46
-0.0473990466543644,59
-0.0473990188830987,20
-0.0473989315125658,80
-0.0473988992004253,98
-0.0473988982476164,107
-0.0473988671559685,104
-0.0473986128844899,9
-0.0415990358301658,78
-0.0357990204057329,85
-0.0357990120799297,97
-0.0357989658411225,96
-0.035798921448169,70
-0.0357988068481588,88
-0.0299990395570057,122
-0.0299990343937199,17
-0.0299990299419943,51
-0.029999024282084,62
-0.0299990090427352,30
-0.0299989982735699,57
-0.0299989798379177,123
-0.0299989640258985,44
-0.0299989442219075,26
-0.0299989263552441,40
-0.0299988590165686,103
-0.029998825003278,24
-0.0299984600035148,83
-0.0241990435641025,54
-0.0241990344501708,115
-0.0241990228505526,73
-0.0241990060112017,117
-0.0241989777769544,125
-0.024198971474236,21
-0.024198970097318,99
-0.0241989636642339,67
-0.0241988873482628,29
-0.0241988623804147,82
-0.0183989768186662,72
-0.0183989679521553,112
-0.018398949255588,71
-0.0183989470733656,63
-0.0183989291132608,94
-0.0183988106712424,124
-0.012598972449345,19
-0.012598925377212,113
-0.0125988891822858,110
-0.00679902342992076,72
-0.00679901787465206,29
-0.00679900603132581,77
-0.00679895288004719,38
-0.00679894234022333,116
-0.00679893962037952,17
-0.00679890579479862,79
-0.000999009053104221,84
-0.00099899047993102,82
-0.0009989902160326609,14
-0.000998850739785262,53
-0.0009988245806199459,58
-0.000998661109073937,31
0.00480098445718929,19
0.00480101018367882,20
0.00480101829744145,98
0.00480101942444975,104
0.00480105571011011,117
0.0048010725157403,41
0.00480108090859771,64
0.00480109990888856,36
0.00480129149540391,12
0.00480129211703095,67
0.0106009690680988,52
0.01060102307935,86
0.0106010388727826,40
0.0106010669935705,27
0.0106015298516396,57
0.0164009711910396,35
0.0164009856321174,87
0.016401098197493,111
0.0164011769550635,66
0.0222010038160989,2
0.0222010342764194,89
0.0222012123829238,55
0.0222012619878976,94
0.0280009760313919,70
0.0280010026368309,46
0.0280010127206583,73
0.0280010613807496,100
0.0280011137725107,63
0.0280011283126709,105
0.0338010001324416,112
0.0338010092535414,1
0.0338010358697624,3
0.033801043901901,76
0.0338010514495732,85
0.0338010946688096,8
0.033801133737808,115
0.033801168559607,62
0.0396009737530561,5
0.0396009853123269,60
0.0396010287618037,90
0.0396011230856718,51
0.039601289873692,69
0.0454009734398687,11
0.0454009906991783,18
0.0454010057603011,83
0.0454010060847899,4
0.0454010913622077,7
0.0454012209524161,75
0.0512009744897162,43
0.0512009809526201,114
0.0512009895511775,103
0.0512009918044045,28
0.0512009946424608,50
0.0512009990539367,32
0.0512010114832397,39
0.0512011535709881,97
0.0512012001323871,107
0.0512012283934947,10
0.0570009834911506,106
0.0570009965677909,118
0.0570010179756756,78
0.0570010684212525,56
0.0570010740154639,33
0.0570011199902406,45
0.0570012714924716,6
0.0628010368001496,95
0.0628010732193636,16
0.0628011511109328,80
0.0686009895393634,44
0.06860105905314801,81
0.0686010740903425,15
0.06860108258359621,88
0.0744009913550789,110
0.07440101218404439,108
0.0744010165248184,21
0.074401044069488,113
0.07440107361352501,99
0.0802010312916842,93
0.0802010806779699,34
0.0802010973535548,101
0.0860009816697818,65
0.0860009875384198,23
0.0860009989088192,25
0.0860010229950426,42
0.0860010559298062,22
0.0860012872557606,61
0.0918010102142834,47
0.09180103249425189,54
0.091801034562791,9
0.0918010534747376,91
0.09760099684415741,92
0.0976011045555642,48
0.103401007257904,59
0.103401124235284,102
0.103401198637307,13
0.109201010955376,74
0.109201015929935,24
0.109201031226763,37
0.1092010369559,49
0.109201040114555,68
0.109201072323381,26
0.10920109406516,109
0.109201098420389,30
0.109201138820302,71
0.109201373922471,96
0.115001030384365,6
0.115001073620889,7
0.115001086889661,55
0.115001190935894,34
0.115001368058585,39
0.120801043138463,33
0.12080106502781,18
0.120801083350503,13
0.120801087125483,4
0.120801087452366,21
0.12080111037724,16
0.120801477320699,56
0.126601008617591,30
0.126601019283275,10
0.126601020662922,60
0.126601035072571,54
0.126601106760676,52
0.132401039592974,1
0.132401046344467,47
0.132401147718149,20
0.138201011307367,50
0.138201022243814,51
0.138201071599072,36
0.138201098009046,49
0.138201112852717,46
0.138201203023088,59
0.144001044753201,14
0.14400131830906,8
0.149801053420909,19
0.149801095020673,2
0.149801117681203,37
0.149801128853732,22
0.155601040834948,11
0.161401020791879,27
0.16140103904091,35
0.161401079444637,58
0.167201060748421,43
0.167201112773493,29
0.173001095872977,41
0.173001119708064,25
0.173001212228407,48
0.17880102197455,24
0.17880108132191,61
0.184601289787589,26
0.190401046822255,38
0.19040106744375,40
0.190401322373013,45
0.196201072869366,42
0.19620115170959,5
0.196201163754499,28
0.202001033685755,17
0.202001065041015,31
0.202001140637479,15
0.207801043549138,3
0.207801109719488,12
0.219401047571288,32
0.219401069655071,57
0.219401097464519,53
0.219401136857436,9
0.225201152070267,44
0.23100103808007,23
0.236801063016752,7
0.236801072655274,12
0.236801098971385,3
0.236801234017801,10
0.242601052333482,2
0.242601129245116,9
0.254201086256296,13
0.260001032526014,1
0.260001643649928,11
0.289001138493602,4
0.29480105788977,15
0.294801184744197,17
0.294801198401717,14
0.306401167546442,6
0.329601071928779,18
0.32960131720956,5
0.341201074118042,16
0.347001112461546,19
0.347001219097773,8
0.358601106034581,8
0.364401173216008,9
0.376001072049361,7
0.40500141794002,3
0.405001442704063,5
0.422401105223901,1
0.451401366407308,6
0.463001117482246,2
0.468801227588024,4
0.474601137358534,1
0.526801477168709,3
0.555801210218286,2
0.631201184591699,3
0.637001257798263,1
0.6544012375067479,2
0.66020136682692,4
0.71820118291213,2
0.822601224210512,1
0.915401474861956,2
0.956001325494144,3
0.9560013283426561,1
