v /net1; tran (V) X,v /net1; tran (V) Y,v /VOUT; tran (V) X,v /VOUT; tran (V) Y,v /clk; tran (V) X,v /clk; tran (V) Y,v /net4; tran (V) X,v /net4; tran (V) Y
0,0.6,0,0.5999989800883269,0,1.199999265016675,0,0.6
1.513209633245842e-14,0.6000000000380311,1.513209633245842e-14,0.5999990607133183,1.513209633245842e-14,1.200105406719689,1.513209633245842e-14,0.6
2.721592271228231e-14,0.600000000068401,2.721592271228231e-14,0.5999991249985761,2.721592271228231e-14,1.200190213335995,2.721592271228231e-14,0.6
5.138357547193008e-14,0.600000000129141,5.138357547193008e-14,0.5999992531811086,5.138357547193008e-14,1.200359681977313,5.138357547193008e-14,0.6
9.149415892548658e-14,0.6000000002299499,9.149415892548658e-14,0.5999994646670798,9.149415892548658e-14,1.200640613803422,9.149415892548658e-14,0.6
1.591257521789935e-13,0.6000000003999266,1.591257521789935e-13,0.5999998178307776,1.591257521789935e-13,1.201113584996635,1.591257521789935e-13,0.6
2.943889386860074e-13,0.6000000007398801,2.943889386860074e-13,0.6000005118965843,2.943889386860074e-13,1.202056945185617,2.943889386860074e-13,0.6
5.183701709454972e-13,0.6000000013028063,5.183701709454972e-13,0.6000016293806797,5.183701709454972e-13,1.203613018097722,5.183701709454972e-13,0.6
7.428148175014408e-13,0.6000000018668973,7.428148175014408e-13,0.6000027148693675,7.428148175014408e-13,1.205166581111856,7.428148175014408e-13,0.6
9.779519944118235e-13,0.6000000024578614,9.779519944118235e-13,0.6000038212523737,9.779519944118235e-13,1.206790004413288,9.779519944118235e-13,0.6
1.225815017182019e-12,0.6000000030808091,1.225815017182019e-12,0.6000049599043663,1.225815017182019e-12,1.208498676925062,1.225815017182019e-12,0.6
1.487340796579459e-12,0.6000000037380951,1.487340796579459e-12,0.600006137283026,1.487340796579459e-12,1.210300697230692,1.487340796579459e-12,0.6
1.765516859019109e-12,0.6000000044372278,1.765516859019109e-12,0.6000073694020744,1.765516859019109e-12,1.212218589057426,1.765516859019109e-12,0.6
2.064707247143156e-12,0.6000000051891753,2.064707247143156e-12,0.6000086781826597,2.064707247143156e-12,1.21428435320752,2.064707247143156e-12,0.6
2.388598349970185e-12,0.6000000060032024,2.388598349970185e-12,0.6000100814877047,2.388598349970185e-12,1.216523608065021,2.388598349970185e-12,0.6
2.741124697814026e-12,0.6000000068891977,2.741124697814026e-12,0.6000115932846177,2.741124697814026e-12,1.21895557443944,2.741124697814026e-12,0.6
3.136381752604775e-12,0.6000000078825871,3.136381752604775e-12,0.6000132524931798,3.136381752604775e-12,1.221641400306041,3.136381752604775e-12,0.6
3.608902056490616e-12,0.6000000090701602,3.608902056490616e-12,0.6000151139176142,3.608902056490616e-12,1.224677645880454,3.608902056490616e-12,0.6
4.193589855056901e-12,0.6000000105396408,4.193589855056901e-12,0.6000169790506011,4.193589855056901e-12,1.227788107427042,4.193589855056901e-12,0.6
4.649485184044557e-12,0.6000000116854308,4.649485184044557e-12,0.6000178314662955,4.649485184044557e-12,1.229329528750152,4.649485184044557e-12,0.6
5.024459475924545e-12,0.600000012627844,5.024459475924545e-12,0.6000179263523993,5.024459475924545e-12,1.229707783439551,5.024459475924545e-12,0.6
