Full Swing Tran Plot X,Full Swing Tran Plot Y,out SR+ Plot X,out SR+ Plot Y,in SR+ Plot X,in SR+ Plot Y
0,0.5999612276839981,0,0.2607896195170066,0,0
6.025486172906275e-13,0.5999612278377581,6.025486172906275e-13,0.2608727210139117,6.025486172906275e-13,0.00241019446916251
1.030572874995364e-12,0.5999612279469821,1.030572874995364e-12,0.2609327082095725,1.030572874995364e-12,0.004122291499981456
1.886621390404837e-12,0.5999612281654305,1.886621390404837e-12,0.2610550397246285,1.886621390404837e-12,0.007546485561619349
3.598718421223784e-12,0.5999612286023245,3.598718421223784e-12,0.2613090364242843,3.598718421223784e-12,0.01439487368489513
7.022912482861677e-12,0.5999612294761064,7.022912482861677e-12,0.2618531659633668,7.022912482861677e-12,0.02809164993144671
1.387130060613746e-11,0.5999612312236441,1.387130060613746e-11,0.2630738487651849,1.387130060613746e-11,0.05548520242454985
2.756807685268904e-11,0.5999612347186138,2.756807685268904e-11,0.2659307367756293,2.756807685268904e-11,0.1102723074107562
4.228643356175293e-11,0.5999612384741007,4.228643356175293e-11,0.2694070441053219,4.228643356175293e-11,0.1691457342470117
5.748273543932295e-11,0.5999612423513681,5.748273543932295e-11,0.2732224525344705,5.748273543932295e-11,0.2299309417572918
7.662907809651334e-11,0.5999612472362239,7.662907809651334e-11,0.2780507755396242,7.662907809651334e-11,0.3065163123860533
9.927401694788069e-11,0.5999612530133306,9.927401694788069e-11,0.2833216218743272,9.927401694788069e-11,0.3970960677915228
1.224854021178423e-10,0.5999612589345483,1.224854021178423e-10,0.2878135812344901,1.224854021178423e-10,0.4899416084713693
1.4829545136467e-10,0.5999612655182104,1.4829545136467e-10,0.2916925807489309,1.4829545136467e-10,0.59318180545868
1.763725817302077e-10,0.5999612726795959,1.763725817302077e-10,0.2949548208698814,1.763725817302077e-10,0.7054903269208306
2.023738303182306e-10,0.5999612793109779,2.023738303182306e-10,0.297432808202801,2.023738303182306e-10,0.8094953212729222
2.312455375291758e-10,0.5999612866738507,2.312455375291758e-10,0.2999220013138181,2.312455375291758e-10,0.9249821501167033
2.64105997121819e-10,0.599961295053177,2.64105997121819e-10,0.3025565779829048,2.64105997121819e-10,1.056423988487276
3e-10,0.5999613042051253,3e-10,0.305183769885484,3e-10,1.2
3.036470496900298e-10,0.5999613051349599,3.036470496900298e-10,0.3050125910065316,3.036470496900298e-10,1.2
3.074452652099508e-10,0.5999613061033287,3.074452652099508e-10,0.3048363261178909,3.074452652099508e-10,1.2
3.131062619953353e-10,0.5999613075466013,3.131062619953353e-10,0.3045783868231503,3.131062619953353e-10,1.2
3.244282555661043e-10,0.5999613104330753,3.244282555661043e-10,0.304079673083178,3.244282555661043e-10,1.2
3.470722427076423e-10,0.5999613162057368,3.470722427076423e-10,0.3031504019575095,3.470722427076423e-10,1.2
3.923602169907184e-10,0.5999613277499097,3.923602169907184e-10,0.3015431716021262,3.923602169907184e-10,1.2
4.829361655568706e-10,0.5999613508336593,4.829361655568706e-10,0.2991666648099088,4.829361655568706e-10,1.2
5.799239152809406e-10,0.5999613755446974,5.799239152809406e-10,0.297546233216706,5.799239152809406e-10,1.2
6.749022253115734e-10,0.5999613997369575,6.749022253115734e-10,0.2965607012955038,6.749022253115734e-10,1.2
7.746511006820784e-10,0.5999614251371053,7.746511006820784e-10,0.2959074853909244,7.746511006820784e-10,1.2
8.872493031440179e-10,0.5999614538003147,8.872493031440179e-10,0.2954392258574564,8.872493031440179e-10,1.2
1.02201073352076e-09,0.599961488093038,1.02201073352076e-09,0.2950858607748559,1.02201073352076e-09,1.2
1.188988957256321e-09,0.5999615305652496,1.188988957256321e-09,0.2948128752707319,1.188988957256321e-09,1.2
1.400231565623469e-09,0.5999615842668253,1.400231565623469e-09,0.2945966567799909,1.400231565623469e-09,1.2
1.671911428269666e-09,0.5999616532840641,1.671911428269666e-09,0.2944146048410072,1.671911428269666e-09,1.2
2.006811978966242e-09,0.5999617382868433,2.006811978966242e-09,0.2942517166178623,2.006811978966242e-09,1.2
2.421302247033792e-09,0.5999618433764294,2.421302247033792e-09,0.2940842033622063,2.421302247033792e-09,1.2
2.939694359893078e-09,0.5999619746320626,2.939694359893078e-09,0.2938900639005553,2.939694359893078e-09,1.2
3.600839473615373e-09,0.5999621417482027,3.600839473615373e-09,0.2936455046796343,3.600839473615373e-09,1.2
4.472963120708178e-09,0.5999623617088271,4.472963120708178e-09,0.2933175715589535,4.472963120708178e-09,1.2
5.671726699460868e-09,0.5999626631615208,5.671726699460868e-09,0.292857256751284,5.671726699460868e-09,1.2
7.103096885913594e-09,0.5999630217717519,7.103096885913594e-09,0.2922975842921421,7.103096885913594e-09,1.2
8.819796118862327e-09,0.599963449975248,8.819796118862327e-09,0.2916221296926798,8.819796118862327e-09,1.2
