OS("/M0" "gm") X,OS("/M0" "gm") Y
0,7.618595803177096e-11
0.012,1.113932880917226e-10
0.024,1.628431655379428e-10
0.036,2.380071147239042e-10
0.048,3.477762382433274e-10
0.06,5.08012546504805e-10
0.07199999999999999,7.417931415216953e-10
0.08399999999999999,1.082648035589013e-09
0.09599999999999999,1.579216116895059e-09
0.108,2.301913015838974e-09
0.12,3.352431855107154e-09
0.132,4.877195473506964e-09
0.144,7.085763497832666e-09
0.156,1.027446886784974e-08
0.168,1.48676061559345e-08
0.18,2.146124001970059e-08
0.192,3.08881435436894e-08
0.204,4.430045244835831e-08
0.2160000000000001,6.327368592807538e-08
0.2280000000000001,8.993300945843219e-08
0.2400000000000001,1.270996760793035e-07
0.2520000000000001,1.784512723449311e-07
0.2640000000000001,2.486841263062513e-07
0.2760000000000001,3.436610552845865e-07
0.2880000000000001,4.705239976474289e-07
0.3000000000000001,6.377500774299318e-07
0.3120000000000001,8.551311113076521e-07
0.3240000000000001,1.133659273945329e-06
0.3360000000000001,1.485305886848581e-06
0.3480000000000001,1.922690959220176e-06
0.3600000000000002,2.458665481665905e-06
0.3720000000000002,3.105865339130177e-06
0.3840000000000002,3.876324746829935e-06
0.3960000000000002,4.781227159757329e-06
0.4080000000000002,5.830810316627772e-06
0.4200000000000002,7.034358028402575e-06
0.4320000000000002,8.400158068127163e-06
0.4440000000000002,9.935318647679627e-06
0.4560000000000002,1.164540620810973e-05
0.4680000000000002,1.353395277973168e-05
0.4800000000000003,1.560194048743562e-05
0.4920000000000003,1.784738526123005e-05
0.5040000000000002,2.026511672074916e-05
0.5160000000000002,2.284680416535701e-05
0.5280000000000002,2.558122802151562e-05
0.5400000000000003,2.84547550106386e-05
0.5520000000000003,3.14519500760214e-05
0.5640000000000003,3.455624959622903e-05
0.5760000000000003,3.775062579581885e-05
0.5880000000000003,4.10181868785044e-05
0.6000000000000003,4.43426762644715e-05
0.6120000000000003,4.770885318204989e-05
0.6240000000000003,5.110275284917735e-05
0.6360000000000003,5.451183612972813e-05
0.6480000000000004,5.792504562278108e-05
0.6600000000000004,6.133278821234576e-05
0.6720000000000004,6.472686414842703e-05
0.6840000000000004,6.810036080389754e-05
0.6960000000000004,7.144752628451394e-05
0.7080000000000004,7.476363476827945e-05
0.7200000000000004,7.804485228511192e-05
0.7320000000000004,8.128810888354871e-05
0.7440000000000004,8.44909808792611e-05
0.7560000000000004,8.765158514963963e-05
0.7680000000000005,9.076848617991101e-05
0.7800000000000005,9.384061570232662e-05
0.7920000000000005,9.686720421769198e-05
0.8040000000000005,9.984772337027276e-05
0.8160000000000005,0.0001027818379966567
0.8280000000000005,0.0001056693666332755
0.8400000000000005,0.0001085102493053195
0.8520000000000005,0.0001113045215018605
0.8640000000000005,0.0001140522933470917
0.8760000000000006,0.0001167537330914374
0.8880000000000006,0.0001194090541596813
0.9000000000000006,0.0001220185051006461
0.9120000000000006,0.0001245823618812479
0.9240000000000006,0.0001271009220556218
0.9360000000000006,0.0001295745004171367
0.9480000000000006,0.0001320034258079131
0.9600000000000006,0.0001343880388176476
0.9720000000000006,0.0001367286901520809
0.9840000000000007,0.0001390257394922982
0.9960000000000007,0.0001412795547001941
1.008000000000001,0.0001434905112537746
1.020000000000001,0.0001456589918193226
1.032000000000001,0.0001477853858865518
1.044000000000001,0.0001498700894083556
1.056000000000001,0.0001519135043991554
1.068000000000001,0.000153916038455658
1.080000000000001,0.0001558781041714053
1.092000000000001,0.0001578001184221931
1.104000000000001,0.0001596825015034944
1.116000000000001,0.0001615256761036791
1.128000000000001,0.0001633300660982207
1.140000000000001,0.0001650960951503528
1.152000000000001,0.0001668241851028723
1.164000000000001,0.0001685147541439905
1.176000000000001,0.0001701682147273443
1.188000000000001,0.0001717849712224258
1.2,0.000173365417266693
