DM Phase Plot X,DM Phase Plot Y,DM Gain Plot X,DM Gain Plot Y
1,-89.76733547949226,1,95.88560934508104
1.029200527194428,-89.77390680404235,1.029200527194428,95.63561326361976
1.059253725177289,-89.78029082270415,1.059253725177289,95.38561696297802
1.090184492385128,-89.78649282387909,1.090184492385128,95.13562045541717
1.122018454301964,-89.79251794522251,1.122018454301964,94.88562375251277
1.154781984689459,-89.79837117789582,1.154781984689459,94.63562686519295
1.188502227437019,-89.80405737069752,1.188502227437019,94.38562980377461
1.223207119049932,-89.809581234077,1.223207119049932,94.13563257799764
1.258925411794168,-89.81494734403358,1.258925411794168,93.88563519705717
1.29568669751702,-89.82016014590464,1.29568669751702,93.63563766963408
1.333521432163325,-89.82522395804575,1.333521432163325,93.38564000392371
1.372460961007563,-89.83014297540578,1.372460961007563,93.13564220766312
1.412537544622755,-89.83492127300002,1.412537544622755,92.88564428815658
1.453784385607663,-89.83956280928409,1.453784385607663,92.63564625229999
1.496235656094435,-89.84407142943148,1.496235656094435,92.3856481066035
1.539926526059493,-89.84845086851739,1.539926526059493,92.13564985721325
1.584893192461115,-89.85270475461155,1.584893192461115,91.88565150993173
1.63117290922784,-89.85683661178244,1.63117290922784,91.6356530702369
1.678804018122562,-89.86084986301555,1.678804018122562,91.38565454330046
1.727825980507865,-89.86474783304796,1.727825980507865,91.13565593400494
1.778279410038925,-89.86853375112167,1.778279410038925,90.88565724695994
1.830206106311058,-89.87221075365788,1.830206106311058,90.63565848651723
1.883649089489803,-89.87578188685443,1.883649089489803,90.38565965678544
1.93865263595221,-89.8792501092087,1.93865263595221,90.13566076164351
1.995262314968882,-89.88261829396772,1.995262314968882,89.8856618047535
2.053525026457149,-89.88588923150792,2.053525026457149,89.63566278957288
2.11348903983665,-89.88906563164619,2.11348903983665,89.38566371936591
2.175204034019526,-89.89215012588427,2.175204034019526,89.13566459721444
2.238721138568343,-89.89514526958823,2.238721138568343,88.88566542602814
2.30409297605585,-89.89805354410512,2.30409297605585,88.63566620855423
2.37137370566166,-89.90087735881818,2.37137370566166,88.38566694738637
2.440619068041985,-89.90361905314246,2.440619068041985,88.13566764497351
2.511886431509585,-89.90628089846263,2.511886431509585,87.88566830362787
2.585234839562196,-89.90886510001432,2.585234839562196,87.63566892553257
2.660725059798815,-89.91137379871087,2.660725059798815,87.38566951274899
2.738419634264367,-89.91380907291659,2.738419634264367,87.1356700672235
2.81838293126446,-89.91617294016849,2.81838293126446,86.88567059079394
2.90068119869316,-89.91846735884729,2.90068119869316,86.63567108519574
2.985382618917967,-89.92069422979992,2.985382618917967,86.38567155206763
3.072557365267454,-89.92285539791384,3.072557365267454,86.13567199295709
3.162277660168388,-89.92495265364549,3.162277660168388,85.88567240932548
3.254617834980468,-89.92698773450327,3.254617834980468,85.6356728025529
3.349654391578286,-89.92896232648708,3.349654391578286,85.38567317394273
3.447466065731504,-89.93087806548478,3.447466065731504,85.135673524726
3.548133892335765,-89.93273653862734,3.548133892335765,84.88567385606538
3.651741272548388,-89.93453928560379,3.651741272548388,84.63567416905912
3.758374042884453,-89.93628779993658,3.758374042884453,84.38567446474468
3.868120546330533,-89.93798353021874,3.868120546330533,84.13567474410213
3.981071705534985,-89.93962788131407,3.981071705534985,83.88567500805745
4.097321098135428,-89.9412222155208,4.097321098135428,83.63567525748552
4.216965034285836,-89.94276785370023,4.216965034285836,83.3856754932131
4.340102636447452,-89.94426607637097,4.340102636447452,83.13567571602152
4.466835921509645,-89.9457181247696,4.466835921509645,82.8856759266493
4.597269885308736,-89.94712520187913,4.597269885308736,82.63567612579459
4.73151258961482,-89.94848847342551,4.73151258961482,82.38567631411749
4.869675251658648,-89.94980906884327,4.869675251658648,82.1356764922422
5.01187233627274,-89.95108808221127,5.01187233627274,81.88567666075912
5.158221650723075,-89.95232657315913,5.158221650723075,81.63567682022683
5.308844442309902,-89.95352556774488,5.308844442309902,81.38567697117391
5.463865498818562,-89.95468605930522,5.463865498818562,81.13567711410067
5.623413251903512,-89.95580900927823,5.623413251903512,80.88567724948086
5.787619883491228,-89.95689534799999,5.787619883491228,80.63567737776323
5.956621435290127,-89.95794597547527,5.956621435290127,80.38567749937295
6.13055792149823,-89.95896176212318,6.13055792149823,80.13567761471313
6.309573444801956,-89.95994354949825,6.309573444801956,79.88567772416609
6.493816315762138,-89.9608921509875,6.493816315762138,79.63567782809456
6.683439175686172,-89.96180835248452,6.683439175686172,79.3856779268431
6.878599123088104,-89.96269291304036,6.878599123088104,79.13567802073896
7.079457843841408,-89.96354656549241,7.079457843841408,78.88567811009341
7.286181745132307,-89.9643700170716,7.286181745132307,78.63567819520262
7.498942093324589,-89.96516394998821,7.498942093324589,78.38567827634866
7.717915155850156,-89.96592902199714,7.717915155850156,78.13567835380051
7.943282347242849,-89.96666586694276,7.943282347242849,77.88567842781491
8.175230379436535,-89.96737509528405,8.175230379436535,77.63567849863718
8.413951416451987,-89.9680572946004,8.413951416451987,77.38567856650205
8.659643233600692,-89.96871303007825,8.659643233600692,77.13567863163449
8.912509381337495,-89.96934284497955,8.912509381337495,76.88567869425037
9.172759353897836,-89.96994726109159,9.172759353897836,76.63567875455725
9.440608762859275,-89.97052677915946,9.440608762859275,76.38567881275502
9.716279515771106,-89.97108187930084,9.716279515771106,76.13567886903657
10.00000000000005,-89.97161302140373,10.00000000000005,75.88567892358846
10.29200527194433,-89.97212064550747,10.29200527194433,75.63567897659149
10.59253725177294,-89.97260517216742,10.59253725177294,75.3856790282214
10.90184492385133,-89.97306700280312,10.90184492385133,75.13567907864925
