OS("/M0" "gmoverid") X,OS("/M0" "gmoverid") Y
0,31.57730918423325
0.012,31.5664054526618
0.024,31.55315865030512
0.036,31.53705177841557
0.048,31.51745380447189
0.06,31.49359578691781
0.07199999999999999,31.46454286240294
0.08399999999999999,31.42916186810801
0.09599999999999999,31.38608466860219
0.108,31.33366776774958
0.12,31.26794627991132
0.132,31.18000819611439
0.144,31.07584624913563
0.156,30.95236004733184
0.168,30.80603323060559
0.18,30.63296521875768
0.192,30.42895290184375
0.204,30.18963879400079
0.2160000000000001,29.91073869472667
0.2280000000000001,29.58835062658232
0.2400000000000001,29.21932415040136
0.2520000000000001,28.80163376888267
0.2640000000000001,28.3346575540334
0.2760000000000001,27.81923058533494
0.2880000000000001,27.25735539959513
0.3000000000000001,26.65154562264285
0.3120000000000001,26.00396299389564
0.3240000000000001,25.31571792085096
0.3360000000000001,24.58679139091548
0.3480000000000001,23.81685055512659
0.3600000000000002,23.00677737101352
0.3720000000000002,22.16026036389348
0.3840000000000002,21.28466294603953
0.3960000000000002,20.39071641232768
0.4080000000000002,19.4911696308188
0.4200000000000002,18.59897136778775
0.4320000000000002,17.72563630715887
0.4440000000000002,16.88021180177355
0.4560000000000002,16.0689359563979
0.4680000000000002,15.29543937377452
0.4800000000000003,14.56125194682618
0.4920000000000003,13.86639868494373
0.5040000000000002,13.20994214647499
0.5160000000000002,12.59040496261628
0.5280000000000002,12.00606096397242
0.5400000000000003,11.45511366701969
0.5520000000000003,10.9357918444605
0.5640000000000003,10.44639126285247
0.5760000000000003,9.985285760425173
0.5880000000000003,9.550923719097337
0.6000000000000003,9.141819731762475
0.6120000000000003,8.756546616621844
0.6240000000000003,8.393729885519415
0.6360000000000003,8.052045017351777
0.6480000000000004,7.730217034036512
0.6600000000000004,7.427021584958831
0.6720000000000004,7.141286761969742
0.6840000000000004,6.871895021890871
0.6960000000000004,6.617784786463059
0.7080000000000004,6.377951468265604
0.7200000000000004,6.151447813395147
0.7320000000000004,5.937383553149183
0.7440000000000004,5.734924421818397
0.7560000000000004,5.543290633510654
0.7680000000000005,5.361754925675275
0.7800000000000005,5.189640277655202
0.7920000000000005,5.026317404684632
0.8040000000000005,4.871202115309032
0.8160000000000005,4.723752605999577
0.8280000000000005,4.583466752532239
0.8400000000000005,4.449879444535786
0.8520000000000005,4.322559998007364
0.8640000000000005,4.201109670736423
0.8760000000000006,4.085159297450481
0.8880000000000006,3.974367054965104
0.9000000000000006,3.868416362494534
0.9120000000000006,3.767013918350548
0.9240000000000006,3.669887871320952
0.9360000000000006,3.576786122889542
0.9480000000000006,3.48747475497199
0.9600000000000006,3.401736576857891
0.9720000000000006,3.319369784451652
0.9840000000000007,3.240186724599256
0.9960000000000007,3.164012757197032
1.008000000000001,3.09068520784196
1.020000000000001,3.020052403951293
1.032000000000001,2.951972787515194
1.044000000000001,2.88631409791883
1.056000000000001,2.822952618556545
1.068000000000001,2.761772481241088
1.080000000000001,2.702665022669307
1.092000000000001,2.645528187428826
1.104000000000001,2.59026597220474
1.116000000000001,2.536787905959298
1.128000000000001,2.485008560896925
1.140000000000001,2.434847088977671
1.152000000000001,2.386226778586742
1.164000000000001,2.339074625687186
1.176000000000001,2.293320913354848
1.188000000000001,2.248898792995118
1.2,2.205743859746253
