Full Swing Tran Plot X,Full Swing Tran Plot Y,out SR+ Plot X,out SR+ Plot Y,in SR+ Plot X,in SR+ Plot Y
0,0.5999989364476879,0,0.02937102987958972,0,0
6.025486172906275e-13,0.5999989365878776,6.025486172906275e-13,0.02937872193081049,6.025486172906275e-13,0.00241019446916251
1.030572874995364e-12,0.5999989366874623,1.030572874995364e-12,0.02938418710468603,1.030572874995364e-12,0.004122291499981456
1.886621390404837e-12,0.5999989368866318,1.886621390404837e-12,0.02939512011220672,1.886621390404837e-12,0.007546485561619349
3.598718421223784e-12,0.5999989372849709,3.598718421223784e-12,0.02941699897071852,3.598718421223784e-12,0.01439487368489513
7.022912482861677e-12,0.5999989380816495,7.022912482861677e-12,0.0294608145715894,7.022912482861677e-12,0.02809164993144671
1.387130060613746e-11,0.5999989396750085,1.387130060613746e-11,0.02954874225612765,1.387130060613746e-11,0.05548520242454985
2.756807685268904e-11,0.5999989428617335,2.756807685268904e-11,0.02972614951410053,2.756807685268904e-11,0.1102723074107562
4.718490005890052e-11,0.599998947425847,4.718490005890052e-11,0.02998458884021857,4.718490005890052e-11,0.1887396002356021
6.275905297958043e-11,0.5999989510493934,6.275905297958043e-11,0.03019382009259965,6.275905297958043e-11,0.2510362119183217
7.737610145335035e-11,0.5999989544502669,7.737610145335035e-11,0.03039394213205195,7.737610145335035e-11,0.3095044058134014
9.658076011698774e-11,0.5999989589185322,9.658076011698774e-11,0.03066365637137172,9.658076011698774e-11,0.386323040467951
1.18005965865345e-10,0.5999989639034642,1.18005965865345e-10,0.03097626771951778,1.18005965865345e-10,0.47202386346138
1.389544949718155e-10,0.5999989687775116,1.389544949718155e-10,0.03129828843873654,1.389544949718155e-10,0.5558179798872621
1.566880969092138e-10,0.5999989729035661,1.566880969092138e-10,0.03158517116781667,1.566880969092138e-10,0.626752387636855
1.731579189470096e-10,0.5999989767355925,1.731579189470096e-10,0.03186518180400964,1.731579189470096e-10,0.6926316757880382
1.905745438117927e-10,0.5999989807879258,1.905745438117927e-10,0.03217578481585461,1.905745438117927e-10,0.7622981752471708
2.112201793619597e-10,0.5999989855915737,2.112201793619597e-10,0.03256173324659718,2.112201793619597e-10,0.8448807174478388
2.414673246444042e-10,0.599998992629256,2.414673246444042e-10,0.0331547894188398,2.414673246444042e-10,0.9658692985776167
2.707336623222021e-10,0.5999989994387744,2.707336623222021e-10,0.03375161661760745,2.707336623222021e-10,1.082934649288808
2.85366831161101e-10,0.5999990028435496,2.85366831161101e-10,0.03405489213907942,2.85366831161101e-10,1.141467324644404
3e-10,0.5999990062483354,3e-10,0.03436093991507433,3e-10,1.2
3.020866849782897e-10,0.5999990067338576,3.020866849782897e-10,0.03436252406324206,3.020866849782897e-10,1.2
3.041593750308635e-10,0.5999990072161238,3.041593750308635e-10,0.0343642249724477,3.041593750308635e-10,1.2
3.069541913770866e-10,0.599999007866412,3.069541913770866e-10,0.03436633535938648,3.069541913770866e-10,1.2
3.125438240695327e-10,0.5999990091669896,3.125438240695327e-10,0.03437052910328607,3.125438240695327e-10,1.2
3.237230894544249e-10,0.5999990117681493,3.237230894544249e-10,0.03437882178916375,3.237230894544249e-10,1.2
3.460816202242093e-10,0.5999990169704874,3.460816202242093e-10,0.03439499679651075,3.460816202242093e-10,1.2
3.90798681763778e-10,0.5999990273752378,3.90798681763778e-10,0.03442586443745012,3.90798681763778e-10,1.2
4.802328048429156e-10,0.5999990481850352,4.802328048429156e-10,0.03448261562309462,4.802328048429156e-10,1.2
6.020624961207233e-10,0.5999990765333651,6.020624961207233e-10,0.03455122121736789,6.020624961207233e-10,1.2
7.387833534976532e-10,0.5999991083475649,7.387833534976532e-10,0.03462027076563386,7.387833534976532e-10,1.2
8.946455192842089e-10,0.599999144616965,8.946455192842089e-10,0.03468823742533544,8.946455192842089e-10,1.2
