DM Phase Plot X,DM Phase Plot Y,DM Gain Plot X,DM Gain Plot Y
1,-20.62711589771126,1,104.2015057081245
1.029200527194428,-21.45772543357505,1.029200527194428,104.1530689053677
1.059253725177289,-22.2949529457058,1.059253725177289,104.102113650623
1.090184492385128,-23.13872969892006,1.090184492385128,104.0485680569877
1.122018454301964,-23.98895575644852,1.122018454301964,103.9923600166431
1.154781984689459,-24.84549939214283,1.154781984689459,103.9334175072601
1.188502227437019,-25.70819664160338,1.188502227437019,103.8716689128923
1.223207119049932,-26.57685100647368,1.223207119049932,103.807043357843
1.258925411794168,-27.45123332548094,1.258925411794168,103.7394710516701
1.29568669751702,-28.33108182485554,1.29568669751702,103.6688836431833
1.333521432163325,-29.21610235948899,1.333521432163325,103.595214580986
1.372460961007563,-30.10596885455778,1.372460961007563,103.5183994778159
1.412537544622755,-31.00032395543979,1.412537544622755,103.4383764756824
1.453784385607663,-31.89877989152575,1.453784385607663,103.3550866085709
1.496235656094435,-32.80091955700593,1.496235656094435,103.2684741592866
1.539926526059493,-33.70629780898673,1.539926526059493,103.1784870068811
1.584893192461115,-34.61444298034542,1.584893192461115,103.0850769610169
1.63117290922784,-35.52485860165846,1.63117290922784,102.9882000796094
1.678804018122562,-36.43702532339178,1.678804018122562,102.8878169661322
1.727825980507865,-37.35040302639018,1.727825980507865,102.7838930430894
1.778279410038925,-38.26443310562582,1.778279410038925,102.6763987983502
1.830206106311058,-39.17854090924469,1.830206106311058,102.565310001299
1.883649089489803,-40.09213831226759,1.883649089489803,102.450607886083
1.93865263595221,-41.00462640187101,1.93865263595221,102.3322792996218
1.995262314968882,-41.9153982492255,1.995262314968882,102.2103168124968
2.053525026457149,-42.82384174120061,2.053525026457149,102.0847187913105
2.11348903983665,-43.72934244419064,2.11348903983665,101.9554894316395
2.175204034019526,-44.63128647169417,2.175204034019526,101.8226387512399
2.238721138568343,-45.52906332718095,2.238721138568343,101.686182543714
2.30409297605585,-46.42206869427535,2.30409297605585,101.5461422933986
2.37137370566166,-47.30970714723867,2.37137370566166,101.4025450527615
2.440619068041985,-48.1913947561652,2.440619068041985,101.255423284086
2.511886431509585,-49.06656156326567,2.511886431509585,101.1048146676907
2.585234839562196,-49.93465390887192,2.585234839562196,100.95076187933
2.660725059798815,-50.79513658840833,2.660725059798815,100.7933123397668
2.738419634264367,-51.64749482449565,2.738419634264367,100.632517939798
2.81838293126446,-52.49123604135497,2.81838293126446,100.4684347442159
2.90068119869316,-53.3258914318567,2.90068119869316,100.3011226783331
2.985382618917967,-54.15101731074015,2.985382618917967,100.1306452007717
3.072557365267454,-54.96619625061784,3.072557365267454,99.95706896621215
3.162277660168388,-55.77103800041956,3.162277660168388,99.7804634817395
3.254617834980468,-56.56518018873781,3.254617834980468,99.60090076030244
3.349654391578286,-57.34828881713617,3.349654391578286,99.41845497462404
3.447466065731504,-58.12005855085114,3.447466065731504,99.23320211469112
3.548133892335765,-58.8802128162997,3.548133892335765,99.04521965168843
3.651741272548388,-59.62850371659939,3.651741272548388,98.85458621096873
3.758374042884453,-60.36471177766823,3.758374042884453,98.66138125634528
3.868120546330533,-61.08864553858512,3.868120546330533,98.46568478768316
3.981071705534985,-61.8001410006372,3.981071705534985,98.26757705344772
4.097321098135428,-62.49906095000431,4.097321098135428,98.06713827955969
4.216965034285836,-63.18529416916931,4.216965034285836,97.86444841559626
4.340102636447452,-63.85875455216014,4.340102636447452,97.6595868990932
4.466835921509645,-64.5193801384048,4.466835921509645,97.45263243842578
4.597269885308736,-65.16713207955073,4.597269885308736,97.24366281449706
4.73151258961482,-65.80199355298096,4.73151258961482,97.03275470123468
4.869675251658648,-66.42396863498521,4.869675251658648,96.81998350469156
5.01187233627274,-67.03308114570655,5.01187233627274,96.60542322036916
5.158221650723075,-67.6293734770711,5.158221650723075,96.38914630823029
5.308844442309902,-68.21290541391691,5.308844442309902,96.1712235847389
5.463865498818562,-68.78375295755286,5.463865498818562,95.95172413116153
5.623413251903512,-69.34200715998556,5.623413251903512,95.73071521728424
5.787619883491228,-69.88777297605061,5.787619883491228,95.50826223963662
5.956621435290127,-70.42116813973912,5.956621435290127,95.28442867327522
6.13055792149823,-70.94232207009311,6.13055792149823,95.05927603615311
6.309573444801956,-71.45137481114965,6.309573444801956,94.83286386509295
6.493816315762138,-71.94847600963558,6.493816315762138,94.60524970238602
6.683439175686172,-72.43378393332632,6.683439175686172,94.37648909205365
6.878599123088104,-72.90746453230609,6.878599123088104,94.14663558483292
7.079457843841408,-73.3696905447317,7.079457843841408,93.91574075097957
7.286181745132307,-73.82064064814804,7.286181745132307,93.68385420002112
7.498942093324589,-74.26049865688917,7.498942093324589,93.45102360663452
7.717915155850156,-74.68945276565988,7.717915155850156,93.21729474186976
7.943282347242849,-75.10769483901367,7.943282347242849,92.98271150898894
8.175230379436535,-75.51541974612026,8.175230379436535,92.74731598324125
8.413951416451987,-75.91282473990422,8.413951416451987,92.51114845494241
8.659643233600692,-76.30010887945478,8.659643233600692,92.27424747527917
8.912509381337495,-76.67747249437191,8.912509381337495,92.03664990430683
9.172759353897836,-77.04511668958483,9.172759353897836,91.79839096065596
9.440608762859275,-77.4032428890588,9.440608762859275,91.55950427251004
9.716279515771106,-77.75205241671982,9.716279515771106,91.32002192945941
10.00000000000005,-78.09174611286538,10.00000000000005,91.07997453487862
10.29200527194433,-78.42252398430044,10.29200527194433,90.83939125851273
10.59253725177294,-78.74458488641984,10.59253725177294,90.59829988899536
10.90184492385133,-79.05812623545205,10.90184492385133,90.35672688605389
