spectrum_/Vout (vss=0) X,spectrum_/Vout (vss=0) Y
0,-65.92985428822732
9.765648841916118,-64.44167909322877
19.53129768383224,-78.67637683783067
29.29694652574835,-81.45793826260322
39.06259536766447,-83.64999330608353
48.82824420958059,-25.55286707047113
58.59389305149671,-10.18904261997086
68.35954189341282,-6.024686499472681
78.12519073532894,-10.87520140746582
87.89083957724506,-27.36701477915731
97.65648841916118,-90.19211099289635
107.4221372610773,-79.61120628639256
117.1877861029934,-89.90932692156179
126.9534349449095,-84.93472787928656
136.7190837868256,-88.86481077157462
146.4847326287418,-89.27570198921103
156.2503814706579,-101.6747981175739
166.016030312574,-90.334624811108
175.7816791544901,-89.62036212788001
185.5473279964062,-87.69669403492256
195.3129768383224,-97.22407900055693
205.0786256802385,-97.56743998722099
214.8442745221546,-92.14670551336029
224.6099233640707,-96.42454205291138
234.3755722059868,-100.617561677567
244.1412210479029,-107.3393779091879
253.9068698898191,-104.8821762035841
263.6725187317352,-96.41061373191204
273.4381675736513,-92.50180414350211
283.2038164155674,-100.3179466155938
292.9694652574835,-102.1410786517866
302.7351140993997,-99.77338176606089
312.5007629413158,-90.99119373386743
322.2664117832319,-90.44051123775469
332.032060625148,-93.75928830924761
341.7977094670641,-92.37961241761866
351.5633583089802,-89.26877405950874
361.3290071508964,-88.55210205127781
371.0946559928125,-90.75095745183715
380.8603048347286,-100.6996738394411
390.6259536766447,-96.27914997589072
400.3916025185608,-93.81430257681319
410.1572513604769,-100.3536301204065
419.9229002023931,-93.58097630841874
429.6885490443092,-88.66534032392181
439.4541978862253,-93.46367836944933
449.2198467281414,-95.06587026937551
458.9854955700575,-89.52445774824244
468.7511444119737,-87.2727234007927
478.5167932538898,-92.77000651656127
488.2824420958059,-116.48157523392
498.048090937722,-99.63741904994055
507.8137397796381,-92.65090532531069
517.5793886215542,-93.48444775079349
527.3450374634704,-92.89836923239727
537.1106863053865,-91.78657290891744
546.8763351473026,-92.44262098762276
556.6419839892187,-95.07364384279229
566.4076328311348,-103.9850048476617
576.173281673051,-96.52604334099154
585.9389305149671,-93.87953979236318
595.7045793568832,-92.99586934184924
605.4702281987993,-98.45264724395135
615.2358770407154,-100.5889357839059
625.0015258826315,-92.42429465105702
634.7671747245477,-90.74516203725497
644.5328235664638,-91.05647228179984
654.2984724083799,-90.25946087417678
664.064121250296,-89.05760921486396
673.8297700922121,-87.05331178822786
683.5954189341282,-87.12144408559853
693.3610677760444,-93.28374398505269
703.1267166179605,-113.8823590099756
712.8923654598766,-95.88262498868889
722.6580143017927,-92.93767494871089
732.4236631437088,-94.19837323765647
742.189311985625,-95.29623781836072
751.9549608275411,-93.68983817650255
761.7206096694572,-94.75554037068014
771.4862585113733,-100.0219198382779
781.2519073532894,-97.0210691303201
791.0175561952055,-93.8434492286965
800.7832050371217,-95.68980564528124
810.5488538790378,-101.5027388087536
820.3145027209539,-94.46506762284739
830.08015156287,-90.40182276259333
839.8458004047861,-90.63838801155825
849.6114492467023,-97.19577142138513
859.3770980886184,-93.24598448859179
869.1427469305345,-87.91406824532048
878.9083957724506,-86.67862173837594
888.6740446143667,-91.97262720660349
898.4396934562828,-102.7406255145721
908.205342298199,-99.70509460963726
917.9709911401151,-92.90801013256178
927.7366399820312,-96.62907360312144
937.5022888239473,-99.81179606569276
947.2679376658634,-92.65639884424502
957.0335865077795,-90.29441640871701
966.7992353496957,-92.64879595897796
976.5648841916118,-99.63579087337338
986.3305330335279,-99.52666944296192
996.096181875444,-93.80941077313805
1005.86183071736,-100.2311094332192
1015.627479559276,-93.87742660917966
1025.393128401192,-92.82013735084357
1035.158777243108,-97.7674461944393
1044.924426085025,-100.0100969243125
1054.690074926941,-93.59765587915469
1064.455723768857,-91.20358554602035
1074.221372610773,-96.33378133116081
1083.987021452689,-98.01956427857573
1093.752670294605,-93.07461480372632
1103.518319136521,-91.33300677443181
1113.283967978437,-90.71363976060607
1123.049616820354,-92.69288997067017
1132.81526566227,-102.9335911180946
1142.580914504186,-102.5693705706361
1152.346563346102,-106.7935708711103
1162.112212188018,-94.86908911698711
1171.877861029934,-99.10586361048367
1181.64350987185,-103.3882325777835
1191.409158713766,-111.2675701877044
1201.174807555682,-97.52364895588649
1210.940456397599,-90.5882218134861
1220.706105239515,-89.11228989387786
1230.471754081431,-91.45556042014645
1240.237402923347,-92.66137593870965
1250.003051765263,-97.34580091296523
1259.768700607179,-97.62907248253526
1269.534349449095,-90.75486032564024
1279.299998291011,-90.40042933685115
1289.065647132928,-95.79501842297894
1298.831295974844,-96.78506679375971
1308.59694481676,-95.4848693704573
1318.362593658676,-99.23222700039872
1328.128242500592,-93.4531477577338
1337.893891342508,-99.09048024056369
1347.659540184424,-113.7292320786537
1357.42518902634,-99.10428409009043
1367.190837868256,-90.4017566873282
1376.956486710173,-92.76580881333352
1386.722135552089,-98.03525289141476
1396.487784394005,-99.52687338762129
1406.253433235921,-89.80773913431702
1416.019082077837,-89.83382595620373
1425.784730919753,-93.66202972119346
1435.550379761669,-104.329380521031
1445.316028603585,-95.18891296125992
1455.081677445502,-95.58745698540876
1464.847326287418,-100.4880427626875
1474.612975129334,-107.3560387008986
1484.37862397125,-102.8237606056962
1494.144272813166,-92.56024031935394
1503.909921655082,-91.93623451065338
1513.675570496998,-93.72968700647419
1523.441219338914,-91.11384139463766
1533.20686818083,-94.37646226260088
1542.972517022747,-101.1154952716284
1552.738165864663,-97.07880845699239
1562.503814706579,-94.76452669701978
1572.269463548495,-95.11499814067324
1582.035112390411,-104.1826594901345
1591.800761232327,-97.15125926040541
